Orthogroup	MHP_ES2_protein	MHP_168L_protein
OG0000580	WP_135618773.1	WP_014579761.1
OG0000581	WP_135618777.1	WP_014579759.1
OG0000582	WP_011206161.1	WP_014579758.1
OG0000583	WP_135618808.1	WP_014579786.1
OG0000584	WP_011206182.1	WP_011206182.1
OG0000585	WP_135618812.1	WP_014579789.1
OG0000586	WP_240536393.1	WP_228365425.1
OG0000587	WP_135618816.1	WP_014579794.1
OG0000588	WP_135618818.1	WP_014579796.1
OG0000589	WP_135618820.1	WP_014579797.1
OG0000590	WP_237697200.1	WP_228365382.1
OG0000591	WP_044284684.1	WP_016340237.1
OG0000592	WP_135618988.1	WP_014579922.1
OG0000593	WP_135619129.1	WP_011206475.1
OG0000594	WP_135619160.1	WP_014580028.1
OG0000595	WP_240536368.1	WP_014579703.1
OG0000596	WP_240536375.1	WP_014579710.1
OG0000597	WP_135618810.1	WP_014579787.1
OG0000598	WP_135618656.1	WP_011284003.1
OG0000599	WP_014579714.1	WP_014579714.1
OG0000600	WP_135618627.1	WP_016340189.1
OG0000601	WP_135618822.1	WP_014579799.1
OG0000602	WP_225972995.1	WP_228365393.1
OG0000603	WP_240536353.1	WP_228365396.1
OG0000604	WP_094521668.1	WP_228365427.1
OG0000606	WP_135618743.1	WP_014579679.1, WP_014580037.1
OG0000607	WP_135618749.1, WP_135618910.1	WP_014579687.1
OG0000608	WP_135618775.1	WP_014579760.1
OG0000609	WP_240536391.1	WP_228365424.1
OG0000610	WP_135618801.1	WP_014579782.1
OG0000611	WP_135618805.1	WP_016340210.1
OG0000612	WP_011206323.1	WP_014579909.1
OG0000613	WP_240536345.1	WP_228365392.1
OG0000614	WP_011290300.1	WP_011290300.1
OG0000615	WP_276310469.1	WP_258556645.1
OG0000616	WP_228729172.1	WP_014579766.1
OG0000617	WP_318026027.1	WP_269076332.1
OG0000618	WP_044284628.1	WP_228365421.1
OG0000622	WP_135618874.1	WP_044278005.1
OG0000623	WP_228729174.1	WP_052293597.1
OG0000627	WP_011206176.1	WP_014579783.1
OG0000628	WP_240536317.1	WP_233417348.1
OG0000629	WP_258555422.1	WP_258555242.1
OG0000633	WP_135618747.1	WP_014579686.1
OG0000635	WP_135618734.1	WP_014579861.1
OG0000635	WP_011206128.1	WP_044277959.1
OG0000636	WP_135618745.1	WP_014579683.1
OG0000637	WP_240536325.1	WP_044889033.1
OG0000639	WP_135618978.1	WP_016340238.1
OG0000640	WP_232039520.1	WP_044284632.1
OG0000641	WP_269076320.1	WP_258556638.1
OG0000645	WP_240536378.1	WP_016340203.1
OG0000646	WP_158520147.1	WP_158520147.1
OG0000649	WP_135618803.1	WP_014579784.1
OG0000652	WP_269076340.1	WP_014579770.1
OG0000654	WP_240536398.1	WP_143826160.1
OG0000667	WP_014579793.1	WP_014579793.1
OG0000709	WP_187286315.1	WP_187286315.1
