Orthogroup	MHP_153B_genes	MHP_F72C_genes
OG0000532	NB625_RS01625	EHI52_RS01685
OG0000535	NB625_RS00045	EHI52_RS00045
OG0000536	NB625_RS03690	EHI52_RS03545
OG0000539	NB625_RS00220	EHI52_RS00220
OG0000540	NB625_RS02795	EHI52_RS02635
OG0000541	NB625_RS02875	EHI52_RS02710
OG0000542	NB625_RS00355	EHI52_RS00365
OG0000544	NB625_RS01250	EHI52_RS01315
OG0000545	NB625_RS01815	EHI52_RS02110
OG0000546	NB625_RS02945	EHI52_RS02780
OG0000551	NB625_RS03140	EHI52_RS02975
OG0000552	NB625_RS03305	EHI52_RS03160
OG0000553	NB625_RS02850, NB625_RS02845	EHI52_RS02680
OG0000554	NB625_RS02535	EHI52_RS02400
OG0000555	NB625_RS03075	EHI52_RS03850
OG0000557	NB625_RS01265	EHI52_RS01325
OG0000558	NB625_RS01230	EHI52_RS01295
OG0000559	NB625_RS01705	EHI52_RS01755
OG0000560	NB625_RS01805	EHI52_RS02125
OG0000561	NB625_RS01115	EHI52_RS01180
OG0000562	NB625_RS01810	EHI52_RS02120
OG0000563	NB625_RS01800	EHI52_RS02135
OG0000564	NB625_RS01290	EHI52_RS03770
OG0000565	NB625_RS01875	EHI52_RS02070
OG0000566	NB625_RS01855	EHI52_RS02080
OG0000567	NB625_RS01820	EHI52_RS02105
OG0000568	NB625_RS01000	EHI52_RS00685
OG0000569	NB625_RS01235	EHI52_RS01300
OG0000570	NB625_RS01240	EHI52_RS01305
OG0000571	NB625_RS01245	EHI52_RS01310
OG0000572	NB625_RS01270	EHI52_RS01330
OG0000573	NB625_RS01700	EHI52_RS01750
OG0000574	NB625_RS01310	EHI52_RS01370
OG0000575	NB625_RS01220	EHI52_RS01285
OG0000576	NB625_RS01655	EHI52_RS01710
OG0000577	NB625_RS02815	EHI52_RS02655
OG0000578	NB625_RS02840	EHI52_RS02675
OG0000579	NB625_RS01785	EHI52_RS02170
OG0000580	NB625_RS02950	EHI52_RS03845
OG0000581	NB625_RS01770	EHI52_RS02175
OG0000582	NB625_RS01260	EHI52_RS03765
OG0000583	NB625_RS01690	EHI52_RS01740
OG0000585	NB625_RS02355	EHI52_RS02220
OG0000586	NB625_RS01675	EHI52_RS01725
OG0000587	NB625_RS01880	EHI52_RS03915
OG0000588	NB625_RS01645	EHI52_RS01700
OG0000589	NB625_RS02245	EHI52_RS00950
OG0000591	NB625_RS01895	EHI52_RS02045
OG0000592	NB625_RS02805	EHI52_RS02645
OG0000594	NB625_RS01225	EHI52_RS01290
OG0000595	NB625_RS03165	EHI52_RS03000
OG0000597	NB625_RS03160	EHI52_RS02995
OG0000606	NB625_RS01775	EHI52_RS02160
OG0000607	NB625_RS01210	EHI52_RS03630
OG0000609	NB625_RS01835	EHI52_RS03640
OG0000611	NB625_RS00095	EHI52_RS00090
OG0000622	NB625_RS02320	EHI52_RS03730
