Orthogroup	MHP_MHP679_protein	MHP_ES2_protein
OG0000596	WP_258555724.1	WP_240536375.1
OG0000597	WP_020835695.1	WP_135618810.1
OG0000598	WP_160590379.1	WP_135618656.1
OG0000599	WP_014579714.1	WP_014579714.1
OG0000600	WP_160590401.1	WP_135618627.1
OG0000601	WP_160590015.1	WP_135618822.1
OG0000602	WP_228365393.1	WP_225972995.1
OG0000603	WP_308704613.1	WP_240536353.1
OG0000604	WP_258555665.1	WP_094521668.1
OG0000605	WP_160590513.1	WP_135618870.1
OG0000606	WP_160590095.1	WP_135618743.1
OG0000607	WP_014579687.1	WP_135618749.1, WP_135618910.1
OG0000608	WP_160590234.1	WP_135618775.1
OG0000609	WP_258555658.1	WP_240536391.1
OG0000610	WP_160590075.1	WP_135618801.1
OG0000611	WP_258555659.1	WP_135618805.1
OG0000612	WP_160590121.1	WP_011206323.1
OG0000613	WP_160587867.1	WP_240536345.1
OG0000614	WP_011206325.1	WP_011290300.1
OG0000615	WP_258555396.1	WP_276310469.1
OG0000616	WP_308704703.1	WP_228729172.1
OG0000617	WP_308507028.1	WP_318026027.1
OG0000618	WP_160590239.1	WP_044284628.1
OG0000619	WP_160590515.1	WP_002557988.1
OG0000620	WP_011284157.1	WP_011284157.1
OG0000621	WP_258555661.1	WP_240536324.1
OG0000622	WP_160590313.1	WP_135618874.1
OG0000623	WP_192894277.1	WP_228729174.1
OG0000624	WP_160590418.1	WP_135619047.1
OG0000625	WP_258555727.1	WP_135618872.1
OG0000626	WP_167871266.1	WP_167871266.1
OG0000627	WP_160590079.1	WP_011206176.1
OG0000633	WP_160581237.1	WP_135618747.1
OG0000634	WP_158209054.1	WP_158209054.1
OG0000635	WP_135618734.1	WP_135618734.1
OG0000636	WP_014579683.1	WP_135618745.1
OG0000637	WP_258555663.1	WP_240536325.1
OG0000638	WP_160590483.1	WP_135618726.1
OG0000641	WP_160590370.1, WP_160590537.1, WP_160590549.1	WP_269076320.1
OG0000642	WP_020835697.1	WP_135618814.1
OG0000650	WP_258555699.1	WP_135619112.1
OG0000652	WP_258555732.1	WP_269076340.1
OG0000655	WP_094521688.1	WP_020835740.1
OG0000656	WP_233688423.1	WP_233688423.1
OG0000657	WP_258555653.1	WP_240536401.1
OG0000658	WP_179221224.1	WP_179221224.1
OG0000665	WP_233688424.1	WP_233688424.1
OG0000710	WP_160590399.1	WP_167871263.1
