Orthogroup	MHP_112B_genes	MHP_168L_genes
OG0000502	NBX26_RS01325	MHP168L_RS01285
OG0000503	NBX26_RS00770	MHP168L_RS00905
OG0000505	NBX26_RS01070	MHP168L_RS00725
OG0000507	NBX26_RS01115	MHP168L_RS00685
OG0000508	NBX26_RS00245	MHP168L_RS00230
OG0000511	NBX26_RS00425	MHP168L_RS00410
OG0000512	NBX26_RS02715	MHP168L_RS02585
OG0000513	NBX26_RS03625	MHP168L_RS03410
OG0000514	NBX26_RS03035	MHP168L_RS02890
OG0000515	NBX26_RS02255	MHP168L_RS01655
OG0000516	NBX26_RS02090	MHP168L_RS02100
OG0000517	NBX26_RS00065	MHP168L_RS00065
OG0000518	NBX26_RS03275	MHP168L_RS03105
OG0000521	NBX26_RS00260	MHP168L_RS00245
OG0000522	NBX26_RS00295	MHP168L_RS00280
OG0000523	NBX26_RS03560	MHP168L_RS03350
OG0000525	NBX26_RS03520	MHP168L_RS03320
OG0000526	NBX26_RS02270	MHP168L_RS03980
OG0000527	NBX26_RS02325	MHP168L_RS03975
OG0000528	NBX26_RS02085	MHP168L_RS02105
OG0000530	NBX26_RS02495	MHP168L_RS02370
OG0000532	NBX26_RS01750	MHP168L_RS01805
OG0000533	NBX26_RS00600	MHP168L_RS01060
OG0000534	NBX26_RS00375	MHP168L_RS00360
OG0000535	NBX26_RS00045	MHP168L_RS00045
OG0000536	NBX26_RS03740	MHP168L_RS03525
OG0000540	NBX26_RS02805	MHP168L_RS02670
OG0000542	NBX26_RS00345	MHP168L_RS00330
OG0000543	NBX26_RS01930	MHP168L_RS03535
OG0000544	NBX26_RS01380	MHP168L_RS01335
OG0000545	NBX26_RS02280	MHP168L_RS01925
OG0000546	NBX26_RS02960	MHP168L_RS02820
OG0000551	NBX26_RS03155	MHP168L_RS03015
OG0000552	NBX26_RS03320	MHP168L_RS03140
OG0000553	NBX26_RS02865	MHP168L_RS02720
OG0000554	NBX26_RS02545	MHP168L_RS02415
OG0000555	NBX26_RS03090	MHP168L_RS02945
OG0000556	NBX26_RS01975	MHP168L_RS03560
OG0000557	NBX26_RS01390	MHP168L_RS01345
OG0000558	NBX26_RS01360	MHP168L_RS01315
OG0000559	NBX26_RS01830	MHP168L_RS01740
OG0000560	NBX26_RS02300	MHP168L_RS01915
OG0000561	NBX26_RS01245	MHP168L_RS01090
OG0000562	NBX26_RS02290	MHP168L_RS01920
OG0000563	NBX26_RS02305	MHP168L_RS01905
OG0000564	NBX26_RS01410	MHP168L_RS03955
OG0000565	NBX26_RS02225	MHP168L_RS01965
OG0000566	NBX26_RS02245	MHP168L_RS01955
OG0000567	NBX26_RS02275	MHP168L_RS01930
OG0000568	NBX26_RS00690	MHP168L_RS00975
OG0000569	NBX26_RS01365	MHP168L_RS01320
OG0000570	NBX26_RS01370	MHP168L_RS01325
OG0000571	NBX26_RS01375	MHP168L_RS01330
OG0000572	NBX26_RS01395	MHP168L_RS01350
OG0000573	NBX26_RS01825	MHP168L_RS01745
OG0000574	NBX26_RS01430	MHP168L_RS01395
OG0000575	NBX26_RS01355	MHP168L_RS01305
OG0000576	NBX26_RS01780	MHP168L_RS01780
OG0000577	NBX26_RS02830	MHP168L_RS02695
OG0000578	NBX26_RS02860	MHP168L_RS02715
OG0000579	NBX26_RS02315	MHP168L_RS01890
OG0000580	NBX26_RS02965	MHP168L_RS04050
OG0000581	NBX26_RS02320	MHP168L_RS01875
OG0000582	NBX26_RS01385	MHP168L_RS03935
OG0000583	NBX26_RS01815	MHP168L_RS01755
OG0000584	NBX26_RS01955	MHP168L_RS01245
OG0000585	NBX26_RS02360	MHP168L_RS02180
OG0000586	NBX26_RS01800	MHP168L_RS01765
OG0000587	NBX26_RS02220	MHP168L_RS04085
OG0000588	NBX26_RS01770	MHP168L_RS01785
OG0000590	NBX26_RS01945	MHP168L_RS03550
OG0000591	NBX26_RS02205	MHP168L_RS04095
OG0000592	NBX26_RS02820	MHP168L_RS02680
OG0000593	NBX26_RS03725	MHP168L_RS03510
OG0000596	NBX26_RS01865	MHP168L_RS01705
OG0000598	NBX26_RS01870	MHP168L_RS01700
OG0000599	NBX26_RS01875	MHP168L_RS01695
OG0000600	NBX26_RS01960	MHP168L_RS01240
OG0000602	NBX26_RS02060	MHP168L_RS02275
OG0000604	NBX26_RS02975	MHP168L_RS04100
OG0000605	NBX26_RS01970	MHP168L_RS01220
OG0000609	NBX26_RS02260	MHP168L_RS03835
OG0000610	NBX26_RS00675	MHP168L_RS04075
OG0000612	NBX26_RS01880	MHP168L_RS04070
OG0000616	NBX26_RS01980	MHP168L_RS03565
