Orthogroup	MHP_112B_genes	MHP_F72C_genes
OG0000514	NBX26_RS03035	EHI52_RS02850
OG0000515	NBX26_RS02255	EHI52_RS02090
OG0000516	NBX26_RS02090	EHI52_RS01925
OG0000517	NBX26_RS00065	EHI52_RS00065
OG0000518	NBX26_RS03275	EHI52_RS03125
OG0000521	NBX26_RS00260	EHI52_RS00275
OG0000522	NBX26_RS00295	EHI52_RS00310
OG0000523	NBX26_RS03560	EHI52_RS03360
OG0000525	NBX26_RS03520	EHI52_RS03345
OG0000526	NBX26_RS02270	EHI52_RS03800
OG0000527	NBX26_RS02325	EHI52_RS02185
OG0000528	NBX26_RS02085	EHI52_RS01920
OG0000530	NBX26_RS02495	EHI52_RS02355
OG0000532	NBX26_RS01750	EHI52_RS01685
OG0000534	NBX26_RS00375	EHI52_RS00395
OG0000535	NBX26_RS00045	EHI52_RS00045
OG0000536	NBX26_RS03740	EHI52_RS03545
OG0000540	NBX26_RS02805	EHI52_RS02635
OG0000542	NBX26_RS00345	EHI52_RS00365
OG0000544	NBX26_RS01380	EHI52_RS01315
OG0000545	NBX26_RS02280	EHI52_RS02110
OG0000546	NBX26_RS02960	EHI52_RS02780
OG0000551	NBX26_RS03155	EHI52_RS02975
OG0000552	NBX26_RS03320	EHI52_RS03160
OG0000553	NBX26_RS02865	EHI52_RS02680
OG0000554	NBX26_RS02545	EHI52_RS02400
OG0000555	NBX26_RS03090	EHI52_RS03850
OG0000557	NBX26_RS01390	EHI52_RS01325
OG0000558	NBX26_RS01360	EHI52_RS01295
OG0000559	NBX26_RS01830	EHI52_RS01755
OG0000560	NBX26_RS02300	EHI52_RS02125
OG0000561	NBX26_RS01245	EHI52_RS01180
OG0000562	NBX26_RS02290	EHI52_RS02120
OG0000563	NBX26_RS02305	EHI52_RS02135
OG0000564	NBX26_RS01410	EHI52_RS03770
OG0000565	NBX26_RS02225	EHI52_RS02070
OG0000566	NBX26_RS02245	EHI52_RS02080
OG0000567	NBX26_RS02275	EHI52_RS02105
OG0000568	NBX26_RS00690	EHI52_RS00685
OG0000569	NBX26_RS01365	EHI52_RS01300
OG0000570	NBX26_RS01370	EHI52_RS01305
OG0000571	NBX26_RS01375	EHI52_RS01310
OG0000572	NBX26_RS01395	EHI52_RS01330
OG0000573	NBX26_RS01825	EHI52_RS01750
OG0000574	NBX26_RS01430	EHI52_RS01370
OG0000575	NBX26_RS01355	EHI52_RS01285
OG0000576	NBX26_RS01780	EHI52_RS01710
OG0000577	NBX26_RS02830	EHI52_RS02655
OG0000578	NBX26_RS02860	EHI52_RS02675
OG0000579	NBX26_RS02315	EHI52_RS02170
OG0000580	NBX26_RS02965	EHI52_RS03845
OG0000581	NBX26_RS02320	EHI52_RS02175
OG0000582	NBX26_RS01385	EHI52_RS03765
OG0000583	NBX26_RS01815	EHI52_RS01740
OG0000585	NBX26_RS02360	EHI52_RS02220
OG0000586	NBX26_RS01800	EHI52_RS01725
OG0000587	NBX26_RS02220	EHI52_RS03915
OG0000588	NBX26_RS01770	EHI52_RS01700
OG0000589	NBX26_RS01005	EHI52_RS00950
OG0000591	NBX26_RS02205	EHI52_RS02045
OG0000592	NBX26_RS02820	EHI52_RS02645
OG0000593	NBX26_RS03725	EHI52_RS03525
OG0000595	NBX26_RS03175	EHI52_RS03000
OG0000596	NBX26_RS01865	EHI52_RS01785
OG0000597	NBX26_RS03170	EHI52_RS02995
OG0000598	NBX26_RS01870	EHI52_RS01790
OG0000599	NBX26_RS01875	EHI52_RS01795
OG0000602	NBX26_RS02060	EHI52_RS01900
OG0000604	NBX26_RS02975	EHI52_RS03890
OG0000607	NBX26_RS01340	EHI52_RS03630
OG0000608	NBX26_RS02285	EHI52_RS02115
OG0000609	NBX26_RS02260	EHI52_RS03640
OG0000611	NBX26_RS00100	EHI52_RS00090
OG0000612	NBX26_RS01880	EHI52_RS01800
OG0000613	NBX26_RS02210	EHI52_RS03785
OG0000622	NBX26_RS00955	EHI52_RS03730
OG0000623	NBX26_RS01890	EHI52_RS03895, EHI52_RS03875
OG0000623	NBX26_RS02345	EHI52_RS03645
