Orthogroup	MHP_LH_protein	MHP_ES2_protein
OG0000575	WP_011206015.1	WP_240536365.1
OG0000576	WP_160585617.1	WP_135618569.1
OG0000577	WP_011206153.1	WP_011206153.1
OG0000578	WP_233688731.1	WP_135618767.1
OG0000579	WP_233688732.1	WP_135618769.1
OG0000580	WP_011290150.1	WP_135618773.1
OG0000581	WP_014579759.1	WP_135618777.1
OG0000582	WP_011206161.1	WP_011206161.1
OG0000583	WP_011284098.1	WP_135618808.1
OG0000584	WP_011284100.1	WP_011206182.1
OG0000585	WP_146379618.1	WP_135618812.1
OG0000586	WP_233688748.1	WP_240536393.1
OG0000587	WP_179221114.1	WP_135618816.1
OG0000588	WP_135618818.1	WP_135618818.1
OG0000589	WP_160606463.1	WP_135618820.1
OG0000590	WP_233688429.1	WP_237697200.1
OG0000591	WP_233688490.1	WP_044284684.1
OG0000592	WP_179696078.1	WP_135618988.1
OG0000593	WP_011206475.1	WP_135619129.1
OG0000594	WP_233688572.1	WP_135619160.1
OG0000595	WP_014579703.1	WP_240536368.1
OG0000596	WP_233688700.1	WP_240536375.1
OG0000597	WP_020835695.1	WP_135618810.1
OG0000598	WP_233688694.1	WP_135618656.1
OG0000599	WP_011284018.1	WP_014579714.1
OG0000600	WP_233688669.1	WP_135618627.1
OG0000601	WP_233688752.1	WP_135618822.1
OG0000602	WP_228365393.1	WP_225972995.1
OG0000603	WP_232039555.1	WP_240536353.1
OG0000604	WP_233688751.1	WP_094521668.1
OG0000605	WP_233688422.1	WP_135618870.1
OG0000606	WP_233688679.1	WP_135618743.1
OG0000607	WP_233688681.1	WP_135618749.1, WP_135618910.1
OG0000608	WP_233688735.1	WP_135618775.1
OG0000609	WP_233688743.1	WP_240536391.1
OG0000610	WP_233688744.1	WP_135618801.1
OG0000611	WP_233688747.1	WP_135618805.1
OG0000612	WP_233688484.1	WP_011206323.1
OG0000613	WP_233688498.1	WP_240536345.1
OG0000614	WP_233688486.1	WP_011290300.1
OG0000615	WP_258556645.1	WP_276310469.1
OG0000616	WP_233688730.1	WP_228729172.1
OG0000617	WP_011284111.1	WP_318026027.1
OG0000618	WP_233688733.1	WP_044284628.1
OG0000619	WP_002557988.1	WP_002557988.1
OG0000620	WP_233688426.1	WP_011284157.1
OG0000621	WP_233688680.1	WP_240536324.1
OG0000622	WP_160585768.1	WP_135618874.1
OG0000623	WP_233688750.1	WP_228729174.1
OG0000624	WP_233688515.1	WP_135619047.1
OG0000626	WP_044272591.1	WP_167871266.1
OG0000627	WP_233688745.1	WP_011206176.1
OG0000628	WP_233688441.1	WP_240536317.1
OG0000629	WP_258555242.1	WP_258555422.1
OG0000631	WP_233688421.1	WP_228729165.1
OG0000631	WP_233688420.1, WP_179221135.1	WP_215773932.1
OG0000633	WP_011206362.1	WP_135618747.1
OG0000634	WP_158209054.1	WP_158209054.1
OG0000636	WP_011206361.1	WP_135618745.1
OG0000637	WP_233688678.1	WP_240536325.1
OG0000638	WP_233688723.1	WP_135618726.1
OG0000640	WP_232039520.1	WP_232039520.1
OG0000643	WP_233688599.1	WP_135618456.1
OG0000644	WP_233688601.1	WP_135618460.1
OG0000646	WP_157696717.1	WP_158520147.1
OG0000649	WP_011206177.1	WP_135618803.1
OG0000650	WP_135619112.1	WP_135619112.1
OG0000652	WP_014579770.1	WP_269076340.1
OG0000655	WP_233688425.1	WP_020835740.1
OG0000656	WP_233688423.1	WP_233688423.1
OG0000657	WP_233688753.1	WP_240536401.1
OG0000665	WP_233688424.1	WP_233688424.1
