Orthogroup	MHP_LH_protein	MHP_F72C_protein
OG0000584	WP_011284100.1	WP_011284100.1
OG0000585	WP_146379618.1	WP_146379618.1
OG0000586	WP_233688748.1	WP_225972971.1
OG0000587	WP_179221114.1	WP_146379615.1
OG0000588	WP_135618818.1	WP_146379613.1
OG0000589	WP_160606463.1	WP_146379612.1
OG0000590	WP_233688429.1	WP_225972974.1
OG0000591	WP_233688490.1	WP_146379677.1
OG0000592	WP_179696078.1	WP_146379683.1
OG0000593	WP_011206475.1	WP_146379747.1
OG0000594	WP_233688572.1	WP_146379763.1
OG0000595	WP_014579703.1	WP_014579703.1
OG0000596	WP_233688700.1	WP_014579710.1
OG0000597	WP_020835695.1	WP_020835695.1
OG0000598	WP_233688694.1	WP_146379780.1
OG0000599	WP_011284018.1	WP_014579714.1
OG0000600	WP_233688669.1	WP_146379525.1
OG0000601	WP_233688752.1	WP_225972967.1
OG0000602	WP_228365393.1	WP_225972995.1
OG0000603	WP_232039555.1	WP_044272656.1
OG0000604	WP_233688751.1	WP_225972969.1
OG0000605	WP_233688422.1	WP_225973021.1
OG0000608	WP_233688735.1	WP_146379579.1
OG0000609	WP_233688743.1	WP_225972972.1
OG0000610	WP_233688744.1	WP_146379624.1
OG0000611	WP_233688747.1	WP_146379623.1
OG0000612	WP_233688484.1	WP_094521725.1
OG0000613	WP_233688498.1	WP_225972994.1
OG0000614	WP_233688486.1	WP_011290300.1
OG0000615	WP_258556645.1	WP_225972965.1
OG0000616	WP_233688730.1	WP_192894289.1
OG0000617	WP_011284111.1	WP_240536501.1
OG0000618	WP_233688733.1	WP_146379577.1
OG0000619	WP_002557988.1	WP_146379516.1
OG0000620	WP_233688426.1	WP_146379518.1
OG0000622	WP_160585768.1	WP_146379626.1
OG0000623	WP_233688750.1	WP_192894277.1
OG0000624	WP_233688515.1	WP_146379708.1
OG0000626	WP_044272591.1	WP_044272591.1
OG0000627	WP_233688745.1	WP_014579783.1
OG0000628	WP_233688441.1	WP_225972978.1, WP_258555362.1
OG0000629	WP_258555242.1	WP_258555422.1
OG0000631	WP_233688421.1	WP_225973023.1
OG0000634	WP_158209054.1	WP_158209054.1
OG0000638	WP_233688723.1	WP_135618726.1
OG0000640	WP_232039520.1	WP_225973036.1
OG0000643	WP_233688599.1	WP_146379452.1
OG0000644	WP_233688601.1	WP_146379454.1
OG0000646	WP_157696717.1	WP_158520147.1
OG0000648	WP_094521537.1	WP_146379448.1
OG0000650	WP_135619112.1	WP_146379738.1
OG0000651	WP_232039500.1	WP_225973003.1
OG0000657	WP_233688753.1	WP_225972966.1
