Orthogroup	MHP_ES2L_proteins	MHP_MHP650_proteins
OG0000563	WP_179221110.1	WP_014579786.1
OG0000564	WP_094521768.1	WP_094521768.1
OG0000565	WP_011290181.1	WP_160601059.1
OG0000566	WP_240536656.1	WP_258556671.1
OG0000567	WP_240536653.1	WP_308704760.1
OG0000568	WP_160585617.1	WP_011206097.1
OG0000569	WP_179221060.1	WP_160601085.1
OG0000570	WP_179221061.1	WP_160601083.1
OG0000571	WP_179221062.1	WP_044284610.1
OG0000572	WP_179221064.1	WP_160601081.1
OG0000573	WP_011206160.1	WP_160601014.1
OG0000574	WP_014579714.1	WP_160600856.1
OG0000575	WP_135618654.1	WP_011284002.1
OG0000576	WP_011206153.1	WP_011290145.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_041361678.1	WP_044284684.1
OG0000579	WP_240536652.1	WP_160601051.1
OG0000580	WP_160600802.1	WP_258556623.1
OG0000581	WP_094521657.1	WP_160601048.1
OG0000582	WP_240536638.1	WP_308704762.1
OG0000583	WP_179221104.1	WP_160601012.1
OG0000584	WP_179221209.1	WP_160601156.1, WP_318026602.1
OG0000585	WP_179221137.1	WP_258556676.1
OG0000586	WP_240536648.1	WP_146379577.1
OG0000587	WP_258555257.1	WP_011284111.1
OG0000588	WP_179221099.1	WP_308704758.1
OG0000589	WP_002557988.1	WP_160601265.1
OG0000590	WP_179221211.1	WP_160601159.1
OG0000591	WP_258556645.1	WP_258556645.1
OG0000592	WP_011206323.1	WP_160601046.1
OG0000593	WP_179221271.1	WP_160600808.1
OG0000594	WP_160584731.1	WP_160601089.1
OG0000600	WP_179221208.1	WP_160584945.1
OG0000601	WP_014579787.1	WP_044284638.1
OG0000603	WP_094521557.1	WP_135618745.1
OG0000604	WP_276310606.1	WP_258555242.1
OG0000605	WP_240536617.1	WP_160585712.1
OG0000606	WP_160587871.1	WP_011206176.1
OG0000608	WP_179221112.1	WP_146379617.1
OG0000609	WP_179221113.1	WP_220190677.1
OG0000614	WP_240536588.1	WP_094521688.1
OG0000615	WP_276310604.1	WP_160601035.1
OG0000616	WP_011206358.1	WP_011206358.1
OG0000617	WP_334199378.1	WP_371863322.1
OG0000620	WP_179221116.1	WP_143826160.1
