Orthogroup	MHP_153B_proteins	MHP_F72C_proteins
OG0000564	WP_041361605.1	WP_014579710.1
OG0000565	WP_404924177.1	WP_146379612.1
OG0000566	WP_404924176.1	WP_225972969.1
OG0000567	WP_404924170.1	WP_225972971.1
OG0000568	WP_044272325.1	WP_146379498.1
OG0000569	WP_404924119.1	WP_146379543.1
OG0000570	WP_404924120.1	WP_146379544.1
OG0000571	WP_011205986.1	WP_135618664.1
OG0000572	WP_404924123.1	WP_146379546.1
OG0000573	WP_020835676.1	WP_135618777.1
OG0000574	WP_011284018.1	WP_014579714.1
OG0000575	WP_011290089.1	WP_146379542.1
OG0000576	WP_404924148.1	WP_011290145.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_041361678.1	WP_146379677.1
OG0000579	WP_404924167.1	WP_146379623.1
OG0000580	WP_258555565.1	WP_225972994.1
OG0000581	WP_404924164.1	WP_146379624.1
OG0000582	WP_404924122.1	WP_225973028.1
OG0000583	WP_404924154.1	WP_011290150.1
OG0000585	WP_404923950.1	WP_146379626.1
OG0000586	WP_404924151.1	WP_146379577.1
OG0000587	WP_308507028.1	WP_240536501.1
OG0000588	WP_404924147.1	WP_192894289.1
OG0000589	WP_404923935.1	WP_146379516.1
OG0000591	WP_258555396.1	WP_225972965.1
OG0000592	WP_404923984.1	WP_094521725.1
OG0000594	WP_404924189.1	WP_146379780.1
OG0000595	WP_404924014.1	WP_146379708.1
OG0000597	WP_404924013.1	WP_044272591.1
OG0000606	WP_404924165.1	WP_014579783.1
OG0000607	WP_158209054.1	WP_158209054.1
OG0000609	WP_157696717.1	WP_158520147.1
OG0000611	WP_225973003.1	WP_225973003.1
OG0000622	WP_404923945.1	WP_225973020.1
