Orthogroup	MHP_MHP653_protein	MHP_MHP679_protein
OG0000597	WP_020835695.1	WP_020835695.1
OG0000598	WP_160615797.1	WP_160590379.1
OG0000599	WP_014579714.1	WP_014579714.1
OG0000601	WP_160590015.1	WP_160590015.1
OG0000602	WP_228365393.1	WP_228365393.1
OG0000603	WP_240536353.1	WP_308704613.1
OG0000604	WP_258555904.1	WP_258555665.1
OG0000605	WP_160615955.1	WP_160590513.1
OG0000608	WP_160606777.1	WP_160590234.1
OG0000609	WP_160615963.1	WP_258555658.1
OG0000610	WP_160585815.1	WP_160590075.1
OG0000611	WP_160585817.1	WP_258555659.1
OG0000612	WP_160615816.1	WP_160590121.1
OG0000613	WP_020835830.1	WP_160587867.1
OG0000615	WP_258555396.1	WP_258555396.1
OG0000616	WP_308507038.1	WP_308704703.1
OG0000617	WP_308507028.1	WP_308507028.1
OG0000618	WP_258555937.1	WP_160590239.1
OG0000619	WP_160615957.1	WP_160590515.1
OG0000620	WP_160615973.1	WP_011284157.1
OG0000622	WP_160615873.1	WP_160590313.1
OG0000623	WP_192894277.1	WP_192894277.1
OG0000624	WP_160615601.1	WP_160590418.1
OG0000625	WP_160615975.1	WP_258555727.1
OG0000626	WP_220191267.1	WP_167871266.1
OG0000627	WP_160615965.1	WP_160590079.1
OG0000634	WP_158209054.1	WP_158209054.1
OG0000638	WP_308507034.1, WP_258555922.1	WP_160590483.1
OG0000642	WP_160585754.1	WP_020835697.1
OG0000650	WP_258555960.1	WP_258555699.1
OG0000655	WP_094521688.1	WP_094521688.1
OG0000656	WP_243234977.1	WP_233688423.1
OG0000657	WP_258555653.1	WP_258555653.1
OG0000658	WP_179221224.1	WP_179221224.1
OG0000662	WP_158632000.1	WP_158632000.1
OG0000664	WP_334199373.1	WP_308507007.1
OG0000665	WP_233688424.1	WP_233688424.1
OG0000677	WP_160615862.1	WP_160590531.1, WP_160590543.1
OG0000696	WP_160585333.1	WP_002557989.1
OG0000703	WP_160615814.1	WP_258555734.1
OG0000704	WP_160615986.1	WP_160590553.1
OG0000705	WP_308507033.1	WP_308704705.1
