Orthogroup	MHP_153B_genes	MHP_168L_genes
OG0000517	NB625_RS00065	MHP168L_RS00065
OG0000518	NB625_RS03260	MHP168L_RS03105
OG0000520	NB625_RS00770	MHP168L_RS00750
OG0000521	NB625_RS00270	MHP168L_RS00245
OG0000522	NB625_RS00305	MHP168L_RS00280
OG0000524	NB625_RS02830	MHP168L_RS02705
OG0000525	NB625_RS03490	MHP168L_RS03320
OG0000526	NB625_RS01825	MHP168L_RS03980
OG0000527	NB625_RS01765	MHP168L_RS03975, MHP168L_RS03970
OG0000529	NB625_RS02385	MHP168L_RS02150
OG0000530	NB625_RS02490	MHP168L_RS02370
OG0000532	NB625_RS01625	MHP168L_RS01805
OG0000533	NB625_RS01090	MHP168L_RS01060
OG0000535	NB625_RS00045	MHP168L_RS00045
OG0000536	NB625_RS03690	MHP168L_RS03525
OG0000539	NB625_RS00220	MHP168L_RS00190
OG0000540	NB625_RS02795	MHP168L_RS02670
OG0000541	NB625_RS02875	MHP168L_RS02750
OG0000542	NB625_RS00355	MHP168L_RS00330
OG0000543	NB625_RS02070	MHP168L_RS03535
OG0000544	NB625_RS01250	MHP168L_RS01335
OG0000545	NB625_RS01815	MHP168L_RS01925
OG0000546	NB625_RS02945	MHP168L_RS02820
OG0000551	NB625_RS03140	MHP168L_RS03015
OG0000552	NB625_RS03305	MHP168L_RS03140
OG0000553	NB625_RS02850, NB625_RS02845	MHP168L_RS02720
OG0000554	NB625_RS02535	MHP168L_RS02415
OG0000555	NB625_RS03075	MHP168L_RS02945
OG0000556	NB625_RS02115	MHP168L_RS03560
OG0000556	NB625_RS02130	MHP168L_RS01195
OG0000557	NB625_RS01265	MHP168L_RS01345
OG0000558	NB625_RS01230	MHP168L_RS01315
OG0000559	NB625_RS01705	MHP168L_RS01740
OG0000560	NB625_RS01805	MHP168L_RS01915
OG0000561	NB625_RS01115	MHP168L_RS01090
OG0000562	NB625_RS01810	MHP168L_RS01920
OG0000563	NB625_RS01800	MHP168L_RS01905
OG0000564	NB625_RS01290	MHP168L_RS03955
OG0000565	NB625_RS01875	MHP168L_RS01965
OG0000566	NB625_RS01855	MHP168L_RS01955
OG0000567	NB625_RS01820	MHP168L_RS01930
OG0000568	NB625_RS01000	MHP168L_RS00975
OG0000569	NB625_RS01235	MHP168L_RS01320
OG0000570	NB625_RS01240	MHP168L_RS01325
OG0000571	NB625_RS01245	MHP168L_RS01330
OG0000572	NB625_RS01270	MHP168L_RS01350
OG0000573	NB625_RS01700	MHP168L_RS01745
OG0000574	NB625_RS01310	MHP168L_RS01395
OG0000575	NB625_RS01220	MHP168L_RS01305
OG0000576	NB625_RS01655	MHP168L_RS01780
OG0000577	NB625_RS02815	MHP168L_RS02695
OG0000578	NB625_RS02840	MHP168L_RS02715
OG0000579	NB625_RS01785	MHP168L_RS01890
OG0000580	NB625_RS02950	MHP168L_RS04050
OG0000581	NB625_RS01770	MHP168L_RS01875
OG0000582	NB625_RS01260	MHP168L_RS03935
OG0000583	NB625_RS01690	MHP168L_RS01755
OG0000584	NB625_RS02095	MHP168L_RS01245
OG0000585	NB625_RS02355	MHP168L_RS02180
OG0000586	NB625_RS01675	MHP168L_RS01765
OG0000587	NB625_RS01880	MHP168L_RS04085
OG0000588	NB625_RS01645	MHP168L_RS01785
OG0000590	NB625_RS02085	MHP168L_RS03550
OG0000591	NB625_RS01895	MHP168L_RS04095
OG0000592	NB625_RS02805	MHP168L_RS02680
OG0000594	NB625_RS01225	MHP168L_RS01310
OG0000600	NB625_RS02100	MHP168L_RS01240
OG0000605	NB625_RS02110	MHP168L_RS01220
OG0000606	NB625_RS01775	MHP168L_RS01880
OG0000609	NB625_RS01835	MHP168L_RS03835
OG0000610	NB625_RS01010	MHP168L_RS04075
OG0000616	NB625_RS02120	MHP168L_RS03565
OG0000619	NB625_RS01780	MHP168L_RS01885
OG0000621	NB625_RS01890	MHP168L_RS04090
