Orthogroup	MHP_153B_genes	MHP_Ue273_genes
OG0000554	NB625_RS02535	VQY17_RS02395
OG0000557	NB625_RS01265	VQY17_RS01285
OG0000558	NB625_RS01230	VQY17_RS01255
OG0000559	NB625_RS01705	VQY17_RS01745
OG0000560	NB625_RS01805	VQY17_RS01880
OG0000561	NB625_RS01115	VQY17_RS01140
OG0000562	NB625_RS01810	VQY17_RS01885
OG0000563	NB625_RS01800	VQY17_RS01870
OG0000564	NB625_RS01290	VQY17_RS01305
OG0000565	NB625_RS01875	VQY17_RS01945
OG0000566	NB625_RS01855	VQY17_RS01925
OG0000567	NB625_RS01820	VQY17_RS01900
OG0000568	NB625_RS01000	VQY17_RS00685
OG0000569	NB625_RS01235	VQY17_RS01260
OG0000570	NB625_RS01240	VQY17_RS01265
OG0000571	NB625_RS01245	VQY17_RS01270
OG0000572	NB625_RS01270	VQY17_RS01290
OG0000573	NB625_RS01700	VQY17_RS01740
OG0000574	NB625_RS01310	VQY17_RS01325
OG0000575	NB625_RS01220	VQY17_RS01245
OG0000576	NB625_RS01655	VQY17_RS01690
OG0000577	NB625_RS02815	VQY17_RS02650
OG0000578	NB625_RS02840	VQY17_RS02670
OG0000579	NB625_RS01785	VQY17_RS01845
OG0000580	NB625_RS02950	VQY17_RS02770
OG0000581	NB625_RS01770	VQY17_RS01830
OG0000582	NB625_RS01260	VQY17_RS01280
OG0000583	NB625_RS01690	VQY17_RS01730
OG0000585	NB625_RS02355	VQY17_RS02215
OG0000586	NB625_RS01675	VQY17_RS01705
OG0000587	NB625_RS01880	VQY17_RS01950
OG0000588	NB625_RS01645	VQY17_RS01680
OG0000591	NB625_RS01895	VQY17_RS01970
OG0000592	NB625_RS02805	VQY17_RS02640
OG0000594	NB625_RS01225	VQY17_RS01250
OG0000606	NB625_RS01775	VQY17_RS01840
OG0000609	NB625_RS01835	VQY17_RS01915
OG0000610	NB625_RS01010	VQY17_RS00675
OG0000611	NB625_RS00095	VQY17_RS00090
OG0000622	NB625_RS02320	VQY17_RS00950
