Orthogroup	MHP_131B_genes	MHP_ES2L_genes
OG0000555	NB627_RS03105	HZK19_RS02880
OG0000556	NB627_RS00460	HZK19_RS03050
OG0000557	NB627_RS01385	HZK19_RS01230
OG0000558	NB627_RS01345	HZK19_RS01195
OG0000559	NB627_RS01830	HZK19_RS01670
OG0000560	NB627_RS01940	HZK19_RS01770
OG0000561	NB627_RS01225	HZK19_RS01085
OG0000562	NB627_RS01945	HZK19_RS01775
OG0000563	NB627_RS01935	HZK19_RS01760
OG0000564	NB627_RS01410	HZK19_RS03725
OG0000565	NB627_RS02010	HZK19_RS01835
OG0000566	NB627_RS01990	HZK19_RS01815
OG0000567	NB627_RS01960	HZK19_RS01790
OG0000568	NB627_RS00795	HZK19_RS00660
OG0000569	NB627_RS01350	HZK19_RS01200
OG0000570	NB627_RS01355	HZK19_RS01205
OG0000571	NB627_RS01360	HZK19_RS01210
OG0000572	NB627_RS01390	HZK19_RS01235
OG0000573	NB627_RS01825	HZK19_RS01665
OG0000574	NB627_RS01430	HZK19_RS01275
OG0000576	NB627_RS01780	HZK19_RS01615
OG0000577	NB627_RS02850	HZK19_RS02625
OG0000578	NB627_RS02870	HZK19_RS02650
OG0000579	NB627_RS01920	HZK19_RS01750
OG0000580	NB627_RS02980	HZK19_RS02760
OG0000581	NB627_RS01915	HZK19_RS01735
OG0000582	NB627_RS01380	HZK19_RS01225
OG0000583	NB627_RS01815	HZK19_RS01655
OG0000584	NB627_RS00485	HZK19_RS03070
OG0000585	NB627_RS02370	HZK19_RS02180
OG0000586	NB627_RS01800	HZK19_RS01635
OG0000587	NB627_RS02020	HZK19_RS03875
OG0000588	NB627_RS01770	HZK19_RS01610
OG0000589	NB627_RS02300	HZK19_RS02120
OG0000590	NB627_RS00495	HZK19_RS03080
OG0000591	NB627_RS02035	HZK19_RS03885
OG0000593	NB627_RS03730	HZK19_RS03575
OG0000594	NB627_RS01340	HZK19_RS01190
OG0000595	NB627_RS03195	HZK19_RS02965
OG0000597	NB627_RS03190	HZK19_RS02960
OG0000600	NB627_RS00480	HZK19_RS03065
OG0000603	NB627_RS00475	HZK19_RS03060
OG0000604	NB627_RS02990	HZK19_RS03900
OG0000605	NB627_RS00470	HZK19_RS03055
OG0000608	NB627_RS01950	HZK19_RS01780
OG0000615	NB627_RS02880	HZK19_RS02660
OG0000616	NB627_RS00455	HZK19_RS03045
OG0000617	NB627_RS01785	HZK19_RS01620
OG0000620	NB627_RS02015	HZK19_RS01845
