Orthogroup	MHP_131B_genes	MHP_LH_genes
OG0000559	NB627_RS01830	KUD10_RS01760
OG0000560	NB627_RS01940	KUD10_RS01875
OG0000561	NB627_RS01225	KUD10_RS01105
OG0000562	NB627_RS01945	KUD10_RS01880
OG0000563	NB627_RS01935	KUD10_RS01865
OG0000564	NB627_RS01410	KUD10_RS01360
OG0000565	NB627_RS02010	KUD10_RS01930
OG0000566	NB627_RS01990	KUD10_RS01915
OG0000567	NB627_RS01960	KUD10_RS01890
OG0000568	NB627_RS00795	KUD10_RS00680
OG0000569	NB627_RS01350	KUD10_RS01310
OG0000570	NB627_RS01355	KUD10_RS01315
OG0000571	NB627_RS01360	KUD10_RS01320
OG0000572	NB627_RS01390	KUD10_RS01340
OG0000573	NB627_RS01825	KUD10_RS01755
OG0000574	NB627_RS01430	KUD10_RS01380
OG0000576	NB627_RS01780	KUD10_RS01715
OG0000577	NB627_RS02850	KUD10_RS02745
OG0000578	NB627_RS02870	KUD10_RS02765
OG0000579	NB627_RS01920	KUD10_RS01855
OG0000580	NB627_RS02980	KUD10_RS02870
OG0000581	NB627_RS01915	KUD10_RS01835
OG0000582	NB627_RS01380	KUD10_RS01330
OG0000583	NB627_RS01815	KUD10_RS01745
OG0000584	NB627_RS00485	KUD10_RS01190
OG0000585	NB627_RS02370	KUD10_RS02275
OG0000586	NB627_RS01800	KUD10_RS01730
OG0000587	NB627_RS02020	KUD10_RS03745
OG0000588	NB627_RS01770	KUD10_RS01705
OG0000589	NB627_RS02300	KUD10_RS02220
OG0000590	NB627_RS00495	KUD10_RS01200
OG0000591	NB627_RS02035	KUD10_RS03705
OG0000593	NB627_RS03730	KUD10_RS03595
OG0000594	NB627_RS01340	KUD10_RS01300
OG0000595	NB627_RS03195	KUD10_RS03070
OG0000596	NB627_RS01870	KUD10_RS01795
OG0000597	NB627_RS03190	KUD10_RS03065
OG0000598	NB627_RS01875	KUD10_RS01800
OG0000599	NB627_RS01880	KUD10_RS01805
OG0000600	NB627_RS00480	KUD10_RS01185
OG0000603	NB627_RS00475	KUD10_RS01180
OG0000604	NB627_RS02990	KUD10_RS03715
OG0000605	NB627_RS00470	KUD10_RS01175
OG0000607	NB627_RS01325	KUD10_RS01285
OG0000611	NB627_RS00095	KUD10_RS00090
OG0000612	NB627_RS01885	KUD10_RS03695
OG0000613	NB627_RS02030	KUD10_RS01945
