Orthogroup	MHP_7422_proteins	MHP_UFV01_proteins
OG0000559	WP_020835677.1	WP_011206161.1
OG0000560	WP_011284100.1	WP_011284100.1
OG0000561	WP_011290073.1	WP_243216012.1
OG0000562	WP_020835696.1	WP_243216120.1
OG0000563	WP_011290172.1	WP_014579786.1
OG0000564	WP_041361605.1	WP_094521768.1
OG0000565	WP_011290181.1	WP_243216135.1
OG0000566	WP_236607971.1	WP_243216130.1
OG0000567	WP_020835699.1	WP_243216124.1
OG0000568	WP_020835571.1	WP_243215991.1
OG0000569	WP_020835625.1	WP_243216033.1
OG0000570	WP_011290093.1	WP_014579701.1
OG0000571	WP_011205986.1	WP_243216034.1
OG0000572	WP_020835628.1	WP_243216038.1
OG0000573	WP_020835676.1	WP_243216093.1
OG0000574	WP_011284018.1	WP_011284018.1
OG0000575	WP_011290089.1	WP_243216030.1
OG0000576	WP_011290145.1	WP_011290145.1
OG0000577	WP_020835810.1	WP_011290300.1
OG0000578	WP_041361678.1	WP_243216270.1
OG0000579	WP_020835691.1	WP_243216118.1
OG0000580	WP_236607953.1	WP_041361798.1
OG0000581	WP_020835690.1	WP_233688744.1
OG0000582	WP_020835627.1	WP_243216036.1
OG0000583	WP_020835674.1	WP_243216090.1
OG0000584	WP_020835557.1	WP_243216106.1
OG0000585	WP_148285449.1	WP_243216181.1
OG0000586	WP_020835672.1	WP_243216085.1
OG0000587	WP_258555257.1	WP_011284111.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000590	WP_011290233.1	WP_011290233.1
OG0000591	WP_258555396.1	WP_279288020.1
OG0000592	WP_011290298.1	WP_243216259.1
OG0000593	WP_020835922.1	WP_243215893.1
OG0000594	WP_011290090.1	WP_160584731.1
OG0000595	WP_020835859.1	WP_020835859.1
OG0000596	WP_020835683.1	WP_243216115.1
OG0000597	WP_051129933.1	WP_243216307.1
OG0000598	WP_020835684.1	WP_243216116.1
OG0000599	WP_041361623.1	WP_011206170.1
OG0000600	WP_014579686.1	WP_014579686.1
OG0000601	WP_020835695.1	WP_243216119.1
OG0000602	WP_041361769.1	WP_243216231.1
OG0000603	WP_014579683.1	WP_014579683.1
OG0000604	WP_258555242.1	WP_258555242.1
OG0000605	WP_011290237.1	WP_243216107.1
OG0000606	WP_020835692.1	WP_014579783.1
OG0000607	WP_158209054.1	WP_158209054.1
OG0000610	WP_269076320.1	WP_279288000.1
OG0000612	WP_041361626.1	WP_232039520.1
OG0000614	WP_020835740.1	WP_020835740.1
OG0000628	WP_041361554.1	WP_041361554.1
OG0000629	WP_187145657.1	WP_243216100.1
OG0000630	WP_041361551.1	WP_243216114.1
OG0000631	WP_020835551.1	WP_020835551.1
