Orthogroup	MHP_ES2L_genes	MHP_MHP650_genes
OG0000539	HZK19_RS00200	DR083_RS00090
OG0000540	HZK19_RS02605	DR083_RS01925
OG0000541	HZK19_RS02685	DR083_RS02135
OG0000542	HZK19_RS00335	DR083_RS00230
OG0000543	HZK19_RS03095	DR083_RS02950, DR083_RS03635
OG0000544	HZK19_RS01215	DR083_RS04805
OG0000545	HZK19_RS01785	DR083_RS04260, DR083_RS04250
OG0000546	HZK19_RS02755	DR083_RS00580
OG0000547	HZK19_RS02875	DR083_RS05065
OG0000548	HZK19_RS01560	DR083_RS03570
OG0000549	HZK19_RS03365	DR083_RS04845
OG0000550	HZK19_RS03510	DR083_RS00490
OG0000552	HZK19_RS03180	DR083_RS01755
OG0000553	HZK19_RS02655	DR083_RS04775
OG0000554	HZK19_RS02360	DR083_RS03145
OG0000556	HZK19_RS03050, HZK19_RS03035	DR083_RS04895
OG0000557	HZK19_RS01230	DR083_RS02430
OG0000558	HZK19_RS01195	DR083_RS02460
OG0000559	HZK19_RS01670	DR083_RS02095
OG0000560	HZK19_RS01770	DR083_RS02260
OG0000561	HZK19_RS01085	DR083_RS02015
OG0000562	HZK19_RS01775	DR083_RS02265
OG0000563	HZK19_RS01760	DR083_RS02250
OG0000564	HZK19_RS03725	DR083_RS01195
OG0000565	HZK19_RS01835	DR083_RS02325
OG0000566	HZK19_RS01815	DR083_RS02310
OG0000567	HZK19_RS01790	DR083_RS02280
OG0000568	HZK19_RS00660	DR083_RS01245
OG0000569	HZK19_RS01200	DR083_RS02455
OG0000570	HZK19_RS01205	DR083_RS04810
OG0000571	HZK19_RS01210	DR083_RS02445
OG0000572	HZK19_RS01235	DR083_RS02425
OG0000573	HZK19_RS01665	DR083_RS02090
OG0000574	HZK19_RS01275	DR083_RS01175
OG0000575	HZK19_RS01185	DR083_RS02470
OG0000576	HZK19_RS01615	DR083_RS05080
OG0000577	HZK19_RS02625	DR083_RS02190
OG0000578	HZK19_RS02650	DR083_RS02170
OG0000579	HZK19_RS01750	DR083_RS02240
OG0000580	HZK19_RS02760	DR083_RS03955
OG0000581	HZK19_RS01735	DR083_RS02225
OG0000582	HZK19_RS01225	DR083_RS04800
OG0000583	HZK19_RS01655	DR083_RS02080
OG0000584	HZK19_RS03070	DR083_RS02920, DR083_RS03400
OG0000585	HZK19_RS02180	DR083_RS04315
OG0000586	HZK19_RS01635	DR083_RS02065
OG0000587	HZK19_RS03875	DR083_RS05025
OG0000588	HZK19_RS01610	DR083_RS02040
OG0000589	HZK19_RS02120	DR083_RS03545
OG0000590	HZK19_RS03080	DR083_RS02930
OG0000591	HZK19_RS03885	DR083_RS04130
OG0000592	HZK19_RS02615	DR083_RS02200
OG0000593	HZK19_RS03575	DR083_RS00810
OG0000594	HZK19_RS01190	DR083_RS02465
OG0000600	HZK19_RS03065	DR083_RS03395
OG0000601	HZK19_RS01765	DR083_RS02255
OG0000603	HZK19_RS03060	DR083_RS03390
OG0000604	HZK19_RS03900	DR083_RS03960
OG0000605	HZK19_RS03055	DR083_RS03385
OG0000606	HZK19_RS01740	DR083_RS02230
OG0000608	HZK19_RS01780	DR083_RS02270
OG0000609	HZK19_RS01805	DR083_RS05095
OG0000614	HZK19_RS02140	DR083_RS03615
OG0000615	HZK19_RS02660	DR083_RS02160
OG0000616	HZK19_RS03045	DR083_RS03370
OG0000617	HZK19_RS01620	DR083_RS05085
OG0000620	HZK19_RS01845	DR083_RS04270
