Orthogroup	MHP_ES2L_genes	MHP_168_genes
OG0000519	HZK19_RS00760	MHP168_RS00875
OG0000520	HZK19_RS00885	MHP168_RS00745
OG0000521	HZK19_RS00250	MHP168_RS00240
OG0000522	HZK19_RS00285	MHP168_RS00275
OG0000523	HZK19_RS03410	MHP168_RS03335
OG0000524	HZK19_RS02640	MHP168_RS02680
OG0000525	HZK19_RS03375	MHP168_RS03305
OG0000526	HZK19_RS03755	MHP168_RS03975
OG0000527	HZK19_RS01730	MHP168_RS03970
OG0000528	HZK19_RS01980	MHP168_RS02090
OG0000529	HZK19_RS02210	MHP168_RS02135
OG0000530	HZK19_RS02315	MHP168_RS02345
OG0000531	HZK19_RS01365	MHP168_RS01485
OG0000532	HZK19_RS01590	MHP168_RS01790
OG0000533	HZK19_RS00590	MHP168_RS01060
OG0000534	HZK19_RS00365	MHP168_RS00355
OG0000535	HZK19_RS00045	MHP168_RS00045
OG0000536	HZK19_RS03590	MHP168_RS03515
OG0000537	HZK19_RS00700	MHP168_RS00930
OG0000538	HZK19_RS01100	MHP168_RS01105
OG0000539	HZK19_RS00200	MHP168_RS00185
OG0000540	HZK19_RS02605	MHP168_RS02645
OG0000541	HZK19_RS02685	MHP168_RS02725
OG0000542	HZK19_RS00335	MHP168_RS00325
OG0000543	HZK19_RS03095	MHP168_RS03525
OG0000544	HZK19_RS01215	MHP168_RS01330
OG0000545	HZK19_RS01785	MHP168_RS01905
OG0000546	HZK19_RS02755	MHP168_RS02795
OG0000547	HZK19_RS02875	MHP168_RS02920
OG0000548	HZK19_RS01560	MHP168_RS01825
OG0000549	HZK19_RS03365	MHP168_RS03295
OG0000550	HZK19_RS03510	MHP168_RS03430
OG0000551	HZK19_RS02945	MHP168_RS02995
OG0000552	HZK19_RS03180	MHP168_RS03125
OG0000553	HZK19_RS02655	MHP168_RS02695
OG0000554	HZK19_RS02360	MHP168_RS02390
OG0000555	HZK19_RS02880	MHP168_RS02925
OG0000556	HZK19_RS03050	MHP168_RS03550
OG0000556	HZK19_RS03035	MHP168_RS01195
OG0000557	HZK19_RS01230	MHP168_RS01340
OG0000558	HZK19_RS01195	MHP168_RS01310
OG0000559	HZK19_RS01670	MHP168_RS01725
OG0000560	HZK19_RS01770	MHP168_RS01895
OG0000561	HZK19_RS01085	MHP168_RS01090
OG0000562	HZK19_RS01775	MHP168_RS01900
OG0000563	HZK19_RS01760	MHP168_RS01885
OG0000564	HZK19_RS03725	MHP168_RS03865
OG0000565	HZK19_RS01835	MHP168_RS01945
OG0000566	HZK19_RS01815	MHP168_RS01935
OG0000567	HZK19_RS01790	MHP168_RS01910
OG0000568	HZK19_RS00660	MHP168_RS00970
OG0000569	HZK19_RS01200	MHP168_RS01315
OG0000570	HZK19_RS01205	MHP168_RS01320
OG0000571	HZK19_RS01210	MHP168_RS01325
OG0000572	HZK19_RS01235	MHP168_RS01345
OG0000573	HZK19_RS01665	MHP168_RS01730
OG0000574	HZK19_RS01275	MHP168_RS01390
OG0000575	HZK19_RS01185	MHP168_RS01300
OG0000576	HZK19_RS01615	MHP168_RS01765
OG0000577	HZK19_RS02625	MHP168_RS02670
OG0000578	HZK19_RS02650	MHP168_RS02690
OG0000579	HZK19_RS01750	MHP168_RS01875
OG0000580	HZK19_RS02760	MHP168_RS04025
OG0000581	HZK19_RS01735	MHP168_RS01860
OG0000582	HZK19_RS01225	MHP168_RS03935
OG0000583	HZK19_RS01655	MHP168_RS01740
OG0000584	HZK19_RS03070	MHP168_RS01240
OG0000585	HZK19_RS02180	MHP168_RS02165
OG0000586	HZK19_RS01635	MHP168_RS01750
OG0000587	HZK19_RS03875	MHP168_RS04050
OG0000588	HZK19_RS01610	MHP168_RS01770
OG0000590	HZK19_RS03080	MHP168_RS03540
OG0000591	HZK19_RS03885	MHP168_RS04055
OG0000592	HZK19_RS02615	MHP168_RS02655
OG0000593	HZK19_RS03575	MHP168_RS03495
OG0000594	HZK19_RS01190	MHP168_RS01305
OG0000600	HZK19_RS03065	MHP168_RS01235
OG0000601	HZK19_RS01765	MHP168_RS01890
OG0000602	HZK19_RS02005	MHP168_RS02255
OG0000603	HZK19_RS03060	MHP168_RS01220
OG0000604	HZK19_RS03900	MHP168_RS04060
OG0000605	HZK19_RS03055	MHP168_RS01215
OG0000606	HZK19_RS01740	MHP168_RS01865
OG0000609	HZK19_RS01805	MHP168_RS03880
OG0000615	HZK19_RS02660	MHP168_RS02700
OG0000616	HZK19_RS03045	MHP168_RS03555
OG0000619	HZK19_RS01745	MHP168_RS01870
OG0000620	HZK19_RS01845	MHP168_RS03840
OG0000623	HZK19_RS03245	MHP168_RS03595
