Orthogroup	MHP_ES2L_genes	MHP_7422_genes
OG0000535	HZK19_RS00045	MHL_RS00050
OG0000536	HZK19_RS03590	MHL_RS03540
OG0000537	HZK19_RS00700	MHL_RS00815
OG0000538	HZK19_RS01100	MHL_RS01205
OG0000539	HZK19_RS00200	MHL_RS00215
OG0000540	HZK19_RS02605	MHL_RS02695
OG0000541	HZK19_RS02685	MHL_RS02765
OG0000542	HZK19_RS00335	MHL_RS00355
OG0000543	HZK19_RS01600, HZK19_RS03095	MHL_RS01650
OG0000544	HZK19_RS01215	MHL_RS01335
OG0000545	HZK19_RS01785	MHL_RS01905
OG0000546	HZK19_RS02755	MHL_RS02835
OG0000547	HZK19_RS02875	MHL_RS02955
OG0000548	HZK19_RS01560	MHL_RS01675
OG0000549	HZK19_RS03365	MHL_RS03320
OG0000550	HZK19_RS03510	MHL_RS03460
OG0000551	HZK19_RS02945	MHL_RS03030
OG0000552	HZK19_RS03180	MHL_RS03150
OG0000553	HZK19_RS02655	MHL_RS02740
OG0000554	HZK19_RS02360	MHL_RS04060
OG0000556	HZK19_RS03035	MHL_RS00615
OG0000557	HZK19_RS01230	MHL_RS01345
OG0000558	HZK19_RS01195	MHL_RS01315
OG0000559	HZK19_RS01670	MHL_RS01775
OG0000560	HZK19_RS01770	MHL_RS01890
OG0000561	HZK19_RS01085	MHL_RS01190
OG0000562	HZK19_RS01775	MHL_RS01895
OG0000563	HZK19_RS01760	MHL_RS01880
OG0000564	HZK19_RS03725	MHL_RS01370
OG0000565	HZK19_RS01835	MHL_RS01945
OG0000566	HZK19_RS01815	MHL_RS01935
OG0000567	HZK19_RS01790	MHL_RS01910
OG0000568	HZK19_RS00660	MHL_RS00775
OG0000569	HZK19_RS01200	MHL_RS01320
OG0000570	HZK19_RS01205	MHL_RS01325
OG0000571	HZK19_RS01210	MHL_RS01330
OG0000572	HZK19_RS01235	MHL_RS01350
OG0000573	HZK19_RS01665	MHL_RS01770
OG0000574	HZK19_RS01275	MHL_RS01390
OG0000575	HZK19_RS01185	MHL_RS01305
OG0000576	HZK19_RS01615	MHL_RS03700
OG0000577	HZK19_RS02625	MHL_RS02715
OG0000578	HZK19_RS02650	MHL_RS02735
OG0000579	HZK19_RS01750	MHL_RS01850
OG0000580	HZK19_RS02760	MHL_RS02840
OG0000581	HZK19_RS01735	MHL_RS01845
OG0000582	HZK19_RS01225	MHL_RS03975
OG0000583	HZK19_RS01655	MHL_RS01765
OG0000584	HZK19_RS03070	MHL_RS00660
OG0000585	HZK19_RS02180	MHL_RS03810
OG0000586	HZK19_RS01635	MHL_RS01750
OG0000587	HZK19_RS03875	MHL_RS04145
OG0000589	HZK19_RS02120	MHL_RS03730
OG0000591	HZK19_RS03885	MHL_RS04150
OG0000592	HZK19_RS02615	MHL_RS02705
OG0000593	HZK19_RS03575	MHL_RS03525
OG0000594	HZK19_RS01190	MHL_RS01310
OG0000595	HZK19_RS02965	MHL_RS03050
OG0000597	HZK19_RS02960	MHL_RS03045
OG0000600	HZK19_RS03065	MHL_RS00655
OG0000601	HZK19_RS01765	MHL_RS01885
OG0000602	HZK19_RS02005	MHL_RS02110
OG0000603	HZK19_RS03060	MHL_RS00640
OG0000604	HZK19_RS03900	MHL_RS04155
OG0000605	HZK19_RS03055	MHL_RS00635
OG0000606	HZK19_RS01740	MHL_RS01860
OG0000608	HZK19_RS01780	MHL_RS01900
OG0000609	HZK19_RS01805	MHL_RS03840
OG0000614	HZK19_RS02140	MHL_RS03735
OG0000620	HZK19_RS01845	MHL_RS03795
OG0000626	HZK19_RS03185	MHL_RS03880
