Orthogroup	MHP_ES2L_genes	MHP_131B_genes
OG0000555	HZK19_RS02880	NB627_RS03105
OG0000556	HZK19_RS03050	NB627_RS00460
OG0000557	HZK19_RS01230	NB627_RS01385
OG0000558	HZK19_RS01195	NB627_RS01345
OG0000559	HZK19_RS01670	NB627_RS01830
OG0000560	HZK19_RS01770	NB627_RS01940
OG0000561	HZK19_RS01085	NB627_RS01225
OG0000562	HZK19_RS01775	NB627_RS01945
OG0000563	HZK19_RS01760	NB627_RS01935
OG0000564	HZK19_RS03725	NB627_RS01410
OG0000565	HZK19_RS01835	NB627_RS02010
OG0000566	HZK19_RS01815	NB627_RS01990
OG0000567	HZK19_RS01790	NB627_RS01960
OG0000568	HZK19_RS00660	NB627_RS00795
OG0000569	HZK19_RS01200	NB627_RS01350
OG0000570	HZK19_RS01205	NB627_RS01355
OG0000571	HZK19_RS01210	NB627_RS01360
OG0000572	HZK19_RS01235	NB627_RS01390
OG0000573	HZK19_RS01665	NB627_RS01825
OG0000574	HZK19_RS01275	NB627_RS01430
OG0000576	HZK19_RS01615	NB627_RS01780
OG0000577	HZK19_RS02625	NB627_RS02850
OG0000578	HZK19_RS02650	NB627_RS02870
OG0000579	HZK19_RS01750	NB627_RS01920
OG0000580	HZK19_RS02760	NB627_RS02980
OG0000581	HZK19_RS01735	NB627_RS01915
OG0000582	HZK19_RS01225	NB627_RS01380
OG0000583	HZK19_RS01655	NB627_RS01815
OG0000584	HZK19_RS03070	NB627_RS00485
OG0000585	HZK19_RS02180	NB627_RS02370
OG0000586	HZK19_RS01635	NB627_RS01800
OG0000587	HZK19_RS03875	NB627_RS02020
OG0000588	HZK19_RS01610	NB627_RS01770
OG0000589	HZK19_RS02120	NB627_RS02300
OG0000590	HZK19_RS03080	NB627_RS00495
OG0000591	HZK19_RS03885	NB627_RS02035
OG0000593	HZK19_RS03575	NB627_RS03730
OG0000594	HZK19_RS01190	NB627_RS01340
OG0000595	HZK19_RS02965	NB627_RS03195
OG0000597	HZK19_RS02960	NB627_RS03190
OG0000600	HZK19_RS03065	NB627_RS00480
OG0000603	HZK19_RS03060	NB627_RS00475
OG0000604	HZK19_RS03900	NB627_RS02990
OG0000605	HZK19_RS03055	NB627_RS00470
OG0000608	HZK19_RS01780	NB627_RS01950
OG0000615	HZK19_RS02660	NB627_RS02880
OG0000616	HZK19_RS03045	NB627_RS00455
OG0000617	HZK19_RS01620	NB627_RS01785
OG0000620	HZK19_RS01845	NB627_RS02015
