Orthogroup	MHP_NCTC10127_proteins	MHP_ES2L_proteins
OG0000546	WP_011206350.1	WP_179221187.1
OG0000547	WP_011206392.1	WP_160600789.1
OG0000548	WP_011206140.1	WP_179221092.1
OG0000549	WP_011206470.1	WP_179221245.1
OG0000550	WP_173670098.1	WP_179221262.1
OG0000551	WP_011206407.1	WP_011206407.1
OG0000552	WP_011206437.1	WP_179221223.1
OG0000553	WP_011206330.1	WP_179221178.1
OG0000554	WP_011206277.1	WP_179221150.1
OG0000555	WP_011206393.1	WP_179221196.1
OG0000556	WP_232039618.1, WP_011206359.1	WP_179221207.1
OG0000557	WP_011205983.1	WP_160606544.1
OG0000558	WP_011205989.1	WP_179221059.1
OG0000559	WP_011206161.1	WP_011206161.1
OG0000560	WP_011206182.1	WP_011206182.1
OG0000561	WP_011206015.1	WP_179221052.1
OG0000562	WP_011206183.1	WP_179221111.1
OG0000563	WP_011206180.1	WP_179221110.1
OG0000564	WP_014579710.1	WP_094521768.1
OG0000565	WP_011206190.1	WP_011290181.1
OG0000566	WP_232039527.1	WP_240536656.1
OG0000567	WP_011206185.1	WP_240536653.1
OG0000568	WP_011206097.1	WP_160585617.1
OG0000569	WP_011205988.1	WP_179221060.1
OG0000570	WP_011205987.1	WP_179221061.1
OG0000571	WP_011205986.1	WP_179221062.1
OG0000572	WP_011205982.1	WP_179221064.1
OG0000573	WP_011206160.1	WP_011206160.1
OG0000574	WP_044284820.1	WP_014579714.1
OG0000575	WP_011205991.1	WP_135618654.1
OG0000576	WP_011206153.1	WP_011206153.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_011206329.1	WP_041361678.1
OG0000579	WP_011206178.1	WP_240536652.1
OG0000580	WP_011206351.1	WP_160600802.1
OG0000581	WP_011206175.1	WP_094521657.1
OG0000582	WP_011205984.1	WP_240536638.1
OG0000583	WP_011206158.1	WP_179221104.1
OG0000584	WP_011206363.1	WP_179221209.1
OG0000586	WP_011206156.1	WP_240536648.1
OG0000587	WP_173670106.1	WP_258555257.1
OG0000588	WP_173670105.1	WP_179221099.1
OG0000590	WP_228365397.1	WP_179221211.1
OG0000591	WP_165255037.1	WP_258556645.1
OG0000592	WP_011206323.1	WP_011206323.1
OG0000593	WP_011206512.1	WP_179221271.1
OG0000594	WP_044284777.1	WP_160584731.1
OG0000600	WP_129640602.1	WP_179221208.1
OG0000601	WP_014579787.1	WP_014579787.1
OG0000602	WP_129640569.1	WP_179221130.1
OG0000603	WP_011206361.1	WP_094521557.1
OG0000604	WP_269076338.1	WP_276310606.1
OG0000605	WP_129640606.1, WP_129640604.1, WP_011206360.1	WP_240536617.1
OG0000606	WP_011206176.1	WP_160587871.1
OG0000608	WP_232039523.1	WP_179221112.1
OG0000609	WP_158209056.1	WP_179221113.1
OG0000615	WP_011206331.1	WP_276310604.1
OG0000616	WP_011206358.1	WP_011206358.1
OG0000618	WP_011206463.1	WP_179221241.1
OG0000619	WP_232039521.1	WP_011206177.1
OG0000620	WP_158209057.1	WP_179221116.1
OG0000621	WP_258555395.1	WP_258555395.1
