Orthogroup	MHP_ES2_proteins	MHP_MHP709_proteins
OG0000550	WP_228729166.1	WP_160588175.1
OG0000552	WP_094521504.1	WP_044284704.1
OG0000553	WP_135618976.1	WP_160587832.1
OG0000554	WP_135618928.1	WP_160585727.1
OG0000555	WP_228366107.1	WP_228366107.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_135618658.1	WP_160587995.1
OG0000559	WP_011206161.1	WP_011206161.1
OG0000560	WP_011206182.1	WP_011284100.1
OG0000561	WP_240536365.1	WP_160584672.1
OG0000562	WP_135618812.1	WP_146379618.1
OG0000563	WP_135618808.1	WP_160587877.1
OG0000564	WP_240536375.1	WP_258555275.1
OG0000565	WP_135618820.1	WP_011290181.1
OG0000566	WP_094521668.1	WP_258555256.1
OG0000567	WP_240536393.1	WP_258555255.1
OG0000568	WP_135618569.1	WP_044272325.1
OG0000569	WP_135618660.1	WP_160587997.1
OG0000570	WP_135618662.1	WP_160587999.1
OG0000571	WP_135618664.1	WP_135618664.1
OG0000572	WP_135618666.1	WP_160588001.1
OG0000573	WP_135618777.1	WP_135618777.1
OG0000574	WP_014579714.1	WP_011284018.1
OG0000575	WP_135618654.1	WP_014579697.1
OG0000576	WP_011206153.1	WP_160585066.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_044284684.1	WP_041361678.1
OG0000579	WP_135618805.1	WP_160587875.1
OG0000580	WP_240536345.1	WP_258555240.1
OG0000581	WP_135618801.1	WP_094521657.1
OG0000582	WP_240536369.1	WP_233688696.1
OG0000583	WP_135618773.1	WP_011290150.1
OG0000585	WP_135618874.1	WP_160588364.1
OG0000586	WP_044284628.1	WP_044272424.1
OG0000587	WP_318026027.1	WP_258555257.1
OG0000588	WP_228729172.1	WP_243216079.1
OG0000589	WP_002557988.1	WP_220191121.1
OG0000591	WP_276310469.1	WP_160585604.1
OG0000592	WP_011206323.1	WP_160587824.1
OG0000593	WP_135619160.1	WP_160584886.1
OG0000594	WP_135618656.1	WP_160587992.1
OG0000595	WP_135619047.1	WP_160588352.1
OG0000597	WP_167871266.1	WP_220191129.1
OG0000601	WP_135618810.1	WP_160587878.1
OG0000602	WP_135619202.1	WP_160587921.1
OG0000604	WP_258555422.1	WP_258555242.1
OG0000606	WP_011206176.1	WP_160587871.1
OG0000607	WP_158209054.1	WP_160587988.1
OG0000608	WP_135618814.1	WP_160587880.1
OG0000609	WP_158520147.1	WP_158520147.1
OG0000613	WP_240536401.1	WP_225972966.1
OG0000614	WP_020835740.1	WP_094521688.1
OG0000619	WP_135618803.1	WP_160587873.1
OG0000620	WP_240536398.1	WP_143826160.1
OG0000626	WP_179221224.1	WP_220191077.1
