Orthogroup	MHP_ES2_proteins	MHP_131B_proteins
OG0000569	WP_135618660.1	WP_404924433.1
OG0000570	WP_135618662.1	WP_011290093.1
OG0000571	WP_135618664.1	WP_011205986.1
OG0000572	WP_135618666.1	WP_160585558.1
OG0000573	WP_135618777.1	WP_404924463.1
OG0000574	WP_014579714.1	WP_014579714.1
OG0000576	WP_011206153.1	WP_011290145.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_044284684.1	WP_160585659.1
OG0000579	WP_135618805.1	WP_146379623.1
OG0000580	WP_240536345.1	WP_041361798.1
OG0000581	WP_135618801.1	WP_404924473.1
OG0000582	WP_240536369.1	WP_404924434.1
OG0000583	WP_135618773.1	WP_404924462.1
OG0000584	WP_135618910.1, WP_135618749.1	WP_160584947.1
OG0000585	WP_135618874.1	WP_146379626.1
OG0000586	WP_044284628.1	WP_404924460.1
OG0000587	WP_318026027.1	WP_258555257.1
OG0000588	WP_228729172.1	WP_404924457.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000590	WP_135618753.1, WP_135618908.1	WP_404924380.1
OG0000591	WP_276310469.1	WP_258555396.1
OG0000593	WP_135619160.1	WP_404924339.1
OG0000594	WP_135618656.1	WP_404924554.1
OG0000595	WP_135619047.1	WP_404924292.1
OG0000596	WP_135618789.1	WP_404924563.1
OG0000597	WP_167871266.1	WP_404924291.1
OG0000598	WP_228729173.1	WP_404924468.1
OG0000599	WP_011206170.1	WP_011206170.1
OG0000600	WP_135618747.1	WP_160584945.1
OG0000603	WP_135618745.1	WP_135618745.1
OG0000604	WP_258555422.1	WP_258555242.1
OG0000605	WP_240536324.1	WP_404924378.1
OG0000607	WP_158209054.1	WP_160587988.1
OG0000608	WP_135618814.1	WP_404924474.1
OG0000610	WP_269076320.1	WP_269076320.1
OG0000612	WP_232039520.1	WP_404924564.1
OG0000613	WP_240536401.1	WP_225972966.1
OG0000615	WP_135618978.1	WP_044272557.1
OG0000620	WP_240536398.1	WP_143826160.1
OG0000622	WP_225973020.1	WP_404924220.1
