Orthogroup	MFC_MF29_genes	MHP_168L_genes
OG0000596	DR095_RS01005	MHP168L_RS01705
OG0000598	DR095_RS01010	MHP168L_RS01700
OG0000599	DR095_RS01015	MHP168L_RS01695
OG0000600	DR095_RS01665	MHP168L_RS01240
OG0000602	DR095_RS02890	MHP168L_RS02275
OG0000603	DR095_RS01650	MHP168L_RS01225
OG0000605	DR095_RS01645	MHP168L_RS01220
OG0000627	DR095_RS01190	MHP168L_RS03585
OG0000628	DR095_RS01615	MHP168L_RS01185
OG0000629	DR095_RS01690	MHP168L_RS01265
OG0000630	DR095_RS01605	MHP168L_RS01175
OG0000631	DR095_RS01610	MHP168L_RS01180
