Orthogroup	MHP_111A_genes	MHP_ES2L_genes
OG0000558	NB623_RS01355	HZK19_RS01195
OG0000559	NB623_RS01825	HZK19_RS01670
OG0000560	NB623_RS02290	HZK19_RS01770
OG0000561	NB623_RS01240	HZK19_RS01085
OG0000562	NB623_RS02280	HZK19_RS01775
OG0000563	NB623_RS02295	HZK19_RS01760
OG0000564	NB623_RS01405	HZK19_RS03725
OG0000565	NB623_RS02220	HZK19_RS01835
OG0000566	NB623_RS02240	HZK19_RS01815
OG0000567	NB623_RS02265	HZK19_RS01790
OG0000568	NB623_RS00685	HZK19_RS00660
OG0000569	NB623_RS01360	HZK19_RS01200
OG0000570	NB623_RS01365	HZK19_RS01205
OG0000571	NB623_RS01370	HZK19_RS01210
OG0000572	NB623_RS01390	HZK19_RS01235
OG0000573	NB623_RS01820	HZK19_RS01665
OG0000574	NB623_RS01425	HZK19_RS01275
OG0000575	NB623_RS01350	HZK19_RS01185
OG0000576	NB623_RS01775	HZK19_RS01615
OG0000577	NB623_RS02825	HZK19_RS02625
OG0000578	NB623_RS02850	HZK19_RS02650
OG0000579	NB623_RS02305	HZK19_RS01750
OG0000580	NB623_RS02955	HZK19_RS02760
OG0000581	NB623_RS02310	HZK19_RS01735
OG0000582	NB623_RS01380	HZK19_RS01225
OG0000583	NB623_RS01810	HZK19_RS01655
OG0000584	NB623_RS01955	HZK19_RS03070
OG0000585	NB623_RS02350	HZK19_RS02180
OG0000586	NB623_RS01795	HZK19_RS01635
OG0000587	NB623_RS02215	HZK19_RS03875
OG0000588	NB623_RS01765	HZK19_RS01610
OG0000589	NB623_RS01010	HZK19_RS02120
OG0000590	NB623_RS01945	HZK19_RS03080
OG0000591	NB623_RS02200	HZK19_RS03885
OG0000592	NB623_RS02815	HZK19_RS02615
OG0000593	NB623_RS03720	HZK19_RS03575
OG0000595	NB623_RS03160	HZK19_RS02965
OG0000597	NB623_RS03155	HZK19_RS02960
OG0000600	NB623_RS01960	HZK19_RS03065
OG0000603	NB623_RS01965	HZK19_RS03060
OG0000604	NB623_RS02965	HZK19_RS03900
OG0000608	NB623_RS02275	HZK19_RS01780
OG0000609	NB623_RS02250	HZK19_RS01805
OG0000614	NB623_RS00975	HZK19_RS02140
OG0000616	NB623_RS01975	HZK19_RS03045
OG0000617	NB623_RS01780	HZK19_RS01620
OG0000623	NB623_RS02335	HZK19_RS03245
