Orthogroup	MHP_111A_genes	MHP_F72C_genes
OG0000552	NB623_RS03300	EHI52_RS03160
OG0000553	NB623_RS02855	EHI52_RS02680
OG0000554	NB623_RS02535	EHI52_RS02400
OG0000555	NB623_RS03080	EHI52_RS03850
OG0000557	NB623_RS01385	EHI52_RS01325
OG0000558	NB623_RS01355	EHI52_RS01295
OG0000559	NB623_RS01825	EHI52_RS01755
OG0000560	NB623_RS02290	EHI52_RS02125
OG0000561	NB623_RS01240	EHI52_RS01180
OG0000562	NB623_RS02280	EHI52_RS02120
OG0000563	NB623_RS02295	EHI52_RS02135
OG0000564	NB623_RS01405	EHI52_RS03770
OG0000565	NB623_RS02220	EHI52_RS02070
OG0000566	NB623_RS02240	EHI52_RS02080
OG0000567	NB623_RS02265	EHI52_RS02105
OG0000568	NB623_RS00685	EHI52_RS00685
OG0000569	NB623_RS01360	EHI52_RS01300
OG0000570	NB623_RS01365	EHI52_RS01305
OG0000571	NB623_RS01370	EHI52_RS01310
OG0000572	NB623_RS01390	EHI52_RS01330
OG0000573	NB623_RS01820	EHI52_RS01750
OG0000574	NB623_RS01425	EHI52_RS01370
OG0000575	NB623_RS01350	EHI52_RS01285
OG0000576	NB623_RS01775	EHI52_RS01710
OG0000577	NB623_RS02825	EHI52_RS02655
OG0000578	NB623_RS02850	EHI52_RS02675
OG0000579	NB623_RS02305	EHI52_RS02170
OG0000580	NB623_RS02955	EHI52_RS03845
OG0000581	NB623_RS02310	EHI52_RS02175
OG0000582	NB623_RS01380	EHI52_RS03765
OG0000583	NB623_RS01810	EHI52_RS01740
OG0000585	NB623_RS02350	EHI52_RS02220
OG0000586	NB623_RS01795	EHI52_RS01725
OG0000587	NB623_RS02215	EHI52_RS03915
OG0000588	NB623_RS01765	EHI52_RS01700
OG0000589	NB623_RS01010	EHI52_RS00950
OG0000591	NB623_RS02200	EHI52_RS02045
OG0000592	NB623_RS02815	EHI52_RS02645
OG0000593	NB623_RS03720	EHI52_RS03525
OG0000595	NB623_RS03160	EHI52_RS03000
OG0000596	NB623_RS01870	EHI52_RS01785
OG0000597	NB623_RS03155	EHI52_RS02995
OG0000598	NB623_RS01875	EHI52_RS01790
OG0000599	NB623_RS01880	EHI52_RS01795
OG0000604	NB623_RS02965	EHI52_RS03890
OG0000607	NB623_RS01335	EHI52_RS03630
OG0000608	NB623_RS02275	EHI52_RS02115
OG0000609	NB623_RS02250	EHI52_RS03640
OG0000611	NB623_RS00100	EHI52_RS00090
OG0000612	NB623_RS01885	EHI52_RS01800
OG0000613	NB623_RS02205	EHI52_RS03785
OG0000622	NB623_RS00960	EHI52_RS03730
OG0000623	NB623_RS01895	EHI52_RS03895, EHI52_RS03875
OG0000623	NB623_RS02335	EHI52_RS03645
