Orthogroup	MHP_111A_genes	MHP_J_genes
OG0000557	NB623_RS01385	MHJ_RS01235
OG0000558	NB623_RS01355	MHJ_RS01205
OG0000559	NB623_RS01825	MHJ_RS01645
OG0000560	NB623_RS02290	MHJ_RS01760
OG0000561	NB623_RS01240	MHJ_RS01080
OG0000562	NB623_RS02280	MHJ_RS01765
OG0000563	NB623_RS02295	MHJ_RS01750
OG0000564	NB623_RS01405	MHJ_RS01260
OG0000565	NB623_RS02220	MHJ_RS01820
OG0000566	NB623_RS02240	MHJ_RS01810
OG0000567	NB623_RS02265	MHJ_RS01780
OG0000568	NB623_RS00685	MHJ_RS00665
OG0000569	NB623_RS01360	MHJ_RS01210
OG0000570	NB623_RS01365	MHJ_RS01215
OG0000571	NB623_RS01370	MHJ_RS01220
OG0000572	NB623_RS01390	MHJ_RS01240
OG0000573	NB623_RS01820	MHJ_RS01640
OG0000574	NB623_RS01425	MHJ_RS01280
OG0000575	NB623_RS01350	MHJ_RS01195
OG0000576	NB623_RS01775	MHJ_RS03625
OG0000577	NB623_RS02825	MHJ_RS02620
OG0000578	NB623_RS02850	MHJ_RS02645
OG0000579	NB623_RS02305	MHJ_RS01740
OG0000580	NB623_RS02955	MHJ_RS02760
OG0000581	NB623_RS02310	MHJ_RS01725
OG0000582	NB623_RS01380	MHJ_RS03835
OG0000583	NB623_RS01810	MHJ_RS01630
OG0000585	NB623_RS02350	MHJ_RS03590
OG0000586	NB623_RS01795	MHJ_RS01620
OG0000587	NB623_RS02215	MHJ_RS04025
OG0000588	NB623_RS01765	MHJ_RS01600
OG0000589	NB623_RS01010	MHJ_RS03650
OG0000591	NB623_RS02200	MHJ_RS03990
OG0000592	NB623_RS02815	MHJ_RS02610
OG0000593	NB623_RS03720	MHJ_RS03495
OG0000596	NB623_RS01870	MHJ_RS01685
OG0000598	NB623_RS01875	MHJ_RS01690
OG0000599	NB623_RS01880	MHJ_RS01695
OG0000607	NB623_RS01335	MHJ_RS03755
OG0000610	NB623_RS00675	MHJ_RS03970
OG0000612	NB623_RS01885	MHJ_RS03855
