Orthogroup	MHP_F72C_proteins	MHP_131B_proteins
OG0000572	WP_146379546.1	WP_160585558.1
OG0000573	WP_135618777.1	WP_404924463.1
OG0000574	WP_014579714.1	WP_014579714.1
OG0000576	WP_011290145.1	WP_011290145.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_146379677.1	WP_160585659.1
OG0000579	WP_146379623.1	WP_146379623.1
OG0000580	WP_225972994.1	WP_041361798.1
OG0000581	WP_146379624.1	WP_404924473.1
OG0000582	WP_225973028.1	WP_404924434.1
OG0000583	WP_011290150.1	WP_404924462.1
OG0000585	WP_146379626.1	WP_146379626.1
OG0000586	WP_146379577.1	WP_404924460.1
OG0000587	WP_240536501.1	WP_258555257.1
OG0000588	WP_192894289.1	WP_404924457.1
OG0000589	WP_146379516.1	WP_002557988.1
OG0000591	WP_225972965.1	WP_258555396.1
OG0000593	WP_146379763.1	WP_404924339.1
OG0000594	WP_146379780.1	WP_404924554.1
OG0000595	WP_146379708.1	WP_404924292.1
OG0000596	WP_146379584.1	WP_404924563.1
OG0000597	WP_044272591.1	WP_404924291.1
OG0000598	WP_192894290.1	WP_404924468.1
OG0000599	WP_011206170.1	WP_011206170.1
OG0000604	WP_258555422.1	WP_258555242.1
OG0000607	WP_158209054.1	WP_160587988.1
OG0000608	WP_146379617.1	WP_404924474.1
OG0000611	WP_225973003.1	WP_225973003.1
OG0000612	WP_225973036.1	WP_404924564.1
OG0000613	WP_225972966.1	WP_225972966.1
OG0000615	WP_146379679.1	WP_044272557.1
OG0000622	WP_225973020.1	WP_404924220.1
