Seq_id	Size	Description
1	894983	IDF72C
2	886877	ID4284
3	956514	IDES2
4	901311	ID116
5	891138	ID1257
6	921093	ID168L
7	879752	IDMHP696
8	923612	ID112B
9	871408	IDMHP694
10	902476	IDMHP691
11	960219	IDUFV02
12	909216	IDMHP650
13	882420	ID98
14	921541	ID111A
15	898495	ID7422
16	892758	ID232
17	898402	IDMHP653
18	913664	IDTB1
19	918900	IDES2L
20	880293	IDMHP709
21	920079	ID7448
22	900736	IDUe273
23	912568	IDMHP682
24	898336	ID11
25	964503	IDKM014
26	897405	IDJ
27	923878	IDMHP699
28	906915	IDMHP679
29	910816	IDUFV01
30	927216	ID133A
31	960532	IDNCTC10127
32	925576	ID168
33	920420	ID154B
34	920587	IDLH
35	920392	ID153B
36	927172	ID131B
--------------------------------------------------------------------------------
Block #30
Seq_id	Strand	Start	End	Length
28	+	803230	839132	35902
29	+	38400	74169	35769
30	+	863571	899340	35769
31	+	590795	626639	35844
32	+	842339	880110	37771
33	+	859099	894825	35726
34	+	859172	894915	35743
35	+	859073	894801	35728
36	+	863528	899296	35768
--------------------------------------------------------------------------------
Block #27
Seq_id	Strand	Start	End	Length
1	+	884765	894777	10012
2	+	876563	886718	10155
3	+	946373	956385	10012
4	+	891115	901127	10012
5	+	880967	890979	10012
6	+	910869	920887	10018
7	+	838851	848863	10012
8	+	913293	923306	10013
9	-	430215	420204	10011
10	+	15362	25374	10012
11	+	145797	155812	10015
12	+	154661	164673	10012
13	+	851033	861078	10045
14	+	911322	921335	10013
15	+	888466	898495	10029
16	+	882538	892550	10012
17	+	4689	14701	10012
18	+	871734	881752	10018
19	+	908682	918694	10012
20	+	4692	14704	10012
21	+	908125	920079	11954
22	+	890517	900531	10014
23	+	888092	898281	10189
24	+	522572	532584	10012
25	+	179383	189389	10006
26	+	887393	897405	10012
27	+	15396	25408	10012
28	+	853603	863615	10012
29	+	87366	97381	10015
30	+	916999	927011	10012
31	+	642053	652065	10012
32	+	915352	925370	10018
33	+	910203	920215	10012
34	+	910336	920381	10045
35	+	910175	920187	10012
36	+	916955	926967	10012
--------------------------------------------------------------------------------
Block #28
Seq_id	Strand	Start	End	Length
3	+	372309	380837	8528
3	-	574904	566373	8531
10	+	523367	531904	8537
12	+	872631	881183	8552
19	+	751598	760072	8474
23	+	149124	157667	8543
25	+	303168	311699	8531
27	+	782914	791460	8546
30	+	110974	119519	8545
36	+	110978	119523	8545
--------------------------------------------------------------------------------
Block #29
Seq_id	Strand	Start	End	Length
6	+	254270	277175	22905
11	-	560526	537710	22816
15	+	139697	162530	22833
18	+	230652	253576	22924
21	-	540709	517894	22815
25	-	24023	1149	22874
28	-	395051	372163	22888
29	-	502254	479438	22816
32	+	254315	277221	22906
--------------------------------------------------------------------------------
