Orthogroup	MHP_UFV01_proteins	MHP_4284_proteins
OG0000573	WP_243216093.1	WP_348602814.1
OG0000574	WP_011284018.1	WP_011284018.1
OG0000575	WP_243216030.1	WP_406823243.1
OG0000576	WP_011290145.1	WP_011284072.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_243216270.1	WP_406823147.1
OG0000579	WP_243216118.1	WP_406823277.1
OG0000580	WP_041361798.1	WP_258555240.1
OG0000581	WP_233688744.1	WP_406823276.1
OG0000582	WP_243216036.1	WP_404924434.1
OG0000583	WP_243216090.1	WP_406823269.1
OG0000585	WP_243216181.1	WP_160588364.1
OG0000586	WP_243216085.1	WP_406823267.1
OG0000587	WP_011284111.1	WP_406823285.1
OG0000588	WP_243216079.1	WP_406823265.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000591	WP_279288020.1	WP_258555396.1
OG0000592	WP_243216259.1	WP_011290298.1
OG0000593	WP_243215893.1	WP_348602653.1
OG0000594	WP_160584731.1	WP_406823294.1
OG0000595	WP_020835859.1	WP_406823171.1
OG0000597	WP_243216307.1	WP_044272591.1
OG0000601	WP_243216119.1	WP_020835695.1
OG0000602	WP_243216231.1	WP_406823089.1
OG0000604	WP_258555242.1	WP_258555242.1
OG0000606	WP_014579783.1	WP_160587871.1
OG0000607	WP_158209054.1	WP_158209054.1
OG0000614	WP_020835740.1	WP_020835740.1
OG0000615	WP_243216272.1	WP_406823148.1
OG0000621	WP_258555395.1	WP_258555395.1
