Orthogroup	MHP_ES2L_protein	MHP_MHP682_protein
OG0000588	WP_135618818.1	WP_146379613.1
OG0000589	WP_011290181.1	WP_258555839.1
OG0000590	WP_218833877.1	WP_258555846.1
OG0000591	WP_041361678.1	WP_160585659.1
OG0000592	WP_179221186.1	WP_160585687.1
OG0000593	WP_011206475.1	WP_160585251.1
OG0000594	WP_179221271.1	WP_160584886.1
OG0000595	WP_240536637.1	WP_014579703.1
OG0000596	WP_094521768.1	WP_220191137.1
OG0000597	WP_014579787.1	WP_020835695.1
OG0000598	WP_160584731.1	WP_160585561.1
OG0000599	WP_014579714.1	WP_160585554.1
OG0000600	WP_179221049.1	WP_160585736.1
OG0000601	WP_240536657.1	WP_044272453.1
OG0000602	WP_240536609.1	WP_258555825.1
OG0000603	WP_179221248.1	WP_308507013.1
OG0000604	WP_240536656.1	WP_258555840.1
OG0000605	WP_179221136.1	WP_160585824.1
OG0000606	WP_179221207.1	WP_160585713.1
OG0000607	WP_179221209.1	WP_160585711.1
OG0000608	WP_179221105.1	WP_160585054.1
OG0000609	WP_240536651.1	WP_228365424.1
OG0000610	WP_094521657.1	WP_160585815.1
OG0000611	WP_240536652.1	WP_160585817.1
OG0000612	WP_011206323.1	WP_160585664.1
OG0000613	WP_160600802.1	WP_258555826.1
OG0000614	WP_011290300.1	WP_258555819.1
OG0000615	WP_258556645.1	WP_160585604.1
OG0000616	WP_179221099.1	WP_308507008.1
OG0000617	WP_258555257.1	WP_240536501.1
OG0000618	WP_240536648.1	WP_160585695.1
OG0000619	WP_002557988.1	WP_002557988.1
OG0000620	WP_011284157.1	WP_011284157.1
OG0000621	WP_240536617.1	WP_160585712.1
OG0000622	WP_179221137.1	WP_160585768.1
OG0000623	WP_240536655.1	WP_192894277.1
OG0000625	WP_002557992.1	WP_002557992.1
OG0000627	WP_160587871.1	WP_160585286.1
OG0000628	WP_240536595.1	WP_160585838.1
OG0000629	WP_276310606.1	WP_258555824.1
OG0000630	WP_002557993.1	WP_160585819.1
OG0000632	WP_011206356.1	WP_088172525.1
OG0000633	WP_179221208.1	WP_160584945.1
OG0000636	WP_094521557.1	WP_135618745.1
OG0000637	WP_240536616.1	WP_258555832.1
OG0000638	WP_179221091.1	WP_135618726.1
OG0000639	WP_276310604.1	WP_044272557.1
OG0000642	WP_179221112.1	WP_160585754.1
OG0000643	WP_179220984.1	WP_160585746.1
OG0000644	WP_240536628.1	WP_160585743.1
OG0000645	WP_240536640.1	WP_308506993.1
OG0000649	WP_011206177.1	WP_160585816.1
OG0000650	WP_179221241.1	WP_258555699.1
OG0000655	WP_240536588.1	WP_094521688.1
OG0000656	WP_233688423.1	WP_233688423.1
OG0000658	WP_179221224.1	WP_179221224.1
OG0000659	WP_011206358.1	WP_011206358.1
OG0000660	WP_179221206.1	WP_160585714.1
OG0000661	WP_258555395.1	WP_258555395.1
OG0000662	WP_179221115.1	WP_179221115.1
OG0000664	WP_334199378.1	WP_308507007.1
OG0000665	WP_233688424.1	WP_233688424.1
