Orthogroup	MHP_ES2L_proteins	MHP_MHP653_proteins
OG0000562	WP_179221111.1	WP_160585755.1
OG0000563	WP_179221110.1	WP_160585756.1
OG0000564	WP_094521768.1	WP_252862181.1
OG0000565	WP_011290181.1	WP_146379612.1
OG0000566	WP_240536656.1	WP_258555904.1
OG0000567	WP_240536653.1	WP_308507026.1
OG0000568	WP_160585617.1	WP_160615780.1
OG0000569	WP_179221060.1	WP_160615793.1
OG0000570	WP_179221061.1	WP_160601083.1
OG0000571	WP_179221062.1	WP_011205986.1
OG0000572	WP_179221064.1	WP_160615791.1
OG0000573	WP_011206160.1	WP_160615770.1
OG0000574	WP_014579714.1	WP_014579714.1
OG0000575	WP_135618654.1	WP_011290089.1
OG0000576	WP_011206153.1	WP_160585066.1
OG0000578	WP_041361678.1	WP_160615681.1
OG0000579	WP_240536652.1	WP_160585817.1
OG0000580	WP_160600802.1	WP_020835830.1
OG0000581	WP_094521657.1	WP_160585815.1
OG0000582	WP_240536638.1	WP_233688696.1
OG0000583	WP_179221104.1	WP_160615768.1
OG0000585	WP_179221137.1	WP_160615873.1
OG0000586	WP_240536648.1	WP_258555937.1
OG0000587	WP_258555257.1	WP_308507028.1
OG0000588	WP_179221099.1	WP_308507038.1
OG0000589	WP_002557988.1	WP_160615957.1
OG0000591	WP_258556645.1	WP_258555396.1
OG0000592	WP_011206323.1	WP_160615816.1
OG0000593	WP_179221271.1	WP_160615640.1
OG0000594	WP_160584731.1	WP_160615797.1
OG0000595	WP_020835859.1	WP_160615601.1
OG0000597	WP_179221200.1	WP_220191267.1
OG0000601	WP_014579787.1	WP_020835695.1
OG0000604	WP_276310606.1	WP_258555915.1
OG0000606	WP_160587871.1	WP_160615965.1
OG0000608	WP_179221112.1	WP_160585754.1
OG0000614	WP_240536588.1	WP_094521688.1
OG0000615	WP_276310604.1	WP_160615685.1
OG0000617	WP_334199378.1	WP_334199373.1
OG0000618	WP_179221241.1	WP_258555960.1
OG0000619	WP_011206177.1	WP_160585816.1
OG0000626	WP_179221224.1	WP_179221224.1
