Orthogroup	MHP_ES2L_proteins	MHP_F72C_proteins
OG0000553	WP_179221178.1	WP_146379678.1
OG0000554	WP_179221150.1	WP_146379649.1
OG0000555	WP_179221196.1	WP_225972997.1
OG0000557	WP_160606544.1	WP_146379545.1
OG0000558	WP_179221059.1	WP_020835624.1
OG0000559	WP_011206161.1	WP_011206161.1
OG0000560	WP_011206182.1	WP_011284100.1
OG0000561	WP_179221052.1	WP_146379530.1
OG0000562	WP_179221111.1	WP_146379618.1
OG0000563	WP_179221110.1	WP_146379619.1
OG0000564	WP_094521768.1	WP_014579710.1
OG0000565	WP_011290181.1	WP_146379612.1
OG0000566	WP_240536656.1	WP_225972969.1
OG0000567	WP_240536653.1	WP_225972971.1
OG0000568	WP_160585617.1	WP_146379498.1
OG0000569	WP_179221060.1	WP_146379543.1
OG0000570	WP_179221061.1	WP_146379544.1
OG0000571	WP_179221062.1	WP_135618664.1
OG0000572	WP_179221064.1	WP_146379546.1
OG0000573	WP_011206160.1	WP_135618777.1
OG0000574	WP_014579714.1	WP_014579714.1
OG0000575	WP_135618654.1	WP_146379542.1
OG0000576	WP_011206153.1	WP_011290145.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_041361678.1	WP_146379677.1
OG0000579	WP_240536652.1	WP_146379623.1
OG0000580	WP_160600802.1	WP_225972994.1
OG0000581	WP_094521657.1	WP_146379624.1
OG0000582	WP_240536638.1	WP_225973028.1
OG0000583	WP_179221104.1	WP_011290150.1
OG0000585	WP_179221137.1	WP_146379626.1
OG0000586	WP_240536648.1	WP_146379577.1
OG0000587	WP_258555257.1	WP_240536501.1
OG0000588	WP_179221099.1	WP_192894289.1
OG0000589	WP_002557988.1	WP_146379516.1
OG0000591	WP_258556645.1	WP_225972965.1
OG0000592	WP_011206323.1	WP_094521725.1
OG0000593	WP_179221271.1	WP_146379763.1
OG0000594	WP_160584731.1	WP_146379780.1
OG0000595	WP_020835859.1	WP_146379708.1
OG0000597	WP_179221200.1	WP_044272591.1
OG0000601	WP_014579787.1	WP_020835695.1
OG0000602	WP_179221130.1	WP_146379597.1
OG0000604	WP_276310606.1	WP_258555422.1
OG0000606	WP_160587871.1	WP_014579783.1
OG0000608	WP_179221112.1	WP_146379617.1
OG0000609	WP_179221113.1	WP_158520147.1
OG0000615	WP_276310604.1	WP_146379679.1
OG0000618	WP_179221241.1	WP_146379738.1
OG0000623	WP_179221233.1	WP_158632001.1
OG0000626	WP_179221224.1	WP_179221224.1
