Orthogroup	MHP_UFV01_proteins	MHP_TB1_proteins
OG0000563	WP_014579786.1	WP_014579786.1
OG0000564	WP_094521768.1	WP_252862181.1
OG0000565	WP_243216135.1	WP_014579797.1
OG0000566	WP_243216130.1	WP_228365427.1
OG0000567	WP_243216124.1	WP_228365425.1
OG0000568	WP_243215991.1	WP_011206097.1
OG0000569	WP_243216033.1	WP_014579700.1
OG0000570	WP_014579701.1	WP_088764605.1
OG0000571	WP_243216034.1	WP_014579702.1
OG0000572	WP_243216038.1	WP_014579705.1
OG0000573	WP_243216093.1	WP_014579759.1
OG0000574	WP_011284018.1	WP_014579714.1
OG0000575	WP_243216030.1	WP_088764621.1
OG0000576	WP_011290145.1	WP_014579765.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_243216270.1	WP_014579914.1
OG0000579	WP_243216118.1	WP_014579785.1
OG0000580	WP_041361798.1	WP_252862180.1
OG0000581	WP_233688744.1	WP_014579782.1
OG0000582	WP_243216036.1	WP_228365416.1
OG0000583	WP_243216090.1	WP_014579761.1
OG0000584	WP_243216106.1	WP_014579687.1
OG0000585	WP_243216181.1	WP_044278005.1
OG0000588	WP_243216079.1	WP_014579766.1
OG0000590	WP_011290233.1	WP_014579689.1
OG0000591	WP_279288020.1	WP_258556645.1
OG0000592	WP_243216259.1	WP_014579909.1
OG0000593	WP_243215893.1	WP_014580028.1
OG0000594	WP_160584731.1	WP_011284003.1
OG0000596	WP_243216115.1	WP_014579752.1
OG0000598	WP_243216116.1	WP_020835684.1
OG0000599	WP_011206170.1	WP_014579750.1
OG0000600	WP_014579686.1	WP_014579686.1
OG0000601	WP_243216119.1	WP_014579787.1
OG0000603	WP_014579683.1	WP_014579683.1
OG0000604	WP_258555242.1	WP_258555242.1
OG0000605	WP_243216107.1	WP_014579682.1
OG0000606	WP_014579783.1	WP_014579783.1
OG0000612	WP_232039520.1	WP_237697241.1
OG0000615	WP_243216272.1	WP_014579916.1
OG0000619	WP_011206177.1	WP_014579784.1
OG0000621	WP_258555395.1	WP_258555395.1
OG0000628	WP_041361554.1	WP_014579677.1
OG0000629	WP_243216100.1	WP_044277979.1
OG0000630	WP_243216114.1	WP_014579675.1
OG0000631	WP_020835551.1	WP_014579676.1
