Orthogroup	MHP_LH_genes	MHP_UFV02_genes
OG0000507	KUD10_RS00970	FEF31_RS00630
OG0000508	KUD10_RS00250	FEF31_RS03520
OG0000509	KUD10_RS00285	FEF31_RS03555
OG0000510	KUD10_RS00295	FEF31_RS03565
OG0000511	KUD10_RS00430	FEF31_RS00095
OG0000512	KUD10_RS02635	FEF31_RS02295
OG0000513	KUD10_RS03495	FEF31_RS03100
OG0000514	KUD10_RS02935	FEF31_RS02600
OG0000516	KUD10_RS02060	FEF31_RS04490
OG0000517	KUD10_RS00065	FEF31_RS03350
OG0000518	KUD10_RS03175	FEF31_RS03675
OG0000519	KUD10_RS00780	FEF31_RS00440
OG0000520	KUD10_RS00905	FEF31_RS00565
OG0000521	KUD10_RS00265	FEF31_RS03535
OG0000522	KUD10_RS00300	FEF31_RS03570
OG0000523	KUD10_RS03430	FEF31_RS03035
OG0000524	KUD10_RS02755	FEF31_RS02410
OG0000525	KUD10_RS03395	FEF31_RS04585
OG0000526	KUD10_RS01895	FEF31_RS01585
OG0000527	KUD10_RS01830	FEF31_RS01525
OG0000528	KUD10_RS02065	FEF31_RS01760
OG0000529	KUD10_RS02305	FEF31_RS01980
OG0000530	KUD10_RS02410	FEF31_RS02080
OG0000531	KUD10_RS01470	FEF31_RS01060
OG0000532	KUD10_RS01685	FEF31_RS01290
OG0000533	KUD10_RS00605	FEF31_RS00260
OG0000534	KUD10_RS00380	FEF31_RS00045
OG0000535	KUD10_RS00045	FEF31_RS04655
OG0000536	KUD10_RS03615	FEF31_RS03215
OG0000537	KUD10_RS00720	FEF31_RS00380
OG0000538	KUD10_RS01120	FEF31_RS00780
OG0000539	KUD10_RS00215	FEF31_RS03485
OG0000540	KUD10_RS02725	FEF31_RS02380
OG0000541	KUD10_RS02800	FEF31_RS02460
OG0000542	KUD10_RS00350	FEF31_RS00015
OG0000544	KUD10_RS01325	FEF31_RS04410
OG0000545	KUD10_RS01885	FEF31_RS01570
OG0000546	KUD10_RS02865	FEF31_RS02530
OG0000547	KUD10_RS02985	FEF31_RS02650
OG0000548	KUD10_RS01655	FEF31_RS01255
OG0000549	KUD10_RS03385	FEF31_RS04580
OG0000550	KUD10_RS03530	FEF31_RS03135
OG0000552	KUD10_RS03210	FEF31_RS03710
OG0000553	KUD10_RS02770	FEF31_RS04535
OG0000554	KUD10_RS02455	FEF31_RS02125
OG0000555	KUD10_RS02990	FEF31_RS02655
OG0000556	KUD10_RS01160	FEF31_RS04460
OG0000557	KUD10_RS01335	FEF31_RS00920
OG0000558	KUD10_RS01305	FEF31_RS00890
OG0000559	KUD10_RS01760	FEF31_RS01360
OG0000560	KUD10_RS01875	FEF31_RS01560
OG0000561	KUD10_RS01105	FEF31_RS00765
OG0000562	KUD10_RS01880	FEF31_RS01565
OG0000563	KUD10_RS01865	FEF31_RS01550
OG0000564	KUD10_RS01360	FEF31_RS00945
OG0000565	KUD10_RS01930	FEF31_RS01620
OG0000566	KUD10_RS01915	FEF31_RS01605
OG0000567	KUD10_RS01890	FEF31_RS01580
OG0000568	KUD10_RS00680	FEF31_RS00340
OG0000569	KUD10_RS01310	FEF31_RS00895
OG0000570	KUD10_RS01315	FEF31_RS04405
OG0000571	KUD10_RS01320	FEF31_RS00905
OG0000572	KUD10_RS01340	FEF31_RS00925
OG0000573	KUD10_RS01755	FEF31_RS01355
OG0000574	KUD10_RS01380	FEF31_RS00965
OG0000575	KUD10_RS01295	FEF31_RS00880
OG0000576	KUD10_RS01715	FEF31_RS01315
OG0000577	KUD10_RS02745	FEF31_RS02400
OG0000578	KUD10_RS02765	FEF31_RS02420
OG0000579	KUD10_RS01855	FEF31_RS01540
OG0000580	KUD10_RS02870	FEF31_RS02535
OG0000581	KUD10_RS01835	FEF31_RS01530
OG0000582	KUD10_RS01330	FEF31_RS04415
OG0000583	KUD10_RS01745	FEF31_RS01345
OG0000584	KUD10_RS01190	FEF31_RS01425
OG0000585	KUD10_RS02275	FEF31_RS01950
OG0000586	KUD10_RS01730	FEF31_RS01330
OG0000587	KUD10_RS03745	FEF31_RS04780
OG0000588	KUD10_RS01705	FEF31_RS01305
OG0000589	KUD10_RS02220	FEF31_RS01890
OG0000591	KUD10_RS03705	FEF31_RS04065
OG0000592	KUD10_RS02735	FEF31_RS02390
OG0000593	KUD10_RS03595	FEF31_RS03200
OG0000594	KUD10_RS01300	FEF31_RS00885
OG0000595	KUD10_RS03070	FEF31_RS02735
OG0000596	KUD10_RS01795	FEF31_RS01490
OG0000597	KUD10_RS03065	FEF31_RS02730
OG0000598	KUD10_RS01800	FEF31_RS01495
OG0000599	KUD10_RS01805	FEF31_RS01500
OG0000600	KUD10_RS01185	FEF31_RS01430
OG0000601	KUD10_RS01870	FEF31_RS01555
OG0000604	KUD10_RS03715	FEF31_RS04155
OG0000605	KUD10_RS01175	FEF31_RS01445
OG0000606	KUD10_RS01840	FEF31_RS01535
OG0000607	KUD10_RS01285	FEF31_RS00870
OG0000612	KUD10_RS03695	FEF31_RS01505
OG0000613	KUD10_RS01945	FEF31_RS01640
OG0000614	KUD10_RS02240	FEF31_RS01905
OG0000618	KUD10_RS03350	FEF31_RS02240
