Orthogroup	MHP_LH_genes	MHP_NCTC10127_genes
OG0000498	KUD10_RS02820	EXC50_RS01580
OG0000499	KUD10_RS02785	EXC50_RS01545
OG0000500	KUD10_RS01980	EXC50_RS00875
OG0000501	KUD10_RS03135	EXC50_RS01905
OG0000502	KUD10_RS01270	EXC50_RS02885
OG0000503	KUD10_RS00755	EXC50_RS03325
OG0000504	KUD10_RS00890	EXC50_RS03190
OG0000505	KUD10_RS00925	EXC50_RS03155
OG0000506	KUD10_RS00935	EXC50_RS03145
OG0000507	KUD10_RS00970	EXC50_RS03110
OG0000508	KUD10_RS00250	EXC50_RS00260
OG0000509	KUD10_RS00285	EXC50_RS00295
OG0000510	KUD10_RS00295	EXC50_RS00305
OG0000511	KUD10_RS00430	EXC50_RS03655
OG0000512	KUD10_RS02635	EXC50_RS01400
OG0000513	KUD10_RS03495	EXC50_RS02270
OG0000514	KUD10_RS02935	EXC50_RS01700
OG0000516	KUD10_RS02060	EXC50_RS00955
OG0000517	KUD10_RS00065	EXC50_RS00065
OG0000518	KUD10_RS03175	EXC50_RS01945
OG0000519	KUD10_RS00780	EXC50_RS03300
OG0000520	KUD10_RS00905	EXC50_RS03175
OG0000521	KUD10_RS00265	EXC50_RS00275
OG0000522	KUD10_RS00300	EXC50_RS00310
OG0000523	KUD10_RS03430	EXC50_RS02205
OG0000524	KUD10_RS02755	EXC50_RS01515
OG0000525	KUD10_RS03395	EXC50_RS02170
OG0000526	KUD10_RS01895	EXC50_RS04005
OG0000527	KUD10_RS01830	EXC50_RS00720
OG0000528	KUD10_RS02065	EXC50_RS00960
OG0000529	KUD10_RS02305	EXC50_RS01090
OG0000530	KUD10_RS02410	EXC50_RS01200
OG0000531	KUD10_RS01470	EXC50_RS02690
OG0000532	KUD10_RS01685	EXC50_RS00575
OG0000533	KUD10_RS00605	EXC50_RS03490
OG0000534	KUD10_RS00380	EXC50_RS00395
OG0000535	KUD10_RS00045	EXC50_RS00045
OG0000536	KUD10_RS03615	EXC50_RS02385
OG0000537	KUD10_RS00720	EXC50_RS03360
OG0000538	KUD10_RS01120	EXC50_RS02965
OG0000539	KUD10_RS00215	EXC50_RS00220
OG0000540	KUD10_RS02725	EXC50_RS01485
OG0000541	KUD10_RS02800	EXC50_RS01560
OG0000542	KUD10_RS00350	EXC50_RS00365
OG0000543	KUD10_RS01695	EXC50_RS03875
OG0000543	KUD10_RS01215	EXC50_RS00505
OG0000544	KUD10_RS01325	EXC50_RS02835
OG0000546	KUD10_RS02865	EXC50_RS01630
OG0000547	KUD10_RS02985	EXC50_RS01750
OG0000548	KUD10_RS01655	EXC50_RS00535
OG0000549	KUD10_RS03385	EXC50_RS02160
OG0000550	KUD10_RS03530	EXC50_RS02305
OG0000552	KUD10_RS03210	EXC50_RS01980
OG0000553	KUD10_RS02770	EXC50_RS01530
OG0000554	KUD10_RS02455	EXC50_RS01245
OG0000555	KUD10_RS02990	EXC50_RS04055
OG0000556	KUD10_RS01170	EXC50_RS03790, EXC50_RS03775
OG0000557	KUD10_RS01335	EXC50_RS02825
OG0000558	KUD10_RS01305	EXC50_RS02855
OG0000559	KUD10_RS01760	EXC50_RS00655
OG0000560	KUD10_RS01875	EXC50_RS00760
OG0000561	KUD10_RS01105	EXC50_RS02980
OG0000562	KUD10_RS01880	EXC50_RS00765
OG0000563	KUD10_RS01865	EXC50_RS00750
OG0000564	KUD10_RS01360	EXC50_RS04095
OG0000565	KUD10_RS01930	EXC50_RS00810
OG0000566	KUD10_RS01915	EXC50_RS00800
OG0000567	KUD10_RS01890	EXC50_RS00775
OG0000568	KUD10_RS00680	EXC50_RS03400
OG0000569	KUD10_RS01310	EXC50_RS02850
OG0000570	KUD10_RS01315	EXC50_RS02845
OG0000571	KUD10_RS01320	EXC50_RS02840
OG0000572	KUD10_RS01340	EXC50_RS02820
OG0000573	KUD10_RS01755	EXC50_RS00650
OG0000574	KUD10_RS01380	EXC50_RS02780
OG0000575	KUD10_RS01295	EXC50_RS02865
OG0000576	KUD10_RS01715	EXC50_RS00610
OG0000577	KUD10_RS02745	EXC50_RS01505
OG0000578	KUD10_RS02765	EXC50_RS01525
OG0000579	KUD10_RS01855	EXC50_RS00740
OG0000580	KUD10_RS02870	EXC50_RS04050
OG0000581	KUD10_RS01835	EXC50_RS00725
OG0000582	KUD10_RS01330	EXC50_RS04100
OG0000583	KUD10_RS01745	EXC50_RS00640
OG0000584	KUD10_RS01190	EXC50_RS03715, EXC50_RS03705, EXC50_RS03755
OG0000586	KUD10_RS01730	EXC50_RS00625
OG0000587	KUD10_RS03745	EXC50_RS03910
OG0000588	KUD10_RS01705	EXC50_RS00600
OG0000590	KUD10_RS01200	EXC50_RS03745
OG0000591	KUD10_RS03705	EXC50_RS03890
OG0000592	KUD10_RS02735	EXC50_RS01495
OG0000593	KUD10_RS03595	EXC50_RS02370
OG0000594	KUD10_RS01300	EXC50_RS02860
OG0000598	KUD10_RS01800	EXC50_RS00690
OG0000599	KUD10_RS01805	EXC50_RS00695
OG0000600	KUD10_RS01185	EXC50_RS02480, EXC50_RS03760
OG0000601	KUD10_RS01870	EXC50_RS00755
OG0000602	KUD10_RS02090	EXC50_RS00980
OG0000603	KUD10_RS01180	EXC50_RS03765
OG0000604	KUD10_RS03715	EXC50_RS04240
OG0000605	KUD10_RS01175	EXC50_RS02495, EXC50_RS02490, EXC50_RS03770
OG0000606	KUD10_RS01840	EXC50_RS00730
OG0000607	KUD10_RS01285	EXC50_RS04105
OG0000609	KUD10_RS01905	EXC50_RS03905
OG0000611	KUD10_RS00090	EXC50_RS00090
OG0000612	KUD10_RS03695	EXC50_RS03995
OG0000618	KUD10_RS03350	EXC50_RS02125
OG0000619	KUD10_RS01845	EXC50_RS00735
