Orthogroup	MHP_LH_genes	MHP_ES2_genes
OG0000496	KUD10_RS02900	E5E95_RS03025
OG0000497	KUD10_RS02895	E5E95_RS03020
OG0000500	KUD10_RS01980	E5E95_RS02045
OG0000501	KUD10_RS03135	E5E95_RS04280, E5E95_RS04275
OG0000502	KUD10_RS01270	E5E95_RS01220
OG0000503	KUD10_RS00755	E5E95_RS00760
OG0000504	KUD10_RS00890	E5E95_RS00895
OG0000506	KUD10_RS00935	E5E95_RS00960
OG0000508	KUD10_RS00250	E5E95_RS00250
OG0000509	KUD10_RS00285	E5E95_RS00285
OG0000510	KUD10_RS00295	E5E95_RS00295
OG0000511	KUD10_RS00430	E5E95_RS00430
OG0000512	KUD10_RS02635	E5E95_RS02755
OG0000513	KUD10_RS03495	E5E95_RS03645
OG0000514	KUD10_RS02935	E5E95_RS03060
OG0000516	KUD10_RS02060	E5E95_RS02130
OG0000517	KUD10_RS00065	E5E95_RS00065
OG0000518	KUD10_RS03175	E5E95_RS03315
OG0000519	KUD10_RS00780	E5E95_RS00785
OG0000520	KUD10_RS00905	E5E95_RS00910
OG0000521	KUD10_RS00265	E5E95_RS00265
OG0000522	KUD10_RS00300	E5E95_RS00300
OG0000523	KUD10_RS03430	E5E95_RS03580
OG0000525	KUD10_RS03395	E5E95_RS03545
OG0000526	KUD10_RS01895	E5E95_RS04020
OG0000527	KUD10_RS01830	E5E95_RS01880
OG0000528	KUD10_RS02065	E5E95_RS02135
OG0000529	KUD10_RS02305	E5E95_RS02355
OG0000531	KUD10_RS01470	E5E95_RS01415
OG0000532	KUD10_RS01685	E5E95_RS01740
OG0000533	KUD10_RS00605	E5E95_RS00600
OG0000534	KUD10_RS00380	E5E95_RS00380
OG0000535	KUD10_RS00045	E5E95_RS00045
OG0000536	KUD10_RS03615	E5E95_RS03765
OG0000537	KUD10_RS00720	E5E95_RS00725
OG0000538	KUD10_RS01120	E5E95_RS01140
OG0000539	KUD10_RS00215	E5E95_RS00210
OG0000540	KUD10_RS02725	E5E95_RS02840
OG0000541	KUD10_RS02800	E5E95_RS02920
OG0000543	KUD10_RS01215	E5E95_RS02460
OG0000544	KUD10_RS01325	E5E95_RS01270
OG0000546	KUD10_RS02865	E5E95_RS02990
OG0000547	KUD10_RS02985	E5E95_RS03110
OG0000548	KUD10_RS01655	E5E95_RS01615
OG0000549	KUD10_RS03385	E5E95_RS03535
OG0000550	KUD10_RS03530	E5E95_RS03680
OG0000553	KUD10_RS02770	E5E95_RS02890
OG0000554	KUD10_RS02455	E5E95_RS02600
OG0000555	KUD10_RS02990	E5E95_RS04170
OG0000556	KUD10_RS01170, KUD10_RS01160	E5E95_RS02515
OG0000557	KUD10_RS01335	E5E95_RS01280
OG0000558	KUD10_RS01305	E5E95_RS01250
OG0000559	KUD10_RS01760	E5E95_RS01810
OG0000560	KUD10_RS01875	E5E95_RS01930
OG0000561	KUD10_RS01105	E5E95_RS01125
OG0000562	KUD10_RS01880	E5E95_RS01935
OG0000563	KUD10_RS01865	E5E95_RS01920
OG0000564	KUD10_RS01360	E5E95_RS03980
OG0000565	KUD10_RS01930	E5E95_RS01985
OG0000566	KUD10_RS01915	E5E95_RS01975
OG0000567	KUD10_RS01890	E5E95_RS01950
OG0000568	KUD10_RS00680	E5E95_RS00685
OG0000569	KUD10_RS01310	E5E95_RS01255
OG0000570	KUD10_RS01315	E5E95_RS01260
OG0000571	KUD10_RS01320	E5E95_RS01265
OG0000572	KUD10_RS01340	E5E95_RS01285
OG0000573	KUD10_RS01755	E5E95_RS01805
OG0000574	KUD10_RS01380	E5E95_RS01325
OG0000575	KUD10_RS01295	E5E95_RS01240
OG0000576	KUD10_RS01715	E5E95_RS01765
OG0000577	KUD10_RS02745	E5E95_RS02860
OG0000578	KUD10_RS02765	E5E95_RS02885
OG0000579	KUD10_RS01855	E5E95_RS01900
OG0000580	KUD10_RS02870	E5E95_RS04160
OG0000581	KUD10_RS01835	E5E95_RS01885
OG0000582	KUD10_RS01330	E5E95_RS03970
OG0000583	KUD10_RS01745	E5E95_RS01795
OG0000584	KUD10_RS01190	E5E95_RS02485, E5E95_RS01705
OG0000585	KUD10_RS02275	E5E95_RS02325
OG0000586	KUD10_RS01730	E5E95_RS01780
OG0000587	KUD10_RS03745	E5E95_RS04030
OG0000588	KUD10_RS01705	E5E95_RS01755
OG0000589	KUD10_RS02220	E5E95_RS02260
OG0000590	KUD10_RS01200	E5E95_RS04210, E5E95_RS01715, E5E95_RS02475
OG0000591	KUD10_RS03705	E5E95_RS04205
OG0000592	KUD10_RS02735	E5E95_RS02850
OG0000593	KUD10_RS03595	E5E95_RS03745
OG0000594	KUD10_RS01300	E5E95_RS01245
OG0000596	KUD10_RS01795	E5E95_RS01845
OG0000598	KUD10_RS01800	E5E95_RS01850
OG0000599	KUD10_RS01805	E5E95_RS01855
OG0000600	KUD10_RS01185	E5E95_RS02490
OG0000601	KUD10_RS01870	E5E95_RS01925
OG0000602	KUD10_RS02090	E5E95_RS02155
OG0000603	KUD10_RS01180	E5E95_RS02495
OG0000604	KUD10_RS03715	E5E95_RS04220
OG0000605	KUD10_RS01175	E5E95_RS02500
OG0000606	KUD10_RS01840	E5E95_RS01890
OG0000607	KUD10_RS01285	E5E95_RS03855
OG0000609	KUD10_RS01905	E5E95_RS03860
OG0000612	KUD10_RS03695	E5E95_RS04010
OG0000613	KUD10_RS01945	E5E95_RS04035
OG0000614	KUD10_RS02240	E5E95_RS02285
OG0000618	KUD10_RS03350	E5E95_RS03500
OG0000619	KUD10_RS01845	E5E95_RS01895
