Orthogroup	MHP_ES2L_genes	MHP_LH_genes
OG0000503	HZK19_RS00735	KUD10_RS00755
OG0000504	HZK19_RS00870	KUD10_RS00890
OG0000505	HZK19_RS00905	KUD10_RS00925
OG0000506	HZK19_RS00915	KUD10_RS00935
OG0000507	HZK19_RS00950	KUD10_RS00970
OG0000508	HZK19_RS00235	KUD10_RS00250
OG0000509	HZK19_RS00270	KUD10_RS00285
OG0000510	HZK19_RS00280	KUD10_RS00295
OG0000511	HZK19_RS00415	KUD10_RS00430
OG0000513	HZK19_RS03475	KUD10_RS03495
OG0000514	HZK19_RS02825	KUD10_RS02935
OG0000516	HZK19_RS01975	KUD10_RS02060
OG0000517	HZK19_RS00065	KUD10_RS00065
OG0000518	HZK19_RS03145	KUD10_RS03175
OG0000519	HZK19_RS00760	KUD10_RS00780
OG0000520	HZK19_RS00885	KUD10_RS00905
OG0000521	HZK19_RS00250	KUD10_RS00265
OG0000522	HZK19_RS00285	KUD10_RS00300
OG0000523	HZK19_RS03410	KUD10_RS03430
OG0000524	HZK19_RS02640	KUD10_RS02755
OG0000525	HZK19_RS03375	KUD10_RS03395
OG0000526	HZK19_RS03755	KUD10_RS01895
OG0000527	HZK19_RS01730	KUD10_RS01830
OG0000528	HZK19_RS01980	KUD10_RS02065
OG0000529	HZK19_RS02210	KUD10_RS02305
OG0000530	HZK19_RS02315	KUD10_RS02410
OG0000531	HZK19_RS01365	KUD10_RS01470
OG0000532	HZK19_RS01590	KUD10_RS01685
OG0000533	HZK19_RS00590	KUD10_RS00605
OG0000534	HZK19_RS00365	KUD10_RS00380
OG0000535	HZK19_RS00045	KUD10_RS00045
OG0000536	HZK19_RS03590	KUD10_RS03615
OG0000537	HZK19_RS00700	KUD10_RS00720
OG0000538	HZK19_RS01100	KUD10_RS01120
OG0000539	HZK19_RS00200	KUD10_RS00215
OG0000540	HZK19_RS02605	KUD10_RS02725
OG0000541	HZK19_RS02685	KUD10_RS02800
OG0000542	HZK19_RS00335	KUD10_RS00350
OG0000543	HZK19_RS03095	KUD10_RS01215
OG0000544	HZK19_RS01215	KUD10_RS01325
OG0000545	HZK19_RS01785	KUD10_RS01885
OG0000546	HZK19_RS02755	KUD10_RS02865
OG0000547	HZK19_RS02875	KUD10_RS02985
OG0000548	HZK19_RS01560	KUD10_RS01655
OG0000549	HZK19_RS03365	KUD10_RS03385
OG0000550	HZK19_RS03510	KUD10_RS03530
OG0000552	HZK19_RS03180	KUD10_RS03210
OG0000553	HZK19_RS02655	KUD10_RS02770
OG0000554	HZK19_RS02360	KUD10_RS02455
OG0000555	HZK19_RS02880	KUD10_RS02990
OG0000556	HZK19_RS03050	KUD10_RS01170
OG0000556	HZK19_RS03035	KUD10_RS01160
OG0000557	HZK19_RS01230	KUD10_RS01335
OG0000558	HZK19_RS01195	KUD10_RS01305
OG0000559	HZK19_RS01670	KUD10_RS01760
OG0000560	HZK19_RS01770	KUD10_RS01875
OG0000561	HZK19_RS01085	KUD10_RS01105
OG0000562	HZK19_RS01775	KUD10_RS01880
OG0000563	HZK19_RS01760	KUD10_RS01865
OG0000564	HZK19_RS03725	KUD10_RS01360
OG0000565	HZK19_RS01835	KUD10_RS01930
OG0000566	HZK19_RS01815	KUD10_RS01915
OG0000567	HZK19_RS01790	KUD10_RS01890
OG0000568	HZK19_RS00660	KUD10_RS00680
OG0000569	HZK19_RS01200	KUD10_RS01310
OG0000570	HZK19_RS01205	KUD10_RS01315
OG0000571	HZK19_RS01210	KUD10_RS01320
OG0000572	HZK19_RS01235	KUD10_RS01340
OG0000573	HZK19_RS01665	KUD10_RS01755
OG0000574	HZK19_RS01275	KUD10_RS01380
OG0000575	HZK19_RS01185	KUD10_RS01295
OG0000576	HZK19_RS01615	KUD10_RS01715
OG0000577	HZK19_RS02625	KUD10_RS02745
OG0000578	HZK19_RS02650	KUD10_RS02765
OG0000579	HZK19_RS01750	KUD10_RS01855
OG0000580	HZK19_RS02760	KUD10_RS02870
OG0000581	HZK19_RS01735	KUD10_RS01835
OG0000582	HZK19_RS01225	KUD10_RS01330
OG0000583	HZK19_RS01655	KUD10_RS01745
OG0000584	HZK19_RS03070	KUD10_RS01190
OG0000585	HZK19_RS02180	KUD10_RS02275
OG0000586	HZK19_RS01635	KUD10_RS01730
OG0000587	HZK19_RS03875	KUD10_RS03745
OG0000588	HZK19_RS01610	KUD10_RS01705
OG0000589	HZK19_RS02120	KUD10_RS02220
OG0000590	HZK19_RS03080	KUD10_RS01200
OG0000591	HZK19_RS03885	KUD10_RS03705
OG0000592	HZK19_RS02615	KUD10_RS02735
OG0000593	HZK19_RS03575	KUD10_RS03595
OG0000594	HZK19_RS01190	KUD10_RS01300
OG0000595	HZK19_RS02965	KUD10_RS03070
OG0000597	HZK19_RS02960	KUD10_RS03065
OG0000600	HZK19_RS03065	KUD10_RS01185
OG0000601	HZK19_RS01765	KUD10_RS01870
OG0000602	HZK19_RS02005	KUD10_RS02090
OG0000603	HZK19_RS03060	KUD10_RS01180
OG0000604	HZK19_RS03900	KUD10_RS03715
OG0000605	HZK19_RS03055	KUD10_RS01175
OG0000606	HZK19_RS01740	KUD10_RS01840
OG0000609	HZK19_RS01805	KUD10_RS01905
OG0000614	HZK19_RS02140	KUD10_RS02240
OG0000618	HZK19_RS03330	KUD10_RS03350
OG0000619	HZK19_RS01745	KUD10_RS01845
