Orthogroup	MHP_1257_genes	MFC_ATCC27716_genes
OG0000524	ABKJ22_RS02615	MFC_RS03015
OG0000525	ABKJ22_RS03210	MFC_RS01685
OG0000528	ABKJ22_RS01990	MFC_RS00035
OG0000529	ABKJ22_RS02170	MFC_RS00430
OG0000530	ABKJ22_RS02300	MFC_RS00495
OG0000531	ABKJ22_RS01415	MFC_RS00615
OG0000532	ABKJ22_RS01625	MFC_RS00940
OG0000533	ABKJ22_RS01100	MFC_RS02185
OG0000534	ABKJ22_RS00375	MFC_RS02605
OG0000535	ABKJ22_RS00045	MFC_RS00190
OG0000536	ABKJ22_RS03430	MFC_RS00315
OG0000537	ABKJ22_RS00975	MFC_RS01840
OG0000538	ABKJ22_RS01140	MFC_RS02215
OG0000539	ABKJ22_RS00210	MFC_RS02435
OG0000540	ABKJ22_RS02585	MFC_RS03035
OG0000541	ABKJ22_RS02655	MFC_RS01170
OG0000542	ABKJ22_RS00345	MFC_RS02575
OG0000547	ABKJ22_RS02860	MFC_RS00980
OG0000548	ABKJ22_RS01595	MFC_RS01285
OG0000549	ABKJ22_RS03200	MFC_RS01675
OG0000550	ABKJ22_RS03345	MFC_RS02750
OG0000551	ABKJ22_RS02925	MFC_RS02325
OG0000589	ABKJ22_RS02245	MFC_RS03260
