Orthogroup	MHP_ES2_genes	MHP_UFV02_genes
OG0000508	E5E95_RS00250	FEF31_RS03520
OG0000509	E5E95_RS00285	FEF31_RS03555
OG0000510	E5E95_RS00295	FEF31_RS03565
OG0000511	E5E95_RS00430	FEF31_RS00095
OG0000512	E5E95_RS02755	FEF31_RS02295
OG0000513	E5E95_RS03645	FEF31_RS03100
OG0000514	E5E95_RS03060	FEF31_RS02600
OG0000515	E5E95_RS01965	FEF31_RS01595
OG0000515	E5E95_RS01580	FEF31_RS01240, FEF31_RS01235
OG0000516	E5E95_RS02130	FEF31_RS04490
OG0000517	E5E95_RS00065	FEF31_RS03350
OG0000518	E5E95_RS03315	FEF31_RS03675
OG0000519	E5E95_RS00785	FEF31_RS00440
OG0000520	E5E95_RS00910	FEF31_RS00565
OG0000521	E5E95_RS00265	FEF31_RS03535
OG0000522	E5E95_RS00300	FEF31_RS03570
OG0000523	E5E95_RS03580	FEF31_RS03035
OG0000525	E5E95_RS03545	FEF31_RS04585
OG0000526	E5E95_RS04020	FEF31_RS01585
OG0000527	E5E95_RS01880	FEF31_RS01525
OG0000528	E5E95_RS02135	FEF31_RS01760
OG0000529	E5E95_RS02355	FEF31_RS01980
OG0000531	E5E95_RS01415	FEF31_RS01060
OG0000532	E5E95_RS01740	FEF31_RS01290
OG0000533	E5E95_RS00600	FEF31_RS00260
OG0000534	E5E95_RS00380	FEF31_RS00045
OG0000535	E5E95_RS00045	FEF31_RS04655
OG0000536	E5E95_RS03765	FEF31_RS03215
OG0000537	E5E95_RS00725	FEF31_RS00380
OG0000538	E5E95_RS01140	FEF31_RS00780
OG0000539	E5E95_RS00210	FEF31_RS03485
OG0000540	E5E95_RS02840	FEF31_RS02380
OG0000541	E5E95_RS02920	FEF31_RS02460
OG0000544	E5E95_RS01270	FEF31_RS04410
OG0000545	E5E95_RS01945	FEF31_RS01575
OG0000546	E5E95_RS02990	FEF31_RS02530
OG0000547	E5E95_RS03110	FEF31_RS02650
OG0000548	E5E95_RS01615	FEF31_RS01255
OG0000549	E5E95_RS03535	FEF31_RS04580
OG0000550	E5E95_RS03680	FEF31_RS03135
OG0000553	E5E95_RS02890	FEF31_RS04535
OG0000554	E5E95_RS02600	FEF31_RS02125
OG0000555	E5E95_RS04170	FEF31_RS02655
OG0000556	E5E95_RS02515	FEF31_RS04460
OG0000557	E5E95_RS01280	FEF31_RS00920
OG0000558	E5E95_RS01250	FEF31_RS00890
OG0000559	E5E95_RS01810	FEF31_RS01360
OG0000560	E5E95_RS01930	FEF31_RS01560
OG0000561	E5E95_RS01125	FEF31_RS00765
OG0000562	E5E95_RS01935	FEF31_RS01565
OG0000563	E5E95_RS01920	FEF31_RS01550
OG0000564	E5E95_RS03980	FEF31_RS00945
OG0000565	E5E95_RS01985	FEF31_RS01620
OG0000566	E5E95_RS01975	FEF31_RS01605
OG0000567	E5E95_RS01950	FEF31_RS01580
OG0000568	E5E95_RS00685	FEF31_RS00340
OG0000569	E5E95_RS01255	FEF31_RS00895
OG0000570	E5E95_RS01260	FEF31_RS04405
OG0000571	E5E95_RS01265	FEF31_RS00905
OG0000572	E5E95_RS01285	FEF31_RS00925
OG0000573	E5E95_RS01805	FEF31_RS01355
OG0000574	E5E95_RS01325	FEF31_RS00965
OG0000575	E5E95_RS01240	FEF31_RS00880
OG0000576	E5E95_RS01765	FEF31_RS01315
OG0000577	E5E95_RS02860	FEF31_RS02400
OG0000578	E5E95_RS02885	FEF31_RS02420
OG0000579	E5E95_RS01900	FEF31_RS01540
OG0000580	E5E95_RS04160	FEF31_RS02535
OG0000581	E5E95_RS01885	FEF31_RS01530
OG0000582	E5E95_RS03970	FEF31_RS04415
OG0000583	E5E95_RS01795	FEF31_RS01345
OG0000584	E5E95_RS02485, E5E95_RS01705	FEF31_RS01425
OG0000585	E5E95_RS02325	FEF31_RS01950
OG0000586	E5E95_RS01780	FEF31_RS01330
OG0000587	E5E95_RS04030	FEF31_RS04780
OG0000588	E5E95_RS01755	FEF31_RS01305
OG0000589	E5E95_RS02260	FEF31_RS01890
OG0000591	E5E95_RS04205	FEF31_RS04065
OG0000592	E5E95_RS02850	FEF31_RS02390
OG0000593	E5E95_RS03745	FEF31_RS03200
OG0000594	E5E95_RS01245	FEF31_RS00885
OG0000595	E5E95_RS03205	FEF31_RS02735
OG0000596	E5E95_RS01845	FEF31_RS01490
OG0000597	E5E95_RS03200	FEF31_RS02730
OG0000598	E5E95_RS01850	FEF31_RS01495
OG0000599	E5E95_RS01855	FEF31_RS01500
OG0000600	E5E95_RS02490	FEF31_RS01430
OG0000601	E5E95_RS01925	FEF31_RS01555
OG0000603	E5E95_RS02495	FEF31_RS01440
OG0000604	E5E95_RS04220	FEF31_RS04155
OG0000605	E5E95_RS02500	FEF31_RS01445
OG0000606	E5E95_RS01890	FEF31_RS01535
OG0000607	E5E95_RS03855	FEF31_RS00870
OG0000610	E5E95_RS04190	FEF31_RS03930
OG0000612	E5E95_RS04010	FEF31_RS01505
OG0000613	E5E95_RS04035	FEF31_RS01640
OG0000614	E5E95_RS02285	FEF31_RS01905
OG0000615	E5E95_RS02895	FEF31_RS02430
OG0000618	E5E95_RS03500	FEF31_RS02240
