Orthogroup	MHP_MHP679_genes	MHP_F72C_genes
OG0000548	DR086_RS03320	EHI52_RS01650
OG0000549	DR086_RS05015	EHI52_RS03335
OG0000550	DR086_RS01445	EHI52_RS03460
OG0000551	DR086_RS02920	EHI52_RS02975
OG0000552	DR086_RS01340	EHI52_RS03160
OG0000553	DR086_RS04995	EHI52_RS02680
OG0000554	DR086_RS03115	EHI52_RS02400
OG0000557	DR086_RS02560	EHI52_RS01325
OG0000558	DR086_RS02530	EHI52_RS01295
OG0000559	DR086_RS01605	EHI52_RS01755
OG0000560	DR086_RS00670	EHI52_RS02125
OG0000561	DR086_RS01695	EHI52_RS01180
OG0000562	DR086_RS00675	EHI52_RS02120
OG0000563	DR086_RS00660	EHI52_RS02135
OG0000564	DR086_RS03420	EHI52_RS03770
OG0000565	DR086_RS03570	EHI52_RS02070
OG0000566	DR086_RS00815	EHI52_RS02080
OG0000567	DR086_RS00785	EHI52_RS02105
OG0000568	DR086_RS03020	EHI52_RS00685
OG0000569	DR086_RS02535	EHI52_RS01300
OG0000570	DR086_RS04955	EHI52_RS01305
OG0000571	DR086_RS02545	EHI52_RS01310
OG0000572	DR086_RS02570	EHI52_RS01330
OG0000573	DR086_RS01610	EHI52_RS01750
OG0000574	DR086_RS03400	EHI52_RS01370
OG0000575	DR086_RS02520	EHI52_RS01285
OG0000576	DR086_RS01655	EHI52_RS01710
OG0000577	DR086_RS00850	EHI52_RS02655
OG0000578	DR086_RS00830	EHI52_RS02675
OG0000579	DR086_RS00655	EHI52_RS02170
OG0000580	DR086_RS01005	EHI52_RS03845
OG0000581	DR086_RS00640	EHI52_RS02175
OG0000582	DR086_RS04965	EHI52_RS03765
OG0000583	DR086_RS01620	EHI52_RS01740
OG0000585	DR086_RS02120	EHI52_RS02220
OG0000586	DR086_RS01635	EHI52_RS01725
OG0000587	DR086_RS05080	EHI52_RS03915
OG0000588	DR086_RS01660	EHI52_RS01700
OG0000589	DR086_RS03515	EHI52_RS00950
OG0000591	DR086_RS04045	EHI52_RS02045
OG0000592	DR086_RS00860	EHI52_RS02645
OG0000593	DR086_RS02450	EHI52_RS03525
OG0000594	DR086_RS02525	EHI52_RS01290
OG0000595	DR086_RS02900	EHI52_RS03000
OG0000601	DR086_RS00665	EHI52_RS02130
OG0000606	DR086_RS00645	EHI52_RS02160
OG0000607	DR086_RS02510	EHI52_RS03630
OG0000608	DR086_RS04790	EHI52_RS02115
OG0000613	DR086_RS04040	EHI52_RS03785
OG0000618	DR086_RS02365	EHI52_RS03300
OG0000626	DR086_RS03955	EHI52_RS03695
