Orthogroup	MHP_LH_genes	MHP_J_genes
OG0000507	KUD10_RS00970	MHJ_RS00950
OG0000508	KUD10_RS00250	MHJ_RS00230
OG0000509	KUD10_RS00285	MHJ_RS00265
OG0000510	KUD10_RS00295	MHJ_RS00275
OG0000511	KUD10_RS00430	MHJ_RS00410
OG0000512	KUD10_RS02635	MHJ_RS02510
OG0000513	KUD10_RS03495	MHJ_RS03395
OG0000514	KUD10_RS02935	MHJ_RS02830
OG0000516	KUD10_RS02060	MHJ_RS01965
OG0000517	KUD10_RS00065	MHJ_RS00065
OG0000518	KUD10_RS03175	MHJ_RS03080
OG0000519	KUD10_RS00780	MHJ_RS00760
OG0000520	KUD10_RS00905	MHJ_RS00885
OG0000521	KUD10_RS00265	MHJ_RS00245
OG0000522	KUD10_RS00300	MHJ_RS00280
OG0000523	KUD10_RS03430	MHJ_RS03335
OG0000524	KUD10_RS02755	MHJ_RS02635
OG0000525	KUD10_RS03395	MHJ_RS03305
OG0000526	KUD10_RS01895	MHJ_RS03870, MHJ_RS01785
OG0000527	KUD10_RS01830	MHJ_RS03865
OG0000528	KUD10_RS02065	MHJ_RS01970
OG0000529	KUD10_RS02305	MHJ_RS02190
OG0000530	KUD10_RS02410	MHJ_RS02290
OG0000531	KUD10_RS01470	MHJ_RS01370
OG0000532	KUD10_RS01685	MHJ_RS01585
OG0000533	KUD10_RS00605	MHJ_RS00585
OG0000534	KUD10_RS00380	MHJ_RS00360
OG0000535	KUD10_RS00045	MHJ_RS00045
OG0000536	KUD10_RS03615	MHJ_RS03510
OG0000537	KUD10_RS00720	MHJ_RS00705
OG0000538	KUD10_RS01120	MHJ_RS01095
OG0000539	KUD10_RS00215	MHJ_RS00190
OG0000540	KUD10_RS02725	MHJ_RS02600
OG0000541	KUD10_RS02800	MHJ_RS02680
OG0000542	KUD10_RS00350	MHJ_RS00330
OG0000543	KUD10_RS01695	MHJ_RS03760
OG0000544	KUD10_RS01325	MHJ_RS01225
OG0000545	KUD10_RS01885	MHJ_RS01770
OG0000546	KUD10_RS02865	MHJ_RS02755
OG0000547	KUD10_RS02985	MHJ_RS02885
OG0000548	KUD10_RS01655	MHJ_RS01550
OG0000549	KUD10_RS03385	MHJ_RS03295
OG0000550	KUD10_RS03530	MHJ_RS03430
OG0000552	KUD10_RS03210	MHJ_RS03115
OG0000553	KUD10_RS02770	MHJ_RS02650
OG0000554	KUD10_RS02455	MHJ_RS02335
OG0000555	KUD10_RS02990	MHJ_RS03945
OG0000557	KUD10_RS01335	MHJ_RS01235
OG0000558	KUD10_RS01305	MHJ_RS01205
OG0000559	KUD10_RS01760	MHJ_RS01645
OG0000560	KUD10_RS01875	MHJ_RS01760
OG0000561	KUD10_RS01105	MHJ_RS01080
OG0000562	KUD10_RS01880	MHJ_RS01765
OG0000563	KUD10_RS01865	MHJ_RS01750
OG0000564	KUD10_RS01360	MHJ_RS01260
OG0000565	KUD10_RS01930	MHJ_RS01820
OG0000566	KUD10_RS01915	MHJ_RS01810
OG0000567	KUD10_RS01890	MHJ_RS01780
OG0000568	KUD10_RS00680	MHJ_RS00665
OG0000569	KUD10_RS01310	MHJ_RS01210
OG0000570	KUD10_RS01315	MHJ_RS01215
OG0000571	KUD10_RS01320	MHJ_RS01220
OG0000572	KUD10_RS01340	MHJ_RS01240
OG0000573	KUD10_RS01755	MHJ_RS01640
OG0000574	KUD10_RS01380	MHJ_RS01280
OG0000575	KUD10_RS01295	MHJ_RS01195
OG0000576	KUD10_RS01715	MHJ_RS03625
OG0000577	KUD10_RS02745	MHJ_RS02620
OG0000578	KUD10_RS02765	MHJ_RS02645
OG0000579	KUD10_RS01855	MHJ_RS01740
OG0000580	KUD10_RS02870	MHJ_RS02760
OG0000581	KUD10_RS01835	MHJ_RS01725
OG0000582	KUD10_RS01330	MHJ_RS03835
OG0000583	KUD10_RS01745	MHJ_RS01630
OG0000585	KUD10_RS02275	MHJ_RS03590
OG0000586	KUD10_RS01730	MHJ_RS01620
OG0000587	KUD10_RS03745	MHJ_RS04025
OG0000588	KUD10_RS01705	MHJ_RS01600
OG0000589	KUD10_RS02220	MHJ_RS03650
OG0000591	KUD10_RS03705	MHJ_RS03990
OG0000592	KUD10_RS02735	MHJ_RS02610
OG0000593	KUD10_RS03595	MHJ_RS03495
OG0000594	KUD10_RS01300	MHJ_RS01200
OG0000596	KUD10_RS01795	MHJ_RS01685
OG0000598	KUD10_RS01800	MHJ_RS01690
OG0000599	KUD10_RS01805	MHJ_RS01695
OG0000601	KUD10_RS01870	MHJ_RS01755
OG0000602	KUD10_RS02090	MHJ_RS01990
OG0000606	KUD10_RS01840	MHJ_RS01730
OG0000607	KUD10_RS01285	MHJ_RS03755
OG0000612	KUD10_RS03695	MHJ_RS03855
