Orthogroup	MHP_LH_genes	MHP_TB1_genes
OG0000514	KUD10_RS02935	B5M19_RS01405
OG0000516	KUD10_RS02060	B5M19_RS00835
OG0000517	KUD10_RS00065	B5M19_RS01870
OG0000518	KUD10_RS03175	B5M19_RS01515
OG0000519	KUD10_RS00780	B5M19_RS01760
OG0000520	KUD10_RS00905	B5M19_RS01635
OG0000521	KUD10_RS00265	B5M19_RS00185
OG0000522	KUD10_RS00300	B5M19_RS00220
OG0000523	KUD10_RS03430	B5M19_RS00545
OG0000524	KUD10_RS02755	B5M19_RS00900
OG0000525	KUD10_RS03395	B5M19_RS00575
OG0000526	KUD10_RS01895	B5M19_RS04070
OG0000527	KUD10_RS01830	B5M19_RS04065
OG0000528	KUD10_RS02065	B5M19_RS00840
OG0000529	KUD10_RS02305	B5M19_RS02935
OG0000530	KUD10_RS02410	B5M19_RS02705
OG0000531	KUD10_RS01470	B5M19_RS01175
OG0000532	KUD10_RS01685	B5M19_RS04500
OG0000533	KUD10_RS00605	B5M19_RS04515
OG0000535	KUD10_RS00045	B5M19_RS04610
OG0000536	KUD10_RS03615	B5M19_RS00365
OG0000537	KUD10_RS00720	B5M19_RS01820
OG0000538	KUD10_RS01120	B5M19_RS04340
OG0000539	KUD10_RS00215	B5M19_RS00130
OG0000540	KUD10_RS02725	B5M19_RS00930
OG0000541	KUD10_RS02800	B5M19_RS00855
OG0000542	KUD10_RS00350	B5M19_RS00275
OG0000543	KUD10_RS01215	B5M19_RS04430
OG0000544	KUD10_RS01325	B5M19_RS04410
OG0000546	KUD10_RS02865	B5M19_RS02545
OG0000547	KUD10_RS02985	B5M19_RS01355
OG0000548	KUD10_RS01655	B5M19_RS03295
OG0000549	KUD10_RS03385	B5M19_RS00585
OG0000550	KUD10_RS03530	B5M19_RS04055
OG0000552	KUD10_RS03210	B5M19_RS01550
OG0000553	KUD10_RS02770	B5M19_RS00885
OG0000554	KUD10_RS02455	B5M19_RS02655
OG0000555	KUD10_RS02990	B5M19_RS01350
OG0000556	KUD10_RS01170	B5M19_RS02885
OG0000556	KUD10_RS01160	B5M19_RS02255
OG0000557	KUD10_RS01335	B5M19_RS02615
OG0000558	KUD10_RS01305	B5M19_RS03655
OG0000559	KUD10_RS01760	B5M19_RS02075
OG0000560	KUD10_RS01875	B5M19_RS00635
OG0000561	KUD10_RS01105	B5M19_RS02205
OG0000562	KUD10_RS01880	B5M19_RS00640
OG0000563	KUD10_RS01865	B5M19_RS00625
OG0000564	KUD10_RS01360	B5M19_RS03930
OG0000565	KUD10_RS01930	B5M19_RS00685
OG0000566	KUD10_RS01915	B5M19_RS00675
OG0000567	KUD10_RS01890	B5M19_RS00650
OG0000568	KUD10_RS00680	B5M19_RS01860
OG0000569	KUD10_RS01310	B5M19_RS03665
OG0000570	KUD10_RS01315	B5M19_RS02635
OG0000571	KUD10_RS01320	B5M19_RS02630
OG0000572	KUD10_RS01340	B5M19_RS02610
OG0000573	KUD10_RS01755	B5M19_RS02070
OG0000574	KUD10_RS01380	B5M19_RS02570
OG0000575	KUD10_RS01295	B5M19_RS03670
OG0000576	KUD10_RS01715	B5M19_RS02030
OG0000577	KUD10_RS02745	B5M19_RS00910
OG0000578	KUD10_RS02765	B5M19_RS00890
OG0000579	KUD10_RS01855	B5M19_RS00615
OG0000580	KUD10_RS02870	B5M19_RS02550
OG0000581	KUD10_RS01835	B5M19_RS00600
OG0000582	KUD10_RS01330	B5M19_RS04400
OG0000583	KUD10_RS01745	B5M19_RS02060
OG0000584	KUD10_RS01190	B5M19_RS02310
OG0000585	KUD10_RS02275	B5M19_RS02965
OG0000588	KUD10_RS01705	B5M19_RS02025
OG0000590	KUD10_RS01200	B5M19_RS02875
OG0000591	KUD10_RS03705	B5M19_RS04575
OG0000592	KUD10_RS02735	B5M19_RS04115
OG0000593	KUD10_RS03595	B5M19_RS00380
OG0000594	KUD10_RS01300	B5M19_RS03650
OG0000596	KUD10_RS01795	B5M19_RS02110
OG0000598	KUD10_RS01800	B5M19_RS02115
OG0000599	KUD10_RS01805	B5M19_RS02120
OG0000600	KUD10_RS01185	B5M19_RS02305
OG0000601	KUD10_RS01870	B5M19_RS00630
OG0000604	KUD10_RS03715	B5M19_RS04585
OG0000605	KUD10_RS01175	B5M19_RS02280
OG0000606	KUD10_RS01840	B5M19_RS00605
OG0000612	KUD10_RS03695	B5M19_RS04320
OG0000619	KUD10_RS01845	B5M19_RS00610
