Orthogroup	MHP_LH_genes	MHP_111A_genes
OG0000557	KUD10_RS01335	NB623_RS01385
OG0000558	KUD10_RS01305	NB623_RS01355
OG0000559	KUD10_RS01760	NB623_RS01825
OG0000560	KUD10_RS01875	NB623_RS02290
OG0000561	KUD10_RS01105	NB623_RS01240
OG0000562	KUD10_RS01880	NB623_RS02280
OG0000563	KUD10_RS01865	NB623_RS02295
OG0000564	KUD10_RS01360	NB623_RS01405
OG0000565	KUD10_RS01930	NB623_RS02220
OG0000566	KUD10_RS01915	NB623_RS02240
OG0000567	KUD10_RS01890	NB623_RS02265
OG0000568	KUD10_RS00680	NB623_RS00685
OG0000569	KUD10_RS01310	NB623_RS01360
OG0000570	KUD10_RS01315	NB623_RS01365
OG0000571	KUD10_RS01320	NB623_RS01370
OG0000572	KUD10_RS01340	NB623_RS01390
OG0000573	KUD10_RS01755	NB623_RS01820
OG0000574	KUD10_RS01380	NB623_RS01425
OG0000575	KUD10_RS01295	NB623_RS01350
OG0000576	KUD10_RS01715	NB623_RS01775
OG0000577	KUD10_RS02745	NB623_RS02825
OG0000578	KUD10_RS02765	NB623_RS02850
OG0000579	KUD10_RS01855	NB623_RS02305
OG0000580	KUD10_RS02870	NB623_RS02955
OG0000581	KUD10_RS01835	NB623_RS02310
OG0000582	KUD10_RS01330	NB623_RS01380
OG0000583	KUD10_RS01745	NB623_RS01810
OG0000584	KUD10_RS01190	NB623_RS01955
OG0000585	KUD10_RS02275	NB623_RS02350
OG0000586	KUD10_RS01730	NB623_RS01795
OG0000587	KUD10_RS03745	NB623_RS02215
OG0000588	KUD10_RS01705	NB623_RS01765
OG0000589	KUD10_RS02220	NB623_RS01010
OG0000590	KUD10_RS01200	NB623_RS01945
OG0000591	KUD10_RS03705	NB623_RS02200
OG0000592	KUD10_RS02735	NB623_RS02815
OG0000593	KUD10_RS03595	NB623_RS03720
OG0000595	KUD10_RS03070	NB623_RS03160
OG0000596	KUD10_RS01795	NB623_RS01870
OG0000597	KUD10_RS03065	NB623_RS03155
OG0000598	KUD10_RS01800	NB623_RS01875
OG0000599	KUD10_RS01805	NB623_RS01880
OG0000600	KUD10_RS01185	NB623_RS01960
OG0000603	KUD10_RS01180	NB623_RS01965
OG0000604	KUD10_RS03715	NB623_RS02965
OG0000607	KUD10_RS01285	NB623_RS01335
OG0000609	KUD10_RS01905	NB623_RS02250
OG0000611	KUD10_RS00090	NB623_RS00100
OG0000612	KUD10_RS03695	NB623_RS01885
OG0000613	KUD10_RS01945	NB623_RS02205
OG0000614	KUD10_RS02240	NB623_RS00975
