Orthogroup	MHP_J_proteins	MHP_131B_proteins
OG0000583	WP_011284077.1	WP_404924462.1
OG0000585	WP_052259111.1	WP_146379626.1
OG0000586	WP_237697239.1	WP_404924460.1
OG0000587	WP_011284111.1	WP_258555257.1
OG0000588	WP_011284071.1	WP_404924457.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000591	WP_258556645.1	WP_258555396.1
OG0000593	WP_044284733.1	WP_404924339.1
OG0000594	WP_011284003.1	WP_404924554.1
OG0000595	WP_044284700.1	WP_404924292.1
OG0000596	WP_014579752.1	WP_404924563.1
OG0000597	WP_044284699.1	WP_404924291.1
OG0000598	WP_020835684.1	WP_404924468.1
OG0000599	WP_011206170.1	WP_011206170.1
OG0000607	WP_158209054.1	WP_160587988.1
OG0000610	WP_258556638.1	WP_269076320.1
OG0000612	WP_237697241.1	WP_404924564.1
OG0000615	WP_011206331.1	WP_044272557.1
