Orthogroup	MHP_UFV01_protein	MHP_7448_protein
OG0000577	WP_011290145.1	WP_011290145.1
OG0000578	WP_243216081.1	WP_011290146.1
OG0000579	WP_243216083.1	WP_011290147.1
OG0000580	WP_243216090.1	WP_011290150.1
OG0000581	WP_243216093.1	WP_020835676.1
OG0000582	WP_011206161.1	WP_011290153.1
OG0000583	WP_014579786.1	WP_011290172.1
OG0000584	WP_011284100.1	WP_011284100.1
OG0000585	WP_243216120.1	WP_020835696.1
OG0000586	WP_243216124.1	WP_228366133.1
OG0000587	WP_243216127.1	WP_011290178.1
OG0000588	WP_243216133.1	WP_011290180.1
OG0000589	WP_243216135.1	WP_011290181.1
OG0000590	WP_237697200.1	WP_020835748.1
OG0000591	WP_243216270.1	WP_044272556.1
OG0000592	WP_243216276.1	WP_011290315.1
OG0000593	WP_243215859.1	WP_020835902.1
OG0000594	WP_243215893.1	WP_044272673.1
OG0000595	WP_014579703.1	WP_228366128.1
OG0000596	WP_094521768.1	WP_041361605.1
OG0000597	WP_243216119.1	WP_020835695.1
OG0000598	WP_160584731.1	WP_011290090.1
OG0000599	WP_011284018.1	WP_011284018.1
OG0000600	WP_243216007.1	WP_011290069.1
OG0000601	WP_243216141.1	WP_044272453.1
OG0000602	WP_228365393.1	WP_228365393.1
OG0000603	WP_243215857.1	WP_044272656.1
OG0000604	WP_243216130.1	WP_228366135.1
OG0000606	WP_243216111.1	WP_044272507.1
OG0000607	WP_243216106.1	WP_228366097.1, WP_228366096.1
OG0000608	WP_243216092.1	WP_011290151.1
OG0000609	WP_011206174.1	WP_020835689.1
OG0000610	WP_233688744.1	WP_020835690.1
OG0000611	WP_243216118.1	WP_011290167.1
OG0000612	WP_243216259.1	WP_011290298.1
OG0000613	WP_041361798.1	WP_044272727.1
OG0000614	WP_011290300.1	WP_011290300.1
OG0000615	WP_279288020.1	WP_160585604.1
OG0000616	WP_243216079.1	WP_011290144.1
OG0000617	WP_011284111.1	WP_258555257.1
OG0000618	WP_243216085.1	WP_228366131.1
OG0000621	WP_243216107.1	WP_011290237.1
OG0000624	WP_020835859.1	WP_011290355.1
OG0000626	WP_243216307.1	WP_044272591.1
OG0000627	WP_014579783.1	WP_020835692.1
OG0000628	WP_243216200.1	WP_225972978.1
OG0000629	WP_258555242.1	WP_258555242.1
OG0000632	WP_011290238.1	WP_011290238.1
OG0000633	WP_014579686.1	WP_014579686.1
OG0000634	WP_158209054.1	WP_158209054.1
OG0000636	WP_014579683.1	WP_014579683.1
OG0000637	WP_243216109.1	WP_044272504.1
OG0000639	WP_243216272.1	WP_044272557.1
OG0000640	WP_232039520.1	WP_041361626.1
OG0000641	WP_279288000.1	WP_269076320.1
OG0000643	WP_243215929.1	WP_011289945.1
OG0000644	WP_243215930.1	WP_020835498.1
OG0000650	WP_243216344.1	WP_044272647.1
OG0000669	WP_041361554.1	WP_041361554.1
OG0000670	WP_243216100.1	WP_187145657.1
OG0000671	WP_243216114.1	WP_041361551.1
OG0000672	WP_020835551.1	WP_020835551.1
OG0000673	WP_243216108.1	WP_011290239.1
