Orthogroup	MHP_111A_proteins	MHP_7422_proteins
OG0000587	WP_258555257.1	WP_258555257.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000591	WP_258555396.1	WP_258555396.1
OG0000592	WP_404911928.1	WP_011290298.1
OG0000593	WP_404912088.1	WP_020835922.1
OG0000595	WP_404911985.1	WP_020835859.1
OG0000596	WP_404912392.1	WP_020835683.1
OG0000597	WP_044272591.1	WP_051129933.1
OG0000598	WP_192894290.1	WP_020835684.1
OG0000599	WP_011206170.1	WP_041361623.1
OG0000600	WP_404912410.1	WP_014579686.1
OG0000604	WP_258555242.1	WP_258555242.1
OG0000607	WP_158209054.1	WP_158209054.1
OG0000608	WP_020835697.1	WP_020835697.1
OG0000609	WP_220190677.1	WP_158520147.1
OG0000610	WP_269076320.1	WP_269076320.1
OG0000611	WP_404912129.1	WP_236607962.1
OG0000612	WP_225973036.1	WP_041361626.1
OG0000613	WP_225972966.1	WP_225972966.1
OG0000614	WP_404912236.1	WP_020835740.1
