Orthogroup	MHP_111A_proteins	MHP_Ue273_proteins
OG0000583	WP_404912380.1	WP_347952451.1
OG0000585	WP_146379626.1	WP_148285449.1
OG0000586	WP_044272424.1	WP_228366131.1
OG0000587	WP_258555257.1	WP_011284111.1
OG0000588	WP_404912371.1	WP_347952445.1
OG0000591	WP_258555396.1	WP_258555396.1
OG0000592	WP_404911928.1	WP_347952251.1
OG0000593	WP_404912088.1	WP_347952326.1
OG0000596	WP_404912392.1	WP_014579752.1
OG0000598	WP_192894290.1	WP_347952458.1
OG0000599	WP_011206170.1	WP_011206170.1
OG0000604	WP_258555242.1	WP_258555242.1
OG0000608	WP_020835697.1	WP_020835697.1
OG0000609	WP_220190677.1	WP_220190677.1
OG0000610	WP_269076320.1	WP_269076320.1
OG0000611	WP_404912129.1	WP_347952341.1
OG0000612	WP_225973036.1	WP_347952459.1
OG0000613	WP_225972966.1	WP_258556644.1
OG0000622	WP_225973020.1	WP_225973020.1
OG0000623	WP_275087581.1, WP_404911827.1	WP_347952449.1
OG0000649	WP_404912330.1	WP_347952421.1
