Orthogroup	MHP_168L_proteins	MHP_Ue273_proteins
OG0000565	WP_014579797.1	WP_160606463.1
OG0000566	WP_228365427.1	WP_347952476.1
OG0000567	WP_228365425.1	WP_308507026.1
OG0000568	WP_011206097.1	WP_347952384.1
OG0000569	WP_014579700.1	WP_347952408.1
OG0000570	WP_014579701.1	WP_347952409.1
OG0000571	WP_014579702.1	WP_011205986.1
OG0000572	WP_014579705.1	WP_347952411.1
OG0000573	WP_014579759.1	WP_020835676.1
OG0000574	WP_014579714.1	WP_014579714.1
OG0000575	WP_014579697.1	WP_011284002.1
OG0000576	WP_014579765.1	WP_011290145.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_016340237.1	WP_146379677.1
OG0000579	WP_016340210.1	WP_347952467.1
OG0000580	WP_228365392.1	WP_041361798.1
OG0000581	WP_014579782.1	WP_347952464.1
OG0000582	WP_228365416.1	WP_347952410.1
OG0000583	WP_014579761.1	WP_347952451.1
OG0000585	WP_044278005.1	WP_148285449.1
OG0000586	WP_228365421.1	WP_228366131.1
OG0000587	WP_269076332.1	WP_011284111.1
OG0000588	WP_014579766.1	WP_347952445.1
OG0000591	WP_258556645.1	WP_258555396.1
OG0000592	WP_014579909.1	WP_347952251.1
OG0000593	WP_014580028.1	WP_347952326.1
OG0000594	WP_011284003.1	WP_347952407.1
OG0000596	WP_014579752.1	WP_014579752.1
OG0000598	WP_020835684.1	WP_347952458.1
OG0000599	WP_014579750.1	WP_011206170.1
OG0000601	WP_014579787.1	WP_347952472.1
OG0000602	WP_016340222.1	WP_347952206.1
OG0000604	WP_258555242.1	WP_258555242.1
OG0000606	WP_014579783.1	WP_347952466.1
OG0000609	WP_158520147.1	WP_220190677.1
OG0000610	WP_258556638.1	WP_269076320.1
OG0000612	WP_044284632.1	WP_347952459.1
