Orthogroup	MHP_TB1_genes	MHP_MHP682_genes
OG0000549	B5M19_RS00585	DR097_RS04765
OG0000550	B5M19_RS04055	DR097_RS00615
OG0000551	B5M19_RS01275	DR097_RS01310
OG0000552	B5M19_RS01550	DR097_RS01380
OG0000553	B5M19_RS00885	DR097_RS04650
OG0000554	B5M19_RS02655	DR097_RS02160
OG0000556	B5M19_RS02885, B5M19_RS02255	DR097_RS04700
OG0000557	B5M19_RS02615	DR097_RS00355
OG0000558	B5M19_RS03655	DR097_RS00385
OG0000559	B5M19_RS02075	DR097_RS01855
OG0000560	B5M19_RS00635	DR097_RS02550
OG0000561	B5M19_RS02205	DR097_RS00515
OG0000562	B5M19_RS00640	DR097_RS02545
OG0000563	B5M19_RS00625	DR097_RS02565
OG0000564	B5M19_RS03930	DR097_RS03805
OG0000565	B5M19_RS00685	DR097_RS02490
OG0000566	B5M19_RS00675	DR097_RS02505
OG0000567	B5M19_RS00650	DR097_RS02530
OG0000568	B5M19_RS01860	DR097_RS01135
OG0000569	B5M19_RS03665	DR097_RS00380
OG0000570	B5M19_RS02635	DR097_RS04520
OG0000571	B5M19_RS02630	DR097_RS00370
OG0000572	B5M19_RS02610	DR097_RS00350
OG0000573	B5M19_RS02070	DR097_RS01860
OG0000575	B5M19_RS03670	DR097_RS00395
OG0000576	B5M19_RS02030	DR097_RS01905
OG0000577	B5M19_RS00910	DR097_RS01540
OG0000578	B5M19_RS00890	DR097_RS01520
OG0000579	B5M19_RS00615	DR097_RS03415
OG0000580	B5M19_RS02550	DR097_RS04150
OG0000581	B5M19_RS00600	DR097_RS03400
OG0000582	B5M19_RS04400	DR097_RS04510
OG0000583	B5M19_RS02060	DR097_RS01870
OG0000584	B5M19_RS02310	DR097_RS02035
OG0000585	B5M19_RS02965	DR097_RS02705
OG0000590	B5M19_RS02875	DR097_RS02025
OG0000591	B5M19_RS04575	DR097_RS00880
OG0000592	B5M19_RS04115	DR097_RS01550
OG0000593	B5M19_RS00380	DR097_RS00550
OG0000594	B5M19_RS03650	DR097_RS00390
OG0000600	B5M19_RS02305	DR097_RS02040
OG0000601	B5M19_RS00630	DR097_RS02555
OG0000603	B5M19_RS02285	DR097_RS02045
OG0000604	B5M19_RS04585	DR097_RS04140
OG0000605	B5M19_RS02280	DR097_RS02050
OG0000606	B5M19_RS00605	DR097_RS03405
OG0000615	B5M19_RS00880	DR097_RS01510
OG0000616	B5M19_RS02890	DR097_RS02065
OG0000619	B5M19_RS00610	DR097_RS03410
OG0000621	B5M19_RS04570	DR097_RS04020
OG0000632	B5M19_RS04325	DR097_RS04945
