Orthogroup	MHP_TB1_genes	MHP_1257_genes
OG0000487	B5M19_RS00830	ABKJ22_RS01980
OG0000488	B5M19_RS02770	ABKJ22_RS02020
OG0000489	B5M19_RS01885	ABKJ22_RS00050
OG0000490	B5M19_RS01945	ABKJ22_RS03495
OG0000491	B5M19_RS01225	ABKJ22_RS01365
OG0000492	B5M19_RS04140	ABKJ22_RS01440
OG0000493	B5M19_RS02430	ABKJ22_RS00580
OG0000494	B5M19_RS03075	ABKJ22_RS01060
OG0000495	B5M19_RS01430	ABKJ22_RS02780
OG0000497	B5M19_RS01445	ABKJ22_RS02765
OG0000498	B5M19_RS02495	ABKJ22_RS02675
OG0000499	B5M19_RS00870	ABKJ22_RS02640
OG0000500	B5M19_RS00750	ABKJ22_RS01905
OG0000501	B5M19_RS01470	ABKJ22_RS02970
OG0000502	B5M19_RS02350	ABKJ22_RS01215
OG0000503	B5M19_RS04250	ABKJ22_RS00940
OG0000504	B5M19_RS01650	ABKJ22_RS00805
OG0000505	B5M19_RS03420	ABKJ22_RS00755
OG0000506	B5M19_RS03410	ABKJ22_RS00740
OG0000507	B5M19_RS03375	ABKJ22_RS00705
OG0000508	B5M19_RS00170	ABKJ22_RS00245
OG0000509	B5M19_RS00205	ABKJ22_RS00280
OG0000510	B5M19_RS00215	ABKJ22_RS00290
OG0000511	B5M19_RS03685	ABKJ22_RS00435
OG0000512	B5M19_RS01015	ABKJ22_RS02500
OG0000513	B5M19_RS00480	ABKJ22_RS03310
OG0000514	B5M19_RS01405	ABKJ22_RS02805
OG0000516	B5M19_RS00835	ABKJ22_RS01985
OG0000517	B5M19_RS01870	ABKJ22_RS00065
OG0000518	B5M19_RS01515	ABKJ22_RS03010
OG0000519	B5M19_RS01760	ABKJ22_RS00915
OG0000520	B5M19_RS01635	ABKJ22_RS00790
OG0000521	B5M19_RS00185	ABKJ22_RS00260
OG0000522	B5M19_RS00220	ABKJ22_RS00295
OG0000523	B5M19_RS00545	ABKJ22_RS03245
OG0000524	B5M19_RS00900	ABKJ22_RS02615
OG0000525	B5M19_RS00575	ABKJ22_RS03210
OG0000526	B5M19_RS04070	ABKJ22_RS01820
OG0000527	B5M19_RS04065	ABKJ22_RS01745
OG0000528	B5M19_RS00840	ABKJ22_RS01990
OG0000529	B5M19_RS02935	ABKJ22_RS02170
OG0000530	B5M19_RS02705	ABKJ22_RS02300
OG0000531	B5M19_RS01175	ABKJ22_RS01415
OG0000532	B5M19_RS04500	ABKJ22_RS01625
OG0000533	B5M19_RS04515	ABKJ22_RS01100
OG0000535	B5M19_RS04610	ABKJ22_RS00045
OG0000536	B5M19_RS00365	ABKJ22_RS03430
OG0000537	B5M19_RS01820	ABKJ22_RS00975
OG0000538	B5M19_RS04340	ABKJ22_RS01140
OG0000539	B5M19_RS00130	ABKJ22_RS00210
OG0000540	B5M19_RS00930	ABKJ22_RS02585
OG0000541	B5M19_RS00855	ABKJ22_RS02655
OG0000542	B5M19_RS00275	ABKJ22_RS00345
OG0000544	B5M19_RS04410	ABKJ22_RS01265
OG0000545	B5M19_RS00645	ABKJ22_RS01810
OG0000546	B5M19_RS02545	ABKJ22_RS02730
OG0000547	B5M19_RS01355	ABKJ22_RS02860
OG0000548	B5M19_RS03295	ABKJ22_RS01595
OG0000549	B5M19_RS00585	ABKJ22_RS03200
OG0000550	B5M19_RS04055	ABKJ22_RS03345
OG0000551	B5M19_RS01275	ABKJ22_RS02925
OG0000552	B5M19_RS01550	ABKJ22_RS03045
OG0000553	B5M19_RS00885	ABKJ22_RS02630
OG0000554	B5M19_RS02655	ABKJ22_RS02345
OG0000557	B5M19_RS02615	ABKJ22_RS01275
OG0000558	B5M19_RS03655	ABKJ22_RS01245
OG0000559	B5M19_RS02075	ABKJ22_RS01695
OG0000560	B5M19_RS00635	ABKJ22_RS01795
OG0000561	B5M19_RS02205	ABKJ22_RS01125
OG0000562	B5M19_RS00640	ABKJ22_RS01800
OG0000563	B5M19_RS00625	ABKJ22_RS01785
OG0000564	B5M19_RS03930	ABKJ22_RS01305
OG0000565	B5M19_RS00685	ABKJ22_RS01850
OG0000566	B5M19_RS00675	ABKJ22_RS01840
OG0000567	B5M19_RS00650	ABKJ22_RS01815
OG0000568	B5M19_RS01860	ABKJ22_RS01015
OG0000569	B5M19_RS03665	ABKJ22_RS01250
OG0000570	B5M19_RS02635	ABKJ22_RS01255
OG0000571	B5M19_RS02630	ABKJ22_RS01260
OG0000572	B5M19_RS02610	ABKJ22_RS01280
OG0000573	B5M19_RS02070	ABKJ22_RS01690
OG0000574	B5M19_RS02570	ABKJ22_RS01325
OG0000575	B5M19_RS03670	ABKJ22_RS01235
OG0000576	B5M19_RS02030	ABKJ22_RS01650
OG0000577	B5M19_RS00910	ABKJ22_RS02605
OG0000578	B5M19_RS00890	ABKJ22_RS02625
OG0000579	B5M19_RS00615	ABKJ22_RS01760
OG0000580	B5M19_RS02550	ABKJ22_RS02735
OG0000581	B5M19_RS00600	ABKJ22_RS01750
OG0000582	B5M19_RS04400	ABKJ22_RS01270
OG0000583	B5M19_RS02060	ABKJ22_RS01680
OG0000585	B5M19_RS02965	ABKJ22_RS02200
OG0000588	B5M19_RS02025	ABKJ22_RS01640
OG0000591	B5M19_RS04575	ABKJ22_RS01870
OG0000592	B5M19_RS04115	ABKJ22_RS02595
OG0000593	B5M19_RS00380	ABKJ22_RS03410
OG0000594	B5M19_RS03650	ABKJ22_RS01240
OG0000601	B5M19_RS00630	ABKJ22_RS01790
OG0000604	B5M19_RS04585	ABKJ22_RS02740
OG0000632	B5M19_RS04325	ABKJ22_RS01725
