Orthogroup	MHP_TB1_genes	MHP_F72C_genes
OG0000526	B5M19_RS04070	EHI52_RS03800
OG0000527	B5M19_RS04065	EHI52_RS02185
OG0000528	B5M19_RS00840	EHI52_RS01920
OG0000529	B5M19_RS02935	EHI52_RS02250
OG0000530	B5M19_RS02705	EHI52_RS02355
OG0000531	B5M19_RS01175	EHI52_RS01460
OG0000532	B5M19_RS04500	EHI52_RS01685
OG0000535	B5M19_RS04610	EHI52_RS00045
OG0000536	B5M19_RS00365	EHI52_RS03545
OG0000537	B5M19_RS01820	EHI52_RS00725
OG0000538	B5M19_RS04340	EHI52_RS01195
OG0000539	B5M19_RS00130	EHI52_RS00220
OG0000540	B5M19_RS00930	EHI52_RS02635
OG0000541	B5M19_RS00855	EHI52_RS02710
OG0000542	B5M19_RS00275	EHI52_RS00365
OG0000544	B5M19_RS04410	EHI52_RS01315
OG0000546	B5M19_RS02545	EHI52_RS02780
OG0000547	B5M19_RS01355	EHI52_RS02900
OG0000548	B5M19_RS03295	EHI52_RS01650
OG0000549	B5M19_RS00585	EHI52_RS03335
OG0000550	B5M19_RS04055	EHI52_RS03460
OG0000551	B5M19_RS01275	EHI52_RS02975
OG0000553	B5M19_RS00885	EHI52_RS02680
OG0000554	B5M19_RS02655	EHI52_RS02400
OG0000555	B5M19_RS01350	EHI52_RS03850
OG0000557	B5M19_RS02615	EHI52_RS01325
OG0000558	B5M19_RS03655	EHI52_RS01295
OG0000559	B5M19_RS02075	EHI52_RS01755
OG0000560	B5M19_RS00635	EHI52_RS02125
OG0000561	B5M19_RS02205	EHI52_RS01180
OG0000562	B5M19_RS00640	EHI52_RS02120
OG0000563	B5M19_RS00625	EHI52_RS02135
OG0000564	B5M19_RS03930	EHI52_RS03770
OG0000565	B5M19_RS00685	EHI52_RS02070
OG0000566	B5M19_RS00675	EHI52_RS02080
OG0000567	B5M19_RS00650	EHI52_RS02105
OG0000568	B5M19_RS01860	EHI52_RS00685
OG0000569	B5M19_RS03665	EHI52_RS01300
OG0000570	B5M19_RS02635	EHI52_RS01305
OG0000571	B5M19_RS02630	EHI52_RS01310
OG0000572	B5M19_RS02610	EHI52_RS01330
OG0000573	B5M19_RS02070	EHI52_RS01750
OG0000574	B5M19_RS02570	EHI52_RS01370
OG0000575	B5M19_RS03670	EHI52_RS01285
OG0000576	B5M19_RS02030	EHI52_RS01710
OG0000577	B5M19_RS00910	EHI52_RS02655
OG0000578	B5M19_RS00890	EHI52_RS02675
OG0000579	B5M19_RS00615	EHI52_RS02170
OG0000580	B5M19_RS02550	EHI52_RS03845
OG0000581	B5M19_RS00600	EHI52_RS02175
OG0000582	B5M19_RS04400	EHI52_RS03765
OG0000583	B5M19_RS02060	EHI52_RS01740
OG0000585	B5M19_RS02965	EHI52_RS02220
OG0000588	B5M19_RS02025	EHI52_RS01700
OG0000591	B5M19_RS04575	EHI52_RS02045
OG0000592	B5M19_RS04115	EHI52_RS02645
OG0000593	B5M19_RS00380	EHI52_RS03525
OG0000594	B5M19_RS03650	EHI52_RS01290
OG0000596	B5M19_RS02110	EHI52_RS01785
OG0000598	B5M19_RS02115	EHI52_RS01790
OG0000599	B5M19_RS02120	EHI52_RS01795
OG0000601	B5M19_RS00630	EHI52_RS02130
OG0000604	B5M19_RS04585	EHI52_RS03890
OG0000606	B5M19_RS00605	EHI52_RS02160
OG0000612	B5M19_RS04320	EHI52_RS01800
OG0000615	B5M19_RS00880	EHI52_RS02685
OG0000626	B5M19_RS03905	EHI52_RS03695
