Orthogroup	MHP_112B_genes	MHP_NCTC10127_genes
OG0000522	NBX26_RS00295	EXC50_RS00310
OG0000523	NBX26_RS03560	EXC50_RS02205
OG0000525	NBX26_RS03520	EXC50_RS02170
OG0000526	NBX26_RS02270	EXC50_RS04005
OG0000527	NBX26_RS02325	EXC50_RS00720
OG0000528	NBX26_RS02085	EXC50_RS00960
OG0000530	NBX26_RS02495	EXC50_RS01200
OG0000532	NBX26_RS01750	EXC50_RS00575
OG0000533	NBX26_RS00600	EXC50_RS03490
OG0000534	NBX26_RS00375	EXC50_RS00395
OG0000535	NBX26_RS00045	EXC50_RS00045
OG0000536	NBX26_RS03740	EXC50_RS02385
OG0000540	NBX26_RS02805	EXC50_RS01485
OG0000542	NBX26_RS00345	EXC50_RS00365
OG0000543	NBX26_RS01930	EXC50_RS00505
OG0000544	NBX26_RS01380	EXC50_RS02835
OG0000545	NBX26_RS02280	EXC50_RS00770
OG0000546	NBX26_RS02960	EXC50_RS01630
OG0000551	NBX26_RS03155	EXC50_RS01825
OG0000552	NBX26_RS03320	EXC50_RS01980
OG0000553	NBX26_RS02865	EXC50_RS01530
OG0000554	NBX26_RS02545	EXC50_RS01245
OG0000555	NBX26_RS03090	EXC50_RS04055
OG0000556	NBX26_RS01975	EXC50_RS03790, EXC50_RS03775
OG0000557	NBX26_RS01390	EXC50_RS02825
OG0000558	NBX26_RS01360	EXC50_RS02855
OG0000559	NBX26_RS01830	EXC50_RS00655
OG0000560	NBX26_RS02300	EXC50_RS00760
OG0000561	NBX26_RS01245	EXC50_RS02980
OG0000562	NBX26_RS02290	EXC50_RS00765
OG0000563	NBX26_RS02305	EXC50_RS00750
OG0000564	NBX26_RS01410	EXC50_RS04095
OG0000565	NBX26_RS02225	EXC50_RS00810
OG0000566	NBX26_RS02245	EXC50_RS00800
OG0000567	NBX26_RS02275	EXC50_RS00775
OG0000568	NBX26_RS00690	EXC50_RS03400
OG0000569	NBX26_RS01365	EXC50_RS02850
OG0000570	NBX26_RS01370	EXC50_RS02845
OG0000571	NBX26_RS01375	EXC50_RS02840
OG0000572	NBX26_RS01395	EXC50_RS02820
OG0000573	NBX26_RS01825	EXC50_RS00650
OG0000574	NBX26_RS01430	EXC50_RS02780
OG0000575	NBX26_RS01355	EXC50_RS02865
OG0000576	NBX26_RS01780	EXC50_RS00610
OG0000577	NBX26_RS02830	EXC50_RS01505
OG0000578	NBX26_RS02860	EXC50_RS01525
OG0000579	NBX26_RS02315	EXC50_RS00740
OG0000580	NBX26_RS02965	EXC50_RS04050
OG0000581	NBX26_RS02320	EXC50_RS00725
OG0000582	NBX26_RS01385	EXC50_RS04100
OG0000583	NBX26_RS01815	EXC50_RS00640
OG0000584	NBX26_RS01955	EXC50_RS03715, EXC50_RS03705, EXC50_RS03755
OG0000586	NBX26_RS01800	EXC50_RS00625
OG0000587	NBX26_RS02220	EXC50_RS03910
OG0000588	NBX26_RS01770	EXC50_RS00600
OG0000590	NBX26_RS01945	EXC50_RS03745
OG0000591	NBX26_RS02205	EXC50_RS03890
OG0000592	NBX26_RS02820	EXC50_RS01495
OG0000593	NBX26_RS03725	EXC50_RS02370
OG0000596	NBX26_RS01865	EXC50_RS00685
OG0000598	NBX26_RS01870	EXC50_RS00690
OG0000599	NBX26_RS01875	EXC50_RS00695
OG0000600	NBX26_RS01960	EXC50_RS02480, EXC50_RS03760
OG0000602	NBX26_RS02060	EXC50_RS00980
OG0000603	NBX26_RS01965	EXC50_RS03765
OG0000604	NBX26_RS02975	EXC50_RS04240
OG0000605	NBX26_RS01970	EXC50_RS02495, EXC50_RS02490, EXC50_RS03770
OG0000607	NBX26_RS01340	EXC50_RS04105
OG0000608	NBX26_RS02285	EXC50_RS04000
OG0000609	NBX26_RS02260	EXC50_RS03905
OG0000610	NBX26_RS00675	EXC50_RS04245
OG0000611	NBX26_RS00100	EXC50_RS00090
OG0000612	NBX26_RS01880	EXC50_RS03995
OG0000616	NBX26_RS01980	EXC50_RS03795
