Orthogroup	MHP_112B_genes	MHP_LH_genes
OG0000523	NBX26_RS03560	KUD10_RS03430
OG0000525	NBX26_RS03520	KUD10_RS03395
OG0000526	NBX26_RS02270	KUD10_RS01895
OG0000527	NBX26_RS02325	KUD10_RS01830
OG0000528	NBX26_RS02085	KUD10_RS02065
OG0000530	NBX26_RS02495	KUD10_RS02410
OG0000532	NBX26_RS01750	KUD10_RS01685
OG0000533	NBX26_RS00600	KUD10_RS00605
OG0000534	NBX26_RS00375	KUD10_RS00380
OG0000535	NBX26_RS00045	KUD10_RS00045
OG0000536	NBX26_RS03740	KUD10_RS03615
OG0000540	NBX26_RS02805	KUD10_RS02725
OG0000542	NBX26_RS00345	KUD10_RS00350
OG0000543	NBX26_RS01930	KUD10_RS01215
OG0000544	NBX26_RS01380	KUD10_RS01325
OG0000545	NBX26_RS02280	KUD10_RS01885
OG0000546	NBX26_RS02960	KUD10_RS02865
OG0000552	NBX26_RS03320	KUD10_RS03210
OG0000553	NBX26_RS02865	KUD10_RS02770
OG0000554	NBX26_RS02545	KUD10_RS02455
OG0000555	NBX26_RS03090	KUD10_RS02990
OG0000556	NBX26_RS01975	KUD10_RS01170
OG0000557	NBX26_RS01390	KUD10_RS01335
OG0000558	NBX26_RS01360	KUD10_RS01305
OG0000559	NBX26_RS01830	KUD10_RS01760
OG0000560	NBX26_RS02300	KUD10_RS01875
OG0000561	NBX26_RS01245	KUD10_RS01105
OG0000562	NBX26_RS02290	KUD10_RS01880
OG0000563	NBX26_RS02305	KUD10_RS01865
OG0000564	NBX26_RS01410	KUD10_RS01360
OG0000565	NBX26_RS02225	KUD10_RS01930
OG0000566	NBX26_RS02245	KUD10_RS01915
OG0000567	NBX26_RS02275	KUD10_RS01890
OG0000568	NBX26_RS00690	KUD10_RS00680
OG0000569	NBX26_RS01365	KUD10_RS01310
OG0000570	NBX26_RS01370	KUD10_RS01315
OG0000571	NBX26_RS01375	KUD10_RS01320
OG0000572	NBX26_RS01395	KUD10_RS01340
OG0000573	NBX26_RS01825	KUD10_RS01755
OG0000574	NBX26_RS01430	KUD10_RS01380
OG0000575	NBX26_RS01355	KUD10_RS01295
OG0000576	NBX26_RS01780	KUD10_RS01715
OG0000577	NBX26_RS02830	KUD10_RS02745
OG0000578	NBX26_RS02860	KUD10_RS02765
OG0000579	NBX26_RS02315	KUD10_RS01855
OG0000580	NBX26_RS02965	KUD10_RS02870
OG0000581	NBX26_RS02320	KUD10_RS01835
OG0000582	NBX26_RS01385	KUD10_RS01330
OG0000583	NBX26_RS01815	KUD10_RS01745
OG0000584	NBX26_RS01955	KUD10_RS01190
OG0000585	NBX26_RS02360	KUD10_RS02275
OG0000586	NBX26_RS01800	KUD10_RS01730
OG0000587	NBX26_RS02220	KUD10_RS03745
OG0000588	NBX26_RS01770	KUD10_RS01705
OG0000589	NBX26_RS01005	KUD10_RS02220
OG0000590	NBX26_RS01945	KUD10_RS01200
OG0000591	NBX26_RS02205	KUD10_RS03705
OG0000592	NBX26_RS02820	KUD10_RS02735
OG0000593	NBX26_RS03725	KUD10_RS03595
OG0000595	NBX26_RS03175	KUD10_RS03070
OG0000596	NBX26_RS01865	KUD10_RS01795
OG0000597	NBX26_RS03170	KUD10_RS03065
OG0000598	NBX26_RS01870	KUD10_RS01800
OG0000599	NBX26_RS01875	KUD10_RS01805
OG0000600	NBX26_RS01960	KUD10_RS01185
OG0000602	NBX26_RS02060	KUD10_RS02090
OG0000603	NBX26_RS01965	KUD10_RS01180
OG0000604	NBX26_RS02975	KUD10_RS03715
OG0000605	NBX26_RS01970	KUD10_RS01175
OG0000607	NBX26_RS01340	KUD10_RS01285
OG0000609	NBX26_RS02260	KUD10_RS01905
OG0000611	NBX26_RS00100	KUD10_RS00090
OG0000612	NBX26_RS01880	KUD10_RS03695
OG0000613	NBX26_RS02210	KUD10_RS01945
OG0000614	NBX26_RS00970	KUD10_RS02240
