Orthogroup	MHP_112B_genes	MHP_Ue273_genes
OG0000525	NBX26_RS03520	VQY17_RS03325
OG0000526	NBX26_RS02270	VQY17_RS01905
OG0000527	NBX26_RS02325	VQY17_RS01825
OG0000528	NBX26_RS02085	VQY17_RS02090
OG0000530	NBX26_RS02495	VQY17_RS02350
OG0000532	NBX26_RS01750	VQY17_RS01660
OG0000533	NBX26_RS00600	VQY17_RS00600
OG0000534	NBX26_RS00375	VQY17_RS00385
OG0000535	NBX26_RS00045	VQY17_RS00045
OG0000536	NBX26_RS03740	VQY17_RS03545
OG0000540	NBX26_RS02805	VQY17_RS02630
OG0000542	NBX26_RS00345	VQY17_RS00355
OG0000543	NBX26_RS01930	VQY17_RS01600
OG0000544	NBX26_RS01380	VQY17_RS01275
OG0000545	NBX26_RS02280	VQY17_RS01895
OG0000546	NBX26_RS02960	VQY17_RS02765
OG0000552	NBX26_RS03320	VQY17_RS03130
OG0000553	NBX26_RS02865	VQY17_RS02675
OG0000554	NBX26_RS02545	VQY17_RS02395
OG0000557	NBX26_RS01390	VQY17_RS01285
OG0000558	NBX26_RS01360	VQY17_RS01255
OG0000559	NBX26_RS01830	VQY17_RS01745
OG0000560	NBX26_RS02300	VQY17_RS01880
OG0000561	NBX26_RS01245	VQY17_RS01140
OG0000562	NBX26_RS02290	VQY17_RS01885
OG0000563	NBX26_RS02305	VQY17_RS01870
OG0000564	NBX26_RS01410	VQY17_RS01305
OG0000565	NBX26_RS02225	VQY17_RS01945
OG0000566	NBX26_RS02245	VQY17_RS01925
OG0000567	NBX26_RS02275	VQY17_RS01900
OG0000568	NBX26_RS00690	VQY17_RS00685
OG0000569	NBX26_RS01365	VQY17_RS01260
OG0000570	NBX26_RS01370	VQY17_RS01265
OG0000571	NBX26_RS01375	VQY17_RS01270
OG0000572	NBX26_RS01395	VQY17_RS01290
OG0000573	NBX26_RS01825	VQY17_RS01740
OG0000574	NBX26_RS01430	VQY17_RS01325
OG0000575	NBX26_RS01355	VQY17_RS01245
OG0000576	NBX26_RS01780	VQY17_RS01690
OG0000577	NBX26_RS02830	VQY17_RS02650
OG0000578	NBX26_RS02860	VQY17_RS02670
OG0000579	NBX26_RS02315	VQY17_RS01845
OG0000580	NBX26_RS02965	VQY17_RS02770
OG0000581	NBX26_RS02320	VQY17_RS01830
OG0000582	NBX26_RS01385	VQY17_RS01280
OG0000583	NBX26_RS01815	VQY17_RS01730
OG0000585	NBX26_RS02360	VQY17_RS02215
OG0000586	NBX26_RS01800	VQY17_RS01705
OG0000587	NBX26_RS02220	VQY17_RS01950
OG0000588	NBX26_RS01770	VQY17_RS01680
OG0000591	NBX26_RS02205	VQY17_RS01970
OG0000592	NBX26_RS02820	VQY17_RS02640
OG0000593	NBX26_RS03725	VQY17_RS03530
OG0000596	NBX26_RS01865	VQY17_RS01785
OG0000598	NBX26_RS01870	VQY17_RS01790
OG0000599	NBX26_RS01875	VQY17_RS01795
OG0000602	NBX26_RS02060	VQY17_RS02115
OG0000604	NBX26_RS02975	VQY17_RS02780
OG0000608	NBX26_RS02285	VQY17_RS01890
OG0000609	NBX26_RS02260	VQY17_RS01915
OG0000610	NBX26_RS00675	VQY17_RS00675
OG0000611	NBX26_RS00100	VQY17_RS00090
OG0000612	NBX26_RS01880	VQY17_RS01800
OG0000613	NBX26_RS02210	VQY17_RS01965
OG0000622	NBX26_RS00955	VQY17_RS00950
OG0000623	NBX26_RS01890, NBX26_RS02345	VQY17_RS01720
OG0000649	NBX26_RS01505	VQY17_RS01395
