Orthogroup	MHP_7422_protein	MHP_MHP650_protein
OG0000595	WP_020835626.1	WP_014579703.1
OG0000596	WP_041361605.1	WP_094521768.1
OG0000597	WP_020835695.1	WP_044284638.1
OG0000598	WP_011290090.1	WP_160601089.1
OG0000599	WP_011284018.1	WP_160600856.1
OG0000600	WP_020835602.1	WP_160601095.1
OG0000601	WP_020835705.1	WP_160600894.1
OG0000602	WP_228365393.1	WP_258556624.1
OG0000603	WP_236607958.1	WP_308704764.1
OG0000604	WP_236607971.1	WP_258556671.1
OG0000605	WP_020835737.1	WP_160601263.1
OG0000607	WP_020835557.1	WP_160601156.1
OG0000609	WP_020835689.1	WP_258556663.1
OG0000610	WP_020835690.1	WP_160601048.1
OG0000611	WP_020835691.1	WP_160601051.1
OG0000612	WP_011290298.1	WP_160601046.1
OG0000613	WP_236607953.1	WP_258556623.1
OG0000614	WP_020835810.1	WP_011290300.1
OG0000615	WP_258555396.1	WP_258556645.1
OG0000617	WP_258555257.1	WP_011284111.1
OG0000618	WP_020835672.1	WP_146379577.1
OG0000619	WP_002557988.1	WP_160601265.1
OG0000620	WP_020835743.1	WP_011284157.1
OG0000621	WP_011290237.1	WP_160585712.1
OG0000622	WP_148285449.1	WP_258556676.1
OG0000623	WP_051129928.1	WP_220200875.1
OG0000625	WP_002557992.1	WP_002557992.1
OG0000627	WP_020835692.1	WP_011206176.1
OG0000628	WP_225972978.1	WP_233688441.1
OG0000629	WP_258555242.1	WP_258555242.1
OG0000630	WP_020835742.1	WP_160585819.1
OG0000632	WP_011290238.1	WP_088172525.1
OG0000633	WP_014579686.1	WP_160584945.1
OG0000634	WP_158209054.1	WP_158209054.1
OG0000635	WP_020835536.1	WP_094521655.1, WP_220200881.1
OG0000636	WP_014579683.1	WP_135618745.1
OG0000638	WP_020835660.1	WP_160601271.1
OG0000641	WP_269076320.1	WP_258556638.1
OG0000642	WP_020835697.1	WP_146379617.1
OG0000647	WP_228366119.1	WP_258556690.1
OG0000648	WP_041361519.1	WP_094521537.1
OG0000651	WP_236607962.1	WP_258556691.1
OG0000654	WP_143826160.1	WP_143826160.1
OG0000655	WP_020835740.1	WP_094521688.1
OG0000656	WP_236607948.1	WP_233688423.1
OG0000657	WP_225972966.1	WP_258556644.1
OG0000686	WP_236607972.1	WP_220200878.1
