Orthogroup	MHP_MHP694_genes	MHP_F72C_genes
OG0000547	DR099_RS01055	EHI52_RS02900
OG0000548	DR099_RS01365	EHI52_RS01650
OG0000549	DR099_RS04525	EHI52_RS03335
OG0000550	DR099_RS02300	EHI52_RS03460
OG0000551	DR099_RS03080	EHI52_RS02975
OG0000552	DR099_RS02030	EHI52_RS03160
OG0000553	DR099_RS04285	EHI52_RS02680
OG0000554	DR099_RS02150	EHI52_RS02400
OG0000555	DR099_RS03825	EHI52_RS03850
OG0000557	DR099_RS00870	EHI52_RS01325
OG0000558	DR099_RS03300	EHI52_RS01295
OG0000559	DR099_RS02440	EHI52_RS01755
OG0000560	DR099_RS00300	EHI52_RS02125
OG0000561	DR099_RS02325	EHI52_RS01180
OG0000562	DR099_RS00305	EHI52_RS02120
OG0000563	DR099_RS00290	EHI52_RS02135
OG0000564	DR099_RS00895	EHI52_RS03770
OG0000565	DR099_RS00360	EHI52_RS02070
OG0000566	DR099_RS00345	EHI52_RS02080
OG0000567	DR099_RS00320	EHI52_RS02105
OG0000568	DR099_RS01665	EHI52_RS00685
OG0000569	DR099_RS03305	EHI52_RS01300
OG0000570	DR099_RS04580	EHI52_RS01305
OG0000571	DR099_RS00855	EHI52_RS01310
OG0000572	DR099_RS00875	EHI52_RS01330
OG0000573	DR099_RS02445	EHI52_RS01750
OG0000574	DR099_RS00915	EHI52_RS01370
OG0000575	DR099_RS03290	EHI52_RS01285
OG0000576	DR099_RS02490	EHI52_RS01710
OG0000577	DR099_RS00130	EHI52_RS02655
OG0000578	DR099_RS00110	EHI52_RS02675
OG0000579	DR099_RS03430	EHI52_RS02170
OG0000580	DR099_RS01175	EHI52_RS03845
OG0000581	DR099_RS03425	EHI52_RS02175
OG0000582	DR099_RS04340	EHI52_RS03765
OG0000583	DR099_RS02455	EHI52_RS01740
OG0000585	DR099_RS03495	EHI52_RS02220
OG0000586	DR099_RS02470	EHI52_RS01725
OG0000587	DR099_RS03720	EHI52_RS03915
OG0000588	DR099_RS02495	EHI52_RS01700
OG0000591	DR099_RS03730	EHI52_RS02045
OG0000592	DR099_RS00140	EHI52_RS02645
OG0000593	DR099_RS03205	EHI52_RS03525
OG0000594	DR099_RS03295	EHI52_RS01290
OG0000595	DR099_RS04595, DR099_RS04555	EHI52_RS03000
OG0000596	DR099_RS04235, DR099_RS04245	EHI52_RS01785
OG0000597	DR099_RS03065	EHI52_RS02995
OG0000598	DR099_RS03395	EHI52_RS01790
OG0000599	DR099_RS03400	EHI52_RS01795
OG0000601	DR099_RS00295	EHI52_RS02130
OG0000602	DR099_RS01255	EHI52_RS01900
OG0000604	DR099_RS03835	EHI52_RS03890
OG0000607	DR099_RS03280	EHI52_RS03630
OG0000608	DR099_RS00310	EHI52_RS02115
OG0000609	DR099_RS00330	EHI52_RS03640
OG0000611	DR099_RS03175	EHI52_RS00090
OG0000612	DR099_RS03405	EHI52_RS01800
OG0000615	DR099_RS00100	EHI52_RS02685
OG0000618	DR099_RS02575	EHI52_RS03300
OG0000625	DR099_RS04665	EHI52_RS03920
OG0000633	DR099_RS04260	EHI52_RS03870
