Orthogroup	MHP_MHP696_proteins	MHP_J_proteins
OG0000553	WP_160587832.1	WP_011284246.1
OG0000554	WP_160585727.1	WP_044284664.1
OG0000555	WP_228366107.1	WP_011206393.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_160587995.1	WP_014579699.1
OG0000559	WP_011206161.1	WP_011206161.1
OG0000560	WP_011284100.1	WP_011284100.1
OG0000561	WP_160584672.1	WP_011206015.1
OG0000562	WP_146379618.1	WP_044284639.1
OG0000563	WP_160587877.1	WP_011284098.1
OG0000564	WP_308507055.1	WP_237697235.1
OG0000565	WP_011290181.1	WP_011284110.1
OG0000566	WP_258555256.1	WP_237697245.1
OG0000567	WP_258555255.1	WP_237697243.1
OG0000568	WP_044272325.1	WP_011206097.1
OG0000569	WP_160587997.1	WP_044284609.1
OG0000570	WP_160587999.1	WP_011284006.1
OG0000571	WP_135618664.1	WP_044284610.1
OG0000572	WP_160588001.1	WP_011284010.1
OG0000573	WP_135618777.1	WP_014579759.1
OG0000574	WP_011284018.1	WP_011284018.1
OG0000575	WP_014579697.1	WP_011284002.1
OG0000576	WP_160585066.1	WP_011284072.1
OG0000577	WP_011290300.1	WP_020835810.1
OG0000578	WP_041361678.1	WP_044284684.1
OG0000579	WP_160587875.1	WP_011284096.1
OG0000580	WP_258555240.1	WP_044284760.1
OG0000581	WP_094521657.1	WP_044284636.1
OG0000582	WP_233688696.1	WP_237697233.1
OG0000583	WP_011290150.1	WP_011284077.1
OG0000585	WP_160588364.1	WP_052259111.1
OG0000586	WP_044272424.1	WP_237697239.1
OG0000587	WP_258555257.1	WP_011284111.1
OG0000588	WP_243216079.1	WP_011284071.1
OG0000589	WP_220191121.1	WP_002557988.1
OG0000591	WP_160585604.1	WP_258556645.1
OG0000592	WP_160587824.1	WP_011284238.1
OG0000593	WP_160584886.1	WP_044284733.1
OG0000594	WP_160587992.1	WP_011284003.1
OG0000595	WP_160588352.1	WP_044284700.1
OG0000597	WP_220191129.1	WP_044284699.1
OG0000601	WP_160587878.1	WP_044284638.1
OG0000602	WP_160617491.1	WP_011284140.1
OG0000606	WP_160587871.1	WP_044284637.1
OG0000607	WP_160587988.1	WP_158209054.1
OG0000621	WP_220190676.1	WP_258555395.1
