Orthogroup	MHP_MHP699_protein	MHP_TB1_protein
OG0000586	WP_308506990.1	WP_228365425.1
OG0000587	WP_160585030.1	WP_014579794.1
OG0000588	WP_146379613.1	WP_014579796.1
OG0000589	WP_160585027.1	WP_014579797.1
OG0000590	WP_160585200.1	WP_228365382.1
OG0000591	WP_160585115.1	WP_014579914.1
OG0000592	WP_160585259.1	WP_014579922.1
OG0000593	WP_160585251.1	WP_011206475.1
OG0000594	WP_160584886.1	WP_014580028.1
OG0000595	WP_240536637.1	WP_252862183.1
OG0000596	WP_280996375.1	WP_252862181.1
OG0000597	WP_020835695.1	WP_014579787.1
OG0000598	WP_160584731.1	WP_011284003.1
OG0000599	WP_160584716.1	WP_014579714.1
OG0000600	WP_160585310.1	WP_252862204.1, WP_088764612.1
OG0000601	WP_160585026.1	WP_014579799.1
OG0000602	WP_225972995.1	WP_228365393.1
OG0000603	WP_240536353.1	WP_016340249.1
OG0000604	WP_280996618.1	WP_228365427.1
OG0000606	WP_160584941.1	WP_014580037.1
OG0000607	WP_160584947.1	WP_014579687.1
OG0000608	WP_160585054.1	WP_014579760.1
OG0000609	WP_228365424.1	WP_228365424.1
OG0000610	WP_160585288.1	WP_014579782.1
OG0000611	WP_160585282.1	WP_014579785.1
OG0000613	WP_258555826.1	WP_252862180.1
OG0000614	WP_011290300.1	WP_011290300.1
OG0000615	WP_258555396.1	WP_258556645.1
OG0000616	WP_280996643.1	WP_014579766.1
OG0000622	WP_220190718.1	WP_044278005.1
OG0000623	WP_192894277.1	WP_052293597.1
OG0000627	WP_160585286.1	WP_014579783.1
OG0000629	WP_258555422.1	WP_258555242.1
OG0000632	WP_088172525.1	WP_252862171.1
OG0000633	WP_160584945.1	WP_014579686.1
OG0000635	WP_135618734.1	WP_308506976.1
OG0000636	WP_135618745.1	WP_014579683.1
OG0000637	WP_258555521.1	WP_252862170.1
OG0000640	WP_280996633.1	WP_237697241.1
OG0000645	WP_308506993.1	WP_014579743.1
OG0000649	WP_160585284.1	WP_014579784.1
OG0000658	WP_179221224.1	WP_189220786.1
OG0000659	WP_011206358.1	WP_011206358.1
OG0000660	WP_160584939.1	WP_014580038.1
OG0000661	WP_220190676.1	WP_258555395.1
OG0000691	WP_280996793.1	WP_228365423.1
