Orthogroup	MHP_MHP699_protein	MHP_ES2_protein
OG0000583	WP_160585033.1	WP_135618808.1
OG0000584	WP_011284100.1	WP_011206182.1
OG0000585	WP_146379618.1	WP_135618812.1
OG0000586	WP_308506990.1	WP_240536393.1
OG0000587	WP_160585030.1	WP_135618816.1
OG0000588	WP_146379613.1	WP_135618818.1
OG0000589	WP_160585027.1	WP_135618820.1
OG0000590	WP_160585200.1	WP_237697200.1
OG0000591	WP_160585115.1	WP_044284684.1
OG0000592	WP_160585259.1	WP_135618988.1
OG0000593	WP_160585251.1	WP_135619129.1
OG0000594	WP_160584886.1	WP_135619160.1
OG0000595	WP_240536637.1	WP_240536368.1
OG0000596	WP_280996375.1	WP_240536375.1
OG0000597	WP_020835695.1	WP_135618810.1
OG0000598	WP_160584731.1	WP_135618656.1
OG0000599	WP_160584716.1	WP_014579714.1
OG0000600	WP_160585310.1	WP_135618627.1
OG0000601	WP_160585026.1	WP_135618822.1
OG0000602	WP_225972995.1	WP_225972995.1
OG0000603	WP_240536353.1	WP_240536353.1
OG0000604	WP_280996618.1	WP_094521668.1
OG0000605	WP_160585311.1	WP_135618870.1
OG0000606	WP_160584941.1	WP_135618743.1
OG0000607	WP_160584947.1	WP_135618749.1, WP_135618910.1
OG0000608	WP_160585054.1	WP_135618775.1
OG0000609	WP_228365424.1	WP_240536391.1
OG0000610	WP_160585288.1	WP_135618801.1
OG0000611	WP_160585282.1	WP_135618805.1
OG0000613	WP_258555826.1	WP_240536345.1
OG0000614	WP_011290300.1	WP_011290300.1
OG0000615	WP_258555396.1	WP_276310469.1
OG0000616	WP_280996643.1	WP_228729172.1
OG0000617	WP_258555257.1	WP_318026027.1
OG0000618	WP_160585060.1	WP_044284628.1
OG0000619	WP_160585313.1	WP_002557988.1
OG0000620	WP_280996804.1	WP_011284157.1
OG0000621	WP_160584943.1	WP_240536324.1
OG0000622	WP_220190718.1	WP_135618874.1
OG0000623	WP_192894277.1	WP_228729174.1
OG0000624	WP_160585327.1	WP_135619047.1
OG0000625	WP_002557992.1	WP_135618872.1
OG0000626	WP_220190743.1	WP_167871266.1
OG0000627	WP_160585286.1	WP_011206176.1
OG0000629	WP_258555422.1	WP_258555422.1
OG0000630	WP_160585308.1	WP_002557993.1
OG0000631	WP_220190702.1	WP_228729165.1
OG0000633	WP_160584945.1	WP_135618747.1
OG0000634	WP_158209054.1	WP_158209054.1
OG0000635	WP_135618734.1	WP_135618734.1
OG0000636	WP_135618745.1	WP_135618745.1
OG0000638	WP_135618726.1	WP_135618726.1
OG0000640	WP_280996633.1	WP_232039520.1
OG0000642	WP_146379617.1	WP_135618814.1
OG0000643	WP_160584832.1	WP_135618456.1
OG0000644	WP_160584828.1	WP_135618460.1
OG0000645	WP_308506993.1	WP_240536378.1
OG0000649	WP_160585284.1	WP_135618803.1
OG0000655	WP_280996807.1	WP_020835740.1
OG0000656	WP_280996808.1	WP_233688423.1
OG0000658	WP_179221224.1	WP_179221224.1
OG0000665	WP_233688424.1	WP_233688424.1
OG0000676	WP_334199375.1	WP_308507051.1
OG0000685	WP_160585339.1	WP_167871264.1
OG0000693	WP_135618608.1	WP_135618608.1
OG0000694	WP_220190648.1	WP_220190648.1
OG0000695	WP_280996499.1	WP_225973020.1
