Orthogroup	MHP_154B_genes	MHP_TB1_genes
OG0000558	NB624_RS01220	B5M19_RS03655
OG0000559	NB624_RS01700	B5M19_RS02075
OG0000560	NB624_RS01810	B5M19_RS00635
OG0000561	NB624_RS01110	B5M19_RS02205
OG0000562	NB624_RS01815	B5M19_RS00640
OG0000563	NB624_RS01805	B5M19_RS00625
OG0000564	NB624_RS01280	B5M19_RS03930
OG0000565	NB624_RS01880	B5M19_RS00685
OG0000566	NB624_RS01860	B5M19_RS00675
OG0000567	NB624_RS01825	B5M19_RS00650
OG0000568	NB624_RS00995	B5M19_RS01860
OG0000569	NB624_RS01225	B5M19_RS03665
OG0000570	NB624_RS01230	B5M19_RS02635
OG0000571	NB624_RS01235	B5M19_RS02630
OG0000572	NB624_RS01260	B5M19_RS02610
OG0000573	NB624_RS01695	B5M19_RS02070
OG0000574	NB624_RS01300	B5M19_RS02570
OG0000575	NB624_RS01210	B5M19_RS03670
OG0000577	NB624_RS02830	B5M19_RS00910
OG0000578	NB624_RS02850	B5M19_RS00890
OG0000579	NB624_RS01790	B5M19_RS00615
OG0000580	NB624_RS02955	B5M19_RS02550
OG0000581	NB624_RS01775	B5M19_RS00600
OG0000582	NB624_RS01250	B5M19_RS04400
OG0000583	NB624_RS01685	B5M19_RS02060
OG0000584	NB624_RS02100	B5M19_RS02310
OG0000585	NB624_RS02345	B5M19_RS02965
OG0000588	NB624_RS01650	B5M19_RS02025
OG0000590	NB624_RS02090	B5M19_RS02875
OG0000591	NB624_RS01900	B5M19_RS04575
OG0000592	NB624_RS02820	B5M19_RS04115
OG0000594	NB624_RS01215	B5M19_RS03650
OG0000600	NB624_RS02105	B5M19_RS02305
OG0000605	NB624_RS02115	B5M19_RS02280
OG0000606	NB624_RS01780	B5M19_RS00605
OG0000616	NB624_RS02125	B5M19_RS02890
OG0000619	NB624_RS01785	B5M19_RS00610
OG0000621	NB624_RS01895	B5M19_RS04570
OG0000632	NB624_RS01735	B5M19_RS04325
