Orthogroup	MHP_154B_genes	MHP_UFV01_genes
OG0000560	NB624_RS01810	FEF30_RS02215
OG0000561	NB624_RS01110	FEF30_RS01420
OG0000562	NB624_RS01815	FEF30_RS02220
OG0000563	NB624_RS01805	FEF30_RS02205
OG0000564	NB624_RS01280	FEF30_RS01600
OG0000565	NB624_RS01880	FEF30_RS02260
OG0000566	NB624_RS01860	FEF30_RS02245
OG0000567	NB624_RS01825	FEF30_RS02230
OG0000568	NB624_RS00995	FEF30_RS00995
OG0000569	NB624_RS01225	FEF30_RS01550
OG0000570	NB624_RS01230	FEF30_RS04240
OG0000571	NB624_RS01235	FEF30_RS01560
OG0000572	NB624_RS01260	FEF30_RS01580
OG0000573	NB624_RS01695	FEF30_RS02010
OG0000574	NB624_RS01300	FEF30_RS01620
OG0000575	NB624_RS01210	FEF30_RS01535
OG0000577	NB624_RS02830	FEF30_RS03035
OG0000578	NB624_RS02850	FEF30_RS03055
OG0000579	NB624_RS01790	FEF30_RS02195
OG0000580	NB624_RS02955	FEF30_RS03170
OG0000581	NB624_RS01775	FEF30_RS02180
OG0000582	NB624_RS01250	FEF30_RS04250
OG0000583	NB624_RS01685	FEF30_RS02000
OG0000584	NB624_RS02100	FEF30_RS02075
OG0000585	NB624_RS02345	FEF30_RS02585
OG0000586	NB624_RS01670	FEF30_RS01985
OG0000587	NB624_RS01885	FEF30_RS04465
OG0000588	NB624_RS01650	FEF30_RS01960
OG0000589	NB624_RS02255	FEF30_RS02520
OG0000591	NB624_RS01900	FEF30_RS03985
OG0000592	NB624_RS02820	FEF30_RS03025
OG0000594	NB624_RS01215	FEF30_RS01540
OG0000595	NB624_RS03165	FEF30_RS04470
OG0000597	NB624_RS03160	FEF30_RS03375
OG0000600	NB624_RS02105	FEF30_RS02080
OG0000602	NB624_RS02045	FEF30_RS02420
OG0000605	NB624_RS02115	FEF30_RS02095
OG0000606	NB624_RS01780	FEF30_RS02185
OG0000610	NB624_RS01005	FEF30_RS03840
OG0000614	NB624_RS02270	FEF30_RS02535
OG0000619	NB624_RS01785	FEF30_RS02190
OG0000621	NB624_RS01895	FEF30_RS03980
