Orthogroup	MHP_98_genes	MHP_Ue273_genes
OG0000514	GOM18_RS01195	VQY17_RS02840
OG0000515	GOM18_RS02570	VQY17_RS01590
OG0000516	GOM18_RS04435	VQY17_RS02085
OG0000517	GOM18_RS00645	VQY17_RS00065
OG0000518	GOM18_RS00980	VQY17_RS03095
OG0000519	GOM18_RS00215	VQY17_RS00790
OG0000520	GOM18_RS00340	VQY17_RS00920
OG0000521	GOM18_RS01375	VQY17_RS00270
OG0000523	GOM18_RS00725	VQY17_RS03360
OG0000524	GOM18_RS02115	VQY17_RS02660
OG0000525	GOM18_RS04345	VQY17_RS03325
OG0000527	GOM18_RS03490	VQY17_RS01825
OG0000528	GOM18_RS02240	VQY17_RS02090
OG0000529	GOM18_RS02385	VQY17_RS02245
OG0000530	GOM18_RS02485	VQY17_RS02350
OG0000531	GOM18_RS02760	VQY17_RS01420
OG0000532	GOM18_RS03550	VQY17_RS01660
OG0000534	GOM18_RS01490	VQY17_RS00385
OG0000535	GOM18_RS04305	VQY17_RS00045
OG0000536	GOM18_RS00505	VQY17_RS03545
OG0000537	GOM18_RS00155	VQY17_RS00725
OG0000538	GOM18_RS02910	VQY17_RS01160
OG0000539	GOM18_RS01325	VQY17_RS00215
OG0000540	GOM18_RS02085	VQY17_RS02630
OG0000541	GOM18_RS02155	VQY17_RS02700
OG0000542	GOM18_RS01460	VQY17_RS00355
OG0000543	GOM18_RS03535	VQY17_RS01675
OG0000543	GOM18_RS00010	VQY17_RS01600
OG0000544	GOM18_RS04525	VQY17_RS01275
OG0000545	GOM18_RS03390	VQY17_RS01895
OG0000546	GOM18_RS03120	VQY17_RS02765
OG0000547	GOM18_RS01145	VQY17_RS02895
OG0000548	GOM18_RS03615	VQY17_RS01625
OG0000549	GOM18_RS04350	VQY17_RS03315
OG0000550	GOM18_RS00425	VQY17_RS03465
OG0000552	GOM18_RS00945	VQY17_RS03130
OG0000553	GOM18_RS04405	VQY17_RS02675
OG0000554	GOM18_RS02530	VQY17_RS02395
OG0000557	GOM18_RS03215	VQY17_RS01285
OG0000558	GOM18_RS03185	VQY17_RS01255
OG0000559	GOM18_RS03000	VQY17_RS01745
OG0000560	GOM18_RS03405	VQY17_RS01880
OG0000561	GOM18_RS02895	VQY17_RS01140
OG0000562	GOM18_RS03400	VQY17_RS01885
OG0000563	GOM18_RS03415	VQY17_RS01870
OG0000564	GOM18_RS02875	VQY17_RS01305
OG0000565	GOM18_RS03330	VQY17_RS01945
OG0000566	GOM18_RS03355	VQY17_RS01925
OG0000567	GOM18_RS03385	VQY17_RS01900
OG0000568	GOM18_RS00115	VQY17_RS00685
OG0000569	GOM18_RS03190	VQY17_RS01260
OG0000570	GOM18_RS04520	VQY17_RS01265
OG0000571	GOM18_RS03200	VQY17_RS01270
OG0000572	GOM18_RS03220	VQY17_RS01290
OG0000573	GOM18_RS03005	VQY17_RS01740
OG0000574	GOM18_RS02845	VQY17_RS01325
OG0000575	GOM18_RS03175	VQY17_RS01245
OG0000576	GOM18_RS03050	VQY17_RS01690
OG0000577	GOM18_RS02105	VQY17_RS02650
OG0000578	GOM18_RS02125	VQY17_RS02670
OG0000579	GOM18_RS03500	VQY17_RS01845
OG0000581	GOM18_RS03495	VQY17_RS01830
OG0000582	GOM18_RS04530	VQY17_RS01280
OG0000583	GOM18_RS03015	VQY17_RS01730
OG0000585	GOM18_RS02355	VQY17_RS02215
OG0000586	GOM18_RS03030	VQY17_RS01705
OG0000587	GOM18_RS04190	VQY17_RS01950
OG0000588	GOM18_RS03055	VQY17_RS01680
OG0000591	GOM18_RS04175	VQY17_RS01970
OG0000592	GOM18_RS03985	VQY17_RS02640
OG0000593	GOM18_RS00490	VQY17_RS03530
OG0000594	GOM18_RS03180	VQY17_RS01250
OG0000601	GOM18_RS03410	VQY17_RS01875
OG0000602	GOM18_RS02265	VQY17_RS02115
OG0000604	GOM18_RS04135	VQY17_RS02780
OG0000608	GOM18_RS03395	VQY17_RS01890
OG0000609	GOM18_RS03365	VQY17_RS01915
OG0000610	GOM18_RS03695	VQY17_RS00675
OG0000611	GOM18_RS00670	VQY17_RS00090
OG0000613	GOM18_RS04180	VQY17_RS01965
OG0000618	GOM18_RS00805	VQY17_RS03275
OG0000623	GOM18_RS02175	VQY17_RS01720
OG0000625	GOM18_RS04590	VQY17_RS01850
OG0000633	GOM18_RS04210	VQY17_RS01855
