Orthogroup	MHP_133A_genes	MHP_111A_genes
OG0000580	NB626_RS02975	NB623_RS02955
OG0000581	NB626_RS01905	NB623_RS02310
OG0000582	NB626_RS01375	NB623_RS01380
OG0000583	NB626_RS01800	NB623_RS01810
OG0000584	NB626_RS00475	NB623_RS01955
OG0000585	NB626_RS02365	NB623_RS02350
OG0000586	NB626_RS01785	NB623_RS01795
OG0000587	NB626_RS02010	NB623_RS02215
OG0000588	NB626_RS01755	NB623_RS01765
OG0000589	NB626_RS02290	NB623_RS01010
OG0000590	NB626_RS00485	NB623_RS01945
OG0000591	NB626_RS02025	NB623_RS02200
OG0000593	NB626_RS03735	NB623_RS03720
OG0000595	NB626_RS03190	NB623_RS03160
OG0000596	NB626_RS01860	NB623_RS01870
OG0000597	NB626_RS03185	NB623_RS03155
OG0000598	NB626_RS01865	NB623_RS01875
OG0000599	NB626_RS01870	NB623_RS01880
OG0000600	NB626_RS00470	NB623_RS01960
OG0000603	NB626_RS00465	NB623_RS01965
OG0000604	NB626_RS02985	NB623_RS02965
OG0000607	NB626_RS01330	NB623_RS01335
OG0000608	NB626_RS01940	NB623_RS02275
OG0000610	NB626_RS00775	NB623_RS00675
OG0000611	NB626_RS00095	NB623_RS00100
OG0000612	NB626_RS01875	NB623_RS01885
OG0000613	NB626_RS02020	NB623_RS02205
OG0000616	NB626_RS00445	NB623_RS01975
OG0000617	NB626_RS01770	NB623_RS01780
OG0000622	NB626_RS02335	NB623_RS00960
OG0000624	NB626_RS03340	NB623_RS03305
OG0000644	NB626_RS03195	NB623_RS03165
OG0000648	NB626_RS02780	NB623_RS02760
OG0000649	NB626_RS01495	NB623_RS01495
OG0000656	NB626_RS02440	NB623_RS02425
OG0000658	NB626_RS02845	NB623_RS02830
OG0000659	NB626_RS03570	NB623_RS03550
OG0000686	NB626_RS03285	NB623_RS03255
OG0000687	NB626_RS00890	NB623_RS00785
