Orthogroup	MHP_133A_genes	MHP_ES2L_genes
OG0000553	NB626_RS02870	HZK19_RS02655
OG0000554	NB626_RS02560	HZK19_RS02360
OG0000555	NB626_RS03100	HZK19_RS02880
OG0000556	NB626_RS00450	HZK19_RS03050
OG0000557	NB626_RS01380	HZK19_RS01230
OG0000558	NB626_RS01350	HZK19_RS01195
OG0000559	NB626_RS01815	HZK19_RS01670
OG0000560	NB626_RS01930	HZK19_RS01770
OG0000561	NB626_RS01230	HZK19_RS01085
OG0000562	NB626_RS01935	HZK19_RS01775
OG0000563	NB626_RS01925	HZK19_RS01760
OG0000564	NB626_RS01410	HZK19_RS03725
OG0000565	NB626_RS02000	HZK19_RS01835
OG0000566	NB626_RS01980	HZK19_RS01815
OG0000567	NB626_RS01950	HZK19_RS01790
OG0000568	NB626_RS00785	HZK19_RS00660
OG0000569	NB626_RS01355	HZK19_RS01200
OG0000570	NB626_RS01360	HZK19_RS01205
OG0000571	NB626_RS01365	HZK19_RS01210
OG0000572	NB626_RS01385	HZK19_RS01235
OG0000573	NB626_RS01810	HZK19_RS01665
OG0000574	NB626_RS01425	HZK19_RS01275
OG0000575	NB626_RS01345	HZK19_RS01185
OG0000576	NB626_RS01765	HZK19_RS01615
OG0000577	NB626_RS02840	HZK19_RS02625
OG0000578	NB626_RS02865	HZK19_RS02650
OG0000579	NB626_RS01910	HZK19_RS01750
OG0000580	NB626_RS02975	HZK19_RS02760
OG0000581	NB626_RS01905	HZK19_RS01735
OG0000582	NB626_RS01375	HZK19_RS01225
OG0000583	NB626_RS01800	HZK19_RS01655
OG0000584	NB626_RS00475	HZK19_RS03070
OG0000585	NB626_RS02365	HZK19_RS02180
OG0000586	NB626_RS01785	HZK19_RS01635
OG0000587	NB626_RS02010	HZK19_RS03875
OG0000588	NB626_RS01755	HZK19_RS01610
OG0000589	NB626_RS02290	HZK19_RS02120
OG0000590	NB626_RS00485	HZK19_RS03080
OG0000591	NB626_RS02025	HZK19_RS03885
OG0000593	NB626_RS03735	HZK19_RS03575
OG0000595	NB626_RS03190	HZK19_RS02965
OG0000597	NB626_RS03185	HZK19_RS02960
OG0000600	NB626_RS00470	HZK19_RS03065
OG0000603	NB626_RS00465	HZK19_RS03060
OG0000604	NB626_RS02985	HZK19_RS03900
OG0000605	NB626_RS00460	HZK19_RS03055
OG0000608	NB626_RS01940	HZK19_RS01780
OG0000615	NB626_RS02875	HZK19_RS02660
OG0000616	NB626_RS00445	HZK19_RS03045
OG0000617	NB626_RS01770	HZK19_RS01620
OG0000620	NB626_RS02005	HZK19_RS01845
